,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Issue Number,CV Cover Image,CV Issue URL,Days Between Issues,CV Series Publisher
1,Wonder Woman,2006,6,Issue,2007-05-01,Comicvine,18208,107600,Wonder Woman,2006,6, ,https://comicvine.gamespot.com/wonder-woman-6-love-and-murder-part-1/4000-107600/,31 days 00:00:00,DC Comics
2,Wonder Woman,2006,7,Issue,2007-06-01,Comicvine,18208,108421,Wonder Woman,2006,7, ,https://comicvine.gamespot.com/wonder-woman-7-love-and-murder-part-2/4000-108421/,0 days 00:00:00,DC Comics
3,Wonder Woman,2006,8,Issue,2007-06-01,Comicvine,18208,108759,Wonder Woman,2006,8, ,https://comicvine.gamespot.com/wonder-woman-8-love-and-murder-part-3/4000-108759/,0 days 00:00:00,DC Comics
4,Amazons Attack!,2007,1,Issue,2007-06-01,Comicvine,18524,108756,Amazons Attack!,2007,1, ,https://comicvine.gamespot.com/amazons-attack-1-amazons-attack-chapter-1-the-last/4000-108756/,30 days 00:00:00,DC Comics
5,Wonder Woman,2006,9,Issue,2007-07-01,Comicvine,18208,109823,Wonder Woman,2006,9, ,https://comicvine.gamespot.com/wonder-woman-9-love-and-murder-part-4/4000-109823/,0 days 00:00:00,DC Comics
6,Amazons Attack!,2007,2,Issue,2007-07-01,Comicvine,18524,110057,Amazons Attack!,2007,2, ,https://comicvine.gamespot.com/amazons-attack-2-amazons-attack-chapter-2-battle-l/4000-110057/,31 days 00:00:00,DC Comics
7,Wonder Woman,2006,10,Issue,2007-08-01,Comicvine,18208,111111,Wonder Woman,2006,10, ,https://comicvine.gamespot.com/wonder-woman-10-love-and-murder-part-5/4000-111111/,0 days 00:00:00,DC Comics
8,Amazons Attack!,2007,3,Issue,2007-08-01,Comicvine,18524,111890,Amazons Attack!,2007,3, ,https://comicvine.gamespot.com/amazons-attack-3-amazons-attack-chapter-3-the-road/4000-111890/,0 days 00:00:00,DC Comics
9,Teen Titans,2003,48,Issue,2007-08-01,Comicvine,10414,111035,Teen Titans,2003,48, ,https://comicvine.gamespot.com/teen-titans-48-flags-of-our-mothers/4000-111035/,31 days 00:00:00,DC Comics
10,Teen Titans,2003,49,Issue,2007-09-01,Comicvine,10414,112252,Teen Titans,2003,49, ,https://comicvine.gamespot.com/teen-titans-49-life-during-wartime/4000-112252/,0 days 00:00:00,DC Comics
11,Amazons Attack!,2007,4,Issue,2007-09-01,Comicvine,18524,111889,Amazons Attack!,2007,4, ,https://comicvine.gamespot.com/amazons-attack-4-amazons-attack-chapter-4-things-f/4000-111889/,0 days 00:00:00,DC Comics
12,Catwoman,2002,69,Issue,2007-09-01,Comicvine,7328,113630,Catwoman,2002,69, ,https://comicvine.gamespot.com/catwoman-69-life-during-wartime/4000-113630/,30 days 00:00:00,DC Comics
13,Catwoman,2002,70,Issue,2007-10-01,Comicvine,7328,114198,Catwoman,2002,70, ,https://comicvine.gamespot.com/catwoman-70-life-during-wartime/4000-114198/,0 days 00:00:00,DC Comics
14,Supergirl,2005,20,Issue,2007-10-01,Comicvine,18012,112670,Supergirl,2005,20, ,https://comicvine.gamespot.com/supergirl-20-no-good-deed/4000-112670/,30 days 00:00:00,DC Comics
15,Wonder Woman,2006,11,Issue,2007-09-01,Comicvine,18208,112163,Wonder Woman,2006,11, ,https://comicvine.gamespot.com/wonder-woman-11-hubris-part-1-of-2/4000-112163/,30 days 00:00:00,DC Comics
16,Amazons Attack!,2007,5,Issue,2007-10-01,Comicvine,18524,113605,Amazons Attack!,2007,5, ,https://comicvine.gamespot.com/amazons-attack-5-amazons-attack-chapter-5-trouble-/4000-113605/,0 days 00:00:00,DC Comics
17,Amazons Attack!,2007,6,Issue,2007-10-01,Comicvine,18524,113981,Amazons Attack!,2007,6, ,https://comicvine.gamespot.com/amazons-attack-6-amazons-attack-chapter-6-pyrrhic-/4000-113981/,0 days 00:00:00,DC Comics
18,Wonder Woman,2006,12,Issue,2007-10-01,Comicvine,18208,114138,Wonder Woman,2006,12, ,https://comicvine.gamespot.com/wonder-woman-12-hubris-part-2-of-2/4000-114138/,61 days 00:00:00,DC Comics
19,Wonder Woman,2006,13,Issue,2007-12-01,Comicvine,18208,115425,Wonder Woman,2006,13, ,https://comicvine.gamespot.com/wonder-woman-13-mothers-daughters/4000-115425/,0 days 00:00:00,DC Comics
