,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Issue Number,CV Cover Image,CV Issue URL,Days Between Issues,CV Series Publisher
1,Adventure Comics,1938,435,Issue,1974-10-01,Comicvine,3105,124869,Adventure Comics,1938,435, ,https://comicvine.gamespot.com/issue/4000-124869/,31 days 00:00:00,DC Comics
2,Adventure Comics,1938,436,Issue,1974-11-01,Comicvine,3105,124870,Adventure Comics,1938,436, ,https://comicvine.gamespot.com/issue/4000-124870/,92 days 00:00:00,DC Comics
3,Adventure Comics,1938,437,Issue,1975-02-01,Comicvine,3105,124871,Adventure Comics,1938,437, ,https://comicvine.gamespot.com/issue/4000-124871/,272 days 00:00:00,DC Comics
4,Adventure Comics,1938,441,Issue,1975-10-31,Comicvine,3105,124858,Adventure Comics,1938,441, ,https://comicvine.gamespot.com/issue/4000-124858/,61 days 00:00:00,DC Comics
5,Adventure Comics,1938,442,Issue,1975-12-31,Comicvine,3105,124859,Adventure Comics,1938,442, ,https://comicvine.gamespot.com/issue/4000-124859/,60 days 00:00:00,DC Comics
6,Adventure Comics,1938,443,Issue,1976-02-29,Comicvine,3105,124860,Adventure Comics,1938,443, ,https://comicvine.gamespot.com/issue/4000-124860/,32 days 00:00:00,DC Comics
7,Adventure Comics,1938,444,Issue,1976-04-01,Comicvine,3105,124861,Adventure Comics,1938,444, ,https://comicvine.gamespot.com/issue/4000-124861/,61 days 00:00:00,DC Comics
8,Adventure Comics,1938,445,Issue,1976-06-01,Comicvine,3105,124862,Adventure Comics,1938,445, ,https://comicvine.gamespot.com/issue/4000-124862/,61 days 00:00:00,DC Comics
9,Adventure Comics,1938,446,Issue,1976-08-01,Comicvine,3105,124863,Adventure Comics,1938,446, ,https://comicvine.gamespot.com/issue/4000-124863/,61 days 00:00:00,DC Comics
10,Adventure Comics,1938,447,Issue,1976-10-01,Comicvine,3105,124864,Adventure Comics,1938,447, ,https://comicvine.gamespot.com/issue/4000-124864/,61 days 00:00:00,DC Comics
11,Adventure Comics,1938,448,Issue,1976-12-01,Comicvine,3105,124865,Adventure Comics,1938,448, ,https://comicvine.gamespot.com/issue/4000-124865/,62 days 00:00:00,DC Comics
12,Adventure Comics,1938,449,Issue,1977-02-01,Comicvine,3105,124866,Adventure Comics,1938,449, ,https://comicvine.gamespot.com/issue/4000-124866/,59 days 00:00:00,DC Comics
13,Adventure Comics,1938,450,Issue,1977-04-01,Comicvine,3105,116126,Adventure Comics,1938,450, ,https://comicvine.gamespot.com/issue/4000-116126/,61 days 00:00:00,DC Comics
14,Adventure Comics,1938,451,Issue,1977-06-01,Comicvine,3105,124376,Adventure Comics,1938,451, ,https://comicvine.gamespot.com/issue/4000-124376/,30 days 00:00:00,DC Comics
15,Adventure Comics,1938,452,Issue,1977-07-01,Comicvine,3105,124377,Adventure Comics,1938,452, ,https://comicvine.gamespot.com/issue/4000-124377/,62 days 00:00:00,DC Comics
16,Aquaman,1962,57,Issue,1977-09-01,Comicvine,2050,137567,Aquaman,1962,57, ,https://comicvine.gamespot.com/aquaman-57-a-life-for-a-life/4000-137567/,61 days 00:00:00,DC Comics
17,Aquaman,1962,58,Issue,1977-11-01,Comicvine,2050,115329,Aquaman,1962,58, ,https://comicvine.gamespot.com/aquaman-58-through-a-past-darkly/4000-115329/,61 days 00:00:00,DC Comics
18,Aquaman,1962,59,Issue,1978-01-01,Comicvine,2050,137566,Aquaman,1962,59, ,https://comicvine.gamespot.com/aquaman-59-prey-perilous/4000-137566/,59 days 00:00:00,DC Comics
19,Aquaman,1962,60,Issue,1978-03-01,Comicvine,2050,137562,Aquaman,1962,60, ,https://comicvine.gamespot.com/aquaman-60-scavenger-ravager-plunderer-thief/4000-137562/,31 days 00:00:00,DC Comics
20,Aquaman,1962,61,Issue,1978-04-01,Comicvine,2050,137568,Aquaman,1962,61, ,https://comicvine.gamespot.com/aquaman-61-the-armageddon-conspiracy/4000-137568/,212 days 00:00:00,DC Comics
21,Adventure Comics,1938,453,Issue,1977-09-01,Comicvine,3105,124383,Adventure Comics,1938,453, ,https://comicvine.gamespot.com/issue/4000-124383/,91 days 00:00:00,DC Comics
22,Adventure Comics,1938,454,Issue,1977-12-01,Comicvine,3105,124385,Adventure Comics,1938,454, ,https://comicvine.gamespot.com/issue/4000-124385/,62 days 00:00:00,DC Comics
23,Adventure Comics,1938,455,Issue,1978-02-01,Comicvine,3105,124386,Adventure Comics,1938,455, ,https://comicvine.gamespot.com/issue/4000-124386/,120 days 00:00:00,DC Comics
24,Aquaman,1962,62,Issue,1978-06-01,Comicvine,2050,137564,Aquaman,1962,62, ,https://comicvine.gamespot.com/aquaman-62-and-the-walls-came-tumblin-down/4000-137564/,61 days 00:00:00,DC Comics
25,Aquaman,1962,63,Issue,1978-08-01,Comicvine,2050,137565,Aquaman,1962,63, ,https://comicvine.gamespot.com/aquaman-63-my-brothers-keeper/4000-137565/,0 days 00:00:00,DC Comics
