,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Issue Number,CV Cover Image,CV Issue URL,Days Between Issues,CV Series Publisher
1,Detective Comics,1937,719,Issue,1998-03-01,Comicvine,18058,113190,Detective Comics,1937,719, ,https://comicvine.gamespot.com/issue/4000-113190/,31 days 00:00:00,DC Comics
2,Shadow of the Bat,1992,73,Issue,1998-04-01,Comicvine,4724,75568,Batman: Shadow of the Bat,1992,73, ,https://comicvine.gamespot.com/issue/4000-75568/,0 days 00:00:00,DC Comics
3,Nightwing,1996,19,Issue,1998-04-01,Comicvine,5755,44912,Nightwing,1996,19, ,https://comicvine.gamespot.com/issue/4000-44912/,0 days 00:00:00,DC Comics
4,Batman,1940,553,Issue,1998-04-01,Comicvine,796,44894,Batman,1940,553, ,https://comicvine.gamespot.com/issue/4000-44894/,0 days 00:00:00,DC Comics
5,Azrael,1995,40,Issue,1998-04-01,Comicvine,5490,135504,Azrael,1995,40, ,https://comicvine.gamespot.com/issue/4000-135504/,0 days 00:00:00,DC Comics
6,Detective Comics,1937,720,Issue,1998-04-01,Comicvine,18058,106858,Detective Comics,1937,720, ,https://comicvine.gamespot.com/issue/4000-106858/,0 days 00:00:00,DC Comics
7,Catwoman,1993,56,Issue,1998-04-01,Comicvine,4955,44843,Catwoman,1993,56, ,https://comicvine.gamespot.com/issue/4000-44843/,0 days 00:00:00,DC Comics
8,Robin,1993,52,Issue,1998-04-01,Comicvine,4975,44853,Robin,1993,52, ,https://comicvine.gamespot.com/issue/4000-44853/,0 days 00:00:00,DC Comics
9,Batman: Blackgate: Isle of Man,1998,1,Issue,1998-04-01,Comicvine,18932,111986,"Batman: Blackgate, Isle of Men",1998,1, ,https://comicvine.gamespot.com/issue/4000-111986/,30 days 00:00:00,DC Comics
10,Shadow of the Bat,1992,74,Issue,1998-05-01,Comicvine,4724,75569,Batman: Shadow of the Bat,1992,74, ,https://comicvine.gamespot.com/issue/4000-75569/,30 days 00:00:00,DC Comics
11,Batman Chronicles,1995,12,Issue,1998-04-01,Comicvine,6598,135440,The Batman Chronicles,1995,12, ,https://comicvine.gamespot.com/issue/4000-135440/,30 days 00:00:00,DC Comics
12,Nightwing,1996,20,Issue,1998-05-01,Comicvine,5755,45001,Nightwing,1996,20, ,https://comicvine.gamespot.com/issue/4000-45001/,0 days 00:00:00,DC Comics
13,Batman,1940,554,Issue,1998-05-01,Comicvine,796,44980,Batman,1940,554, ,https://comicvine.gamespot.com/issue/4000-44980/,30 days 00:00:00,DC Comics
