,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Issue Number,CV Cover Image,CV Issue URL,Days Between Issues,CV Series Publisher
1,Shadow of the Bat,1992,48,Issue,1996-03-01,Comicvine,4724,42232,Batman: Shadow of the Bat,1992,48, ,https://comicvine.gamespot.com/issue/4000-42232/,0 days 00:00:00,DC Comics
2,Detective Comics,1937,695,Issue,1996-03-01,Comicvine,18058,108469,Detective Comics,1937,695, ,https://comicvine.gamespot.com/issue/4000-108469/,14 days 00:00:00,DC Comics
3,Robin,1993,27,Issue,1996-03-15,Comicvine,4975,42245,Robin,1993,27, ,https://comicvine.gamespot.com/issue/4000-42245/,14 days 00:00:00,DC Comics
4,Catwoman,1993,31,Issue,1996-03-01,Comicvine,4955,42249,Catwoman,1993,31, ,https://comicvine.gamespot.com/issue/4000-42249/,30 days 00:00:00,DC Comics
5,Azrael,1995,15,Issue,1996-03-31,Comicvine,5490,108467,Azrael,1995,15, ,https://comicvine.gamespot.com/issue/4000-108467/,1 days 00:00:00,DC Comics
6,Batman,1940,529,Issue,1996-04-01,Comicvine,796,42265,Batman,1940,529, ,https://comicvine.gamespot.com/issue/4000-42265/,0 days 00:00:00,DC Comics
7,Shadow of the Bat,1992,49,Issue,1996-04-01,Comicvine,4724,42336,Batman: Shadow of the Bat,1992,49, ,https://comicvine.gamespot.com/issue/4000-42336/,0 days 00:00:00,DC Comics
8,Detective Comics,1937,696,Issue,1996-04-01,Comicvine,18058,108470,Detective Comics,1937,696, ,https://comicvine.gamespot.com/issue/4000-108470/,0 days 00:00:00,DC Comics
9,Batman Chronicles,1995,4,Issue,1996-04-01,Comicvine,6598,75530,The Batman Chronicles,1995,4, ,https://comicvine.gamespot.com/issue/4000-75530/,0 days 00:00:00,DC Comics
10,Catwoman,1993,32,Issue,1996-04-01,Comicvine,4955,42334,Catwoman,1993,32, ,https://comicvine.gamespot.com/issue/4000-42334/,29 days 00:00:00,DC Comics
11,Azrael,1995,16,Issue,1996-04-30,Comicvine,5490,108468,Azrael,1995,16, ,https://comicvine.gamespot.com/issue/4000-108468/,29 days 00:00:00,DC Comics
12,Robin,1993,28,Issue,1996-04-01,Comicvine,4975,42276,Robin,1993,28, ,https://comicvine.gamespot.com/issue/4000-42276/,0 days 00:00:00,DC Comics
