,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Issue Number,CV Cover Image,CV Issue URL,Days Between Issues,CV Series Publisher
1,Batman,2011,35,Issue,2014-12-31,Comicvine,42721,467595,Batman,2011,35, ,https://comicvine.gamespot.com/batman-35-endgame-part-one-the-pale-man/4000-467595/,31 days 00:00:00,DC Comics
2,Batman,2011,36,Issue,2015-01-31,Comicvine,42721,469790,Batman,2011,36, ,https://comicvine.gamespot.com/batman-36-endgame-part-two-saved/4000-469790/,1 days 00:00:00,DC Comics
3,Batman,2011,37,Issue,2015-02-01,Comicvine,42721,473582,Batman,2011,37, ,https://comicvine.gamespot.com/batman-37-endgame-part-three-the-first-laugh/4000-473582/,0 days 00:00:00,DC Comics
4,Batman Vol. 2 Annual,2012,3,Issue,2015-02-01,Comicvine,49197,474556,Batman Annual,2012,3, ,https://comicvine.gamespot.com/batman-annual-3-friends/4000-474556/,89 days 00:00:00,DC Comics
5,Detective Comics: Endgame,2015,1,Issue,2015-05-01,Comicvine,80583,482115,Detective Comics: Endgame,2015,1, ,https://comicvine.gamespot.com/detective-comics-endgame-1/4000-482115/,0 days 00:00:00,DC Comics
6,Batgirl: Endgame,2015,1,Issue,2015-05-01,Comicvine,80711,482615,Batgirl: Endgame,2015,1, ,https://comicvine.gamespot.com/batgirl-endgame-1-the-battle-for-the-burnside-brid/4000-482615/,31 days 00:00:00,DC Comics
7,Arkham Manor: Endgame,2015,1,Issue,2015-06-01,Comicvine,81065,484836,Arkham Manor: Endgame,2015,1, ,https://comicvine.gamespot.com/arkham-manor-endgame-1/4000-484836/,0 days 00:00:00,DC Comics
8,Gotham Academy: Endgame,2015,1,Issue,2015-06-01,Comicvine,81066,484844,Gotham Academy: Endgame,2015,1, ,https://comicvine.gamespot.com/gotham-academy-endgame-1-joker-jitters/4000-484844/,92 days 00:00:00,DC Comics
9,Batman,2011,38,Issue,2015-03-01,Comicvine,42721,477789,Batman,2011,38, ,https://comicvine.gamespot.com/batman-38-endgame-part-four/4000-477789/,31 days 00:00:00,DC Comics
10,Batman,2011,39,Issue,2015-04-01,Comicvine,42721,480623,Batman,2011,39, ,https://comicvine.gamespot.com/batman-39-endgame-part-five-the-last-smile/4000-480623/,90 days 00:00:00,DC Comics
11,Batman,2011,40,Issue,2015-06-30,Comicvine,42721,487162,Batman,2011,40, ,https://comicvine.gamespot.com/batman-40-endgame-part-six/4000-487162/,0 days 00:00:00,DC Comics
