,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Issue Number,CV Series Publisher,CV Cover Image,CV Issue URL,Days Between Issues
1,Shadow of the Bat,1992,53,Issue,1996-08-31,Comicvine,4724,42728,Batman: Shadow of the Bat,1992,53,DC Comics, ,https://comicvine.gamespot.com/issue/4000-42728/,0 days 00:00:00
2,Batman,1940,533,Issue,1996-08-31,Comicvine,796,42666,Batman,1940,533,DC Comics, ,https://comicvine.gamespot.com/issue/4000-42666/,-30 days +00:00:00
3,Detective Comics,1937,700,Issue,1996-08-01,Comicvine,18058,106843,Detective Comics,1937,700,DC Comics, ,https://comicvine.gamespot.com/issue/4000-106843/,0 days 00:00:00
4,Catwoman,1993,36,Issue,1996-08-01,Comicvine,4955,46564,Catwoman,1993,36,DC Comics, ,https://comicvine.gamespot.com/issue/4000-46564/,0 days 00:00:00
5,Robin,1993,32,Issue,1996-08-01,Comicvine,4975,42683,Robin,1993,32,DC Comics, ,https://comicvine.gamespot.com/robin-32-born-with-teeth/4000-42683/,31 days 00:00:00
6,Shadow of the Bat,1992,54,Issue,1996-09-01,Comicvine,4724,42827,Batman: Shadow of the Bat,1992,54,DC Comics, ,https://comicvine.gamespot.com/issue/4000-42827/,0 days 00:00:00
7,Batman,1940,534,Issue,1996-09-01,Comicvine,796,42766,Batman,1940,534,DC Comics, ,https://comicvine.gamespot.com/issue/4000-42766/,0 days 00:00:00
8,Detective Comics,1937,701,Issue,1996-09-01,Comicvine,18058,113160,Detective Comics,1937,701,DC Comics, ,https://comicvine.gamespot.com/issue/4000-113160/,0 days 00:00:00
9,Robin,1993,33,Issue,1996-09-01,Comicvine,4975,42780,Robin,1993,33,DC Comics, ,https://comicvine.gamespot.com/robin-33-riptide/4000-42780/,30 days 00:00:00
10,Detective Comics,1937,702,Issue,1996-10-01,Comicvine,18058,113163,Detective Comics,1937,702,DC Comics, ,https://comicvine.gamespot.com/issue/4000-113163/,92 days 00:00:00
11,Bane,1997,1,Issue,1997-01-01,Comicvine,33242,214855,Batman: Bane,1997,1,DC Comics, ,https://comicvine.gamespot.com/issue/4000-214855/,0 days 00:00:00
