,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Issue Number,CV Series Publisher,CV Cover Image,CV Issue URL,Days Between Issues
1,Detective Comics,1937,790,Issue,2004-03-01,Comicvine,18058,113359,Detective Comics,1937,790,DC Comics, ,https://comicvine.gamespot.com/issue/4000-113359/,31 days 00:00:00
2,Detective Comics,1937,791,Issue,2004-04-01,Comicvine,18058,113376,Detective Comics,1937,791,DC Comics, ,https://comicvine.gamespot.com/issue/4000-113376/,30 days 00:00:00
3,Detective Comics,1937,792,Issue,2004-05-01,Comicvine,18058,113377,Detective Comics,1937,792,DC Comics, ,https://comicvine.gamespot.com/issue/4000-113377/,31 days 00:00:00
4,Detective Comics,1937,793,Issue,2004-06-01,Comicvine,18058,113378,Detective Comics,1937,793,DC Comics, ,https://comicvine.gamespot.com/issue/4000-113378/,30 days 00:00:00
5,Detective Comics,1937,794,Issue,2004-07-01,Comicvine,18058,113379,Detective Comics,1937,794,DC Comics, ,https://comicvine.gamespot.com/issue/4000-113379/,31 days 00:00:00
6,Detective Comics,1937,795,Issue,2004-08-01,Comicvine,18058,113380,Detective Comics,1937,795,DC Comics, ,https://comicvine.gamespot.com/issue/4000-113380/,31 days 00:00:00
7,Detective Comics,1937,796,Issue,2004-09-01,Comicvine,18058,113381,Detective Comics,1937,796,DC Comics, ,https://comicvine.gamespot.com/issue/4000-113381/,-62 days +00:00:00
8,Robin,1993,126,Issue,2004-07-01,Comicvine,4975,110083,Robin,1993,126,DC Comics, ,https://comicvine.gamespot.com/robin-126-a-life-more-ordinary/4000-110083/,31 days 00:00:00
9,Robin,1993,127,Issue,2004-08-01,Comicvine,4975,110085,Robin,1993,127,DC Comics, ,https://comicvine.gamespot.com/robin-127-the-girl-wonder/4000-110085/,31 days 00:00:00
10,Robin,1993,128,Issue,2004-09-01,Comicvine,4975,110087,Robin,1993,128,DC Comics, ,https://comicvine.gamespot.com/robin-128-fired/4000-110087/,30 days 00:00:00
11,Batman: The 12-Cent Adventure,2004,1,Issue,2004-10-01,Comicvine,26546,158701,Batman: The 12 Cent Adventure,2004,1,DC Comics, ,https://comicvine.gamespot.com/batman-the-12-cent-adventure-1-war-games-prelude-n/4000-158701/,0 days 00:00:00
12,Detective Comics,1937,797,Issue,2004-10-01,Comicvine,18058,113382,Detective Comics,1937,797,DC Comics, ,https://comicvine.gamespot.com/issue/4000-113382/,0 days 00:00:00
13,Legends of the Dark Knight,1992,182,Issue,2004-10-01,Comicvine,4720,100906,Batman: Legends of the Dark Knight,1992,182,DC Comics, ,https://comicvine.gamespot.com/issue/4000-100906/,0 days 00:00:00
14,Nightwing,1996,96,Issue,2004-10-01,Comicvine,5755,96768,Nightwing,1996,96,DC Comics, ,https://comicvine.gamespot.com/issue/4000-96768/,0 days 00:00:00
15,Batman: Gotham Knights,2000,56,Issue,2004-10-01,Comicvine,7207,100898,Batman: Gotham Knights,2000,56,DC Comics, ,https://comicvine.gamespot.com/issue/4000-100898/,0 days 00:00:00
16,Robin,1993,129,Issue,2004-10-01,Comicvine,4975,92340,Robin,1993,129,DC Comics, ,https://comicvine.gamespot.com/robin-129-war-games-act-1-part-5-alamo-high/4000-92340/,0 days 00:00:00
17,Batgirl,2000,55,Issue,2004-10-01,Comicvine,7205,100877,Batgirl,2000,55,DC Comics, ,https://comicvine.gamespot.com/issue/4000-100877/,0 days 00:00:00
18,Catwoman,2002,34,Issue,2004-10-01,Comicvine,7328,98298,Catwoman,2002,34,DC Comics, ,https://comicvine.gamespot.com/catwoman-34-war-games-act-one-part-seven/4000-98298/,0 days 00:00:00
19,Batman,1940,631,Issue,2004-10-01,Comicvine,796,100886,Batman,1940,631,DC Comics, ,https://comicvine.gamespot.com/issue/4000-100886/,31 days 00:00:00
20,Detective Comics,1937,798,Issue,2004-11-01,Comicvine,18058,113383,Detective Comics,1937,798,DC Comics, ,https://comicvine.gamespot.com/issue/4000-113383/,0 days 00:00:00
