,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Issue Number,CV Cover Image,CV Issue URL,Days Between Issues,CV Series Publisher
1,Batman,2011,0,Issue,2012-11-30,Comicvine,42721,356718,Batman,2011,0, ,https://comicvine.gamespot.com/batman-0-bright-new-yesterday-tomorrow/4000-356718/,274 days 00:00:00,DC Comics
2,Batman,2011,21,Issue,2013-08-31,Comicvine,42721,410267,Batman,2011,21, ,https://comicvine.gamespot.com/batman-21-zero-year-secret-city-part-one-where-the/4000-410267/,30 days 00:00:00,DC Comics
3,Batman,2011,22,Issue,2013-09-30,Comicvine,42721,416902,Batman,2011,22, ,https://comicvine.gamespot.com/batman-22-zero-year-secret-city-part-two-that-one-/4000-416902/,1 days 00:00:00,DC Comics
4,Batman,2011,23,Issue,2013-10-01,Comicvine,42721,421652,Batman,2011,23, ,https://comicvine.gamespot.com/batman-23-zero-year-secret-city-part-three-the-pit/4000-421652/,91 days 00:00:00,DC Comics
5,Batman,2011,24,Issue,2013-12-31,Comicvine,42721,428250,Batman,2011,24, ,https://comicvine.gamespot.com/batman-24-zero-year-dark-city-part-one/4000-428250/,1 days 00:00:00,DC Comics
6,Detective Comics,2011,25,Issue,2014-01-01,Comicvine,42594,432290,Detective Comics,2011,25, ,https://comicvine.gamespot.com/detective-comics-25-zero-year-whistleblower-s-blue/4000-432290/,0 days 00:00:00,DC Comics
7,Batwing,2011,25,Issue,2014-01-01,Comicvine,42602,432291,Batwing,2011,25, ,https://comicvine.gamespot.com/batwing-25-zero-year-keep-your-enemies-closer/4000-432291/,30 days 00:00:00,DC Comics
8,Action Comics,2011,25,Issue,2014-01-31,Comicvine,42563,432292,Action Comics,2011,25, ,https://comicvine.gamespot.com/action-comics-25-zero-year-stormbreaker-lunch-brea/4000-432292/,0 days 00:00:00,DC Comics
9,Green Arrow,2011,25,Issue,2014-01-31,Comicvine,42598,432293,Green Arrow,2011,25, ,https://comicvine.gamespot.com/green-arrow-25-zero-year-the-prodigal-new-tricks/4000-432293/,30 days 00:00:00,DC Comics
10,Batman,2011,25,Issue,2014-01-01,Comicvine,42721,433107,Batman,2011,25, ,https://comicvine.gamespot.com/batman-25-zero-year-dark-city-part-two-people-in-t/4000-433107/,0 days 00:00:00,DC Comics
11,Nightwing,2011,25,Issue,2014-01-01,Comicvine,42720,433108,Nightwing,2011,25, ,https://comicvine.gamespot.com/nightwing-25-zero-year-one-dark-city-night/4000-433108/,0 days 00:00:00,DC Comics
12,Batgirl,2011,25,Issue,2014-01-01,Comicvine,42604,433109,Batgirl,2011,25, ,https://comicvine.gamespot.com/batgirl-25-zero-year-homestead/4000-433109/,30 days 00:00:00,DC Comics
13,Green Lantern Corps,2011,25,Issue,2014-01-31,Comicvine,42916,433110,Green Lantern Corps,2011,25, ,https://comicvine.gamespot.com/green-lantern-corps-25-zero-year-powers-that-be/4000-433110/,30 days 00:00:00,DC Comics
14,Red Hood and the Outlaws,2011,25,Issue,2014-01-01,Comicvine,42919,433787,Red Hood and the Outlaws,2011,25, ,https://comicvine.gamespot.com/red-hood-and-the-outlaws-25-zero-year-the-beckonin/4000-433787/,0 days 00:00:00,DC Comics
15,Batwoman,2011,25,Issue,2014-01-01,Comicvine,36950,433788,Batwoman,2011,25, ,https://comicvine.gamespot.com/batwoman-25-zero-year-or-high-water/4000-433788/,30 days 00:00:00,DC Comics
16,Birds of Prey,2011,25,Issue,2014-01-31,Comicvine,42806,433793,Birds of Prey,2011,25, ,https://comicvine.gamespot.com/birds-of-prey-25-zero-year-sunrise/4000-433793/,30 days 00:00:00,DC Comics
17,Catwoman,2011,25,Issue,2014-01-01,Comicvine,42722,434989,Catwoman,2011,25, ,https://comicvine.gamespot.com/catwoman-25-zero-year-before-the-claws-come-out/4000-434989/,0 days 00:00:00,DC Comics
18,The Flash,2011,25,Issue,2014-01-01,Comicvine,43018,434993,The Flash,2011,25, ,https://comicvine.gamespot.com/the-flash-25-zero-year-starting-line/4000-434993/,31 days 00:00:00,DC Comics
19,Batman,2011,26,Issue,2014-02-01,Comicvine,42721,436145,Batman,2011,26, ,https://comicvine.gamespot.com/batman-26-zero-year-dark-city-part-three/4000-436145/,58 days 00:00:00,DC Comics
20,Batman,2011,27,Issue,2014-03-31,Comicvine,42721,442869,Batman,2011,27, ,https://comicvine.gamespot.com/batman-27-zero-year-dark-city-part-four/4000-442869/,61 days 00:00:00,DC Comics
21,Batman,2011,29,Issue,2014-05-31,Comicvine,42721,447467,Batman,2011,29, ,https://comicvine.gamespot.com/batman-29-zero-year-dark-city/4000-447467/,30 days 00:00:00,DC Comics
22,Batman,2011,30,Issue,2014-06-30,Comicvine,42721,450507,Batman,2011,30, ,https://comicvine.gamespot.com/batman-30-zero-year-savage-city-part-one/4000-450507/,31 days 00:00:00,DC Comics
23,Batman,2011,31,Issue,2014-07-31,Comicvine,42721,454042,Batman,2011,31, ,https://comicvine.gamespot.com/batman-31-zero-year-savage-city-part-two/4000-454042/,31 days 00:00:00,DC Comics
24,Batman,2011,32,Issue,2014-08-31,Comicvine,42721,457575,Batman,2011,32, ,https://comicvine.gamespot.com/batman-32-zero-year-savage-city-part-three/4000-457575/,30 days 00:00:00,DC Comics
25,Batman,2011,33,Issue,2014-09-30,Comicvine,42721,460259,Batman,2011,33, ,https://comicvine.gamespot.com/batman-33-zero-year-savage-city-part-four/4000-460259/,0 days 00:00:00,DC Comics
