,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Issue Number,CV Cover Image,CV Issue URL,Days Between Issues,CV Series Publisher
1,Gotham Gazette: Batman Dead?,2009,1,Issue,2009-05-01,Comicvine,25903,153071,Gotham Gazette: Batman Dead?,2009,1, ,https://comicvine.gamespot.com/gotham-gazette-batman-dead-1-batman-dead/4000-153071/,0 days 00:00:00,DC Comics
2,Battle for the Cowl,2009,1,Issue,2009-05-01,Comicvine,25959,153443,Batman: Battle for the Cowl,2009,1, ,https://comicvine.gamespot.com/issue/4000-153443/,0 days 00:00:00,DC Comics
3,Azrael: Death’s Dark Knight,2009,1,Issue,2009-05-01,Comicvine,26000,153683,Azrael: Death's Dark Knight,2009,1, ,https://comicvine.gamespot.com/azrael-deaths-dark-knight-1-book-one-simple-sacrif/4000-153683/,0 days 00:00:00,DC Comics
4,Oracle: The Cure,2009,1,Issue,2009-05-01,Comicvine,26058,154027,Oracle: The Cure,2009,1, ,https://comicvine.gamespot.com/oracle-the-cure-1-home-again-home-again/4000-154027/,0 days 00:00:00,DC Comics
5,Battle for the Cowl: Commissioner Gordon,2009,1,Issue,2009-05-01,Comicvine,26052,153993,Batman: Battle for the Cowl: Commissioner Gordon,2009,1, ,https://comicvine.gamespot.com/issue/4000-153993/,31 days 00:00:00,DC Comics
6,Battle for the Cowl: Man-Bat,2009,1,Issue,2009-06-01,Comicvine,26098,154627,Batman: Battle for the Cowl: Man-Bat,2009,1, ,https://comicvine.gamespot.com/issue/4000-154627/,0 days 00:00:00,DC Comics
7,Battle for the Cowl,2009,2,Issue,2009-06-01,Comicvine,25959,155147,Batman: Battle for the Cowl,2009,2, ,https://comicvine.gamespot.com/issue/4000-155147/,0 days 00:00:00,DC Comics
8,Azrael: Death’s Dark Knight,2009,2,Issue,2009-06-01,Comicvine,26000,155917,Azrael: Death's Dark Knight,2009,2, ,https://comicvine.gamespot.com/azrael-deaths-dark-knight-2-book-two-give-and-take/4000-155917/,0 days 00:00:00,DC Comics
9,Oracle: The Cure,2009,2,Issue,2009-06-01,Comicvine,26058,155508,Oracle: The Cure,2009,2, ,https://comicvine.gamespot.com/oracle-the-cure-2-big-trouble-in-hong-kong/4000-155508/,30 days 00:00:00,DC Comics
10,Secret Six,2008,9,Issue,2009-07-01,Comicvine,22841,157578,Secret Six,2008,9, ,https://comicvine.gamespot.com/secret-six-9-a-debt-of-significant-blood/4000-157578/,30 days 00:00:00,DC Comics
11,Battle for the Cowl: Arkham Asylum,2009,1,Issue,2009-06-01,Comicvine,26256,155760,Batman: Battle for the Cowl: Arkham Asylum,2009,1, ,https://comicvine.gamespot.com/issue/4000-155760/,0 days 00:00:00,DC Comics
12,Battle for the Cowl: The Underground,2009,1,Issue,2009-06-01,Comicvine,26294,156117,Batman: Battle for the Cowl: The Underground,2009,1, ,https://comicvine.gamespot.com/issue/4000-156117/,30 days 00:00:00,DC Comics
13,Battle for the Cowl: The Network,2009,1,Issue,2009-07-01,Comicvine,26323,156624,Batman: Battle for the Cowl: The Network,2009,1, ,https://comicvine.gamespot.com/issue/4000-156624/,0 days 00:00:00,DC Comics
14,Azrael: Death’s Dark Knight,2009,3,Issue,2009-07-01,Comicvine,26000,157147,Azrael: Death's Dark Knight,2009,3, ,https://comicvine.gamespot.com/azrael-deaths-dark-knight-3-book-three-why-ask-why/4000-157147/,0 days 00:00:00,DC Comics
15,Oracle: The Cure,2009,3,Issue,2009-07-01,Comicvine,26058,157302,Oracle: The Cure,2009,3, ,https://comicvine.gamespot.com/oracle-the-cure-3-a-matter-of-anti-life-or-death/4000-157302/,0 days 00:00:00,DC Comics
16,Battle for the Cowl,2009,3,Issue,2009-07-01,Comicvine,25959,157716,Batman: Battle for the Cowl,2009,3, ,https://comicvine.gamespot.com/issue/4000-157716/,0 days 00:00:00,DC Comics
17,Gotham Gazette: Batman Alive?,2009,1,Issue,2009-07-01,Comicvine,26539,158686,Gotham Gazette: Batman Alive?,2009,1, ,https://comicvine.gamespot.com/gotham-gazette-batman-alive-1-one-shot/4000-158686/,0 days 00:00:00,DC Comics
