,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Issue Number,CV Cover Image,CV Issue URL,Days Between Issues,CV Series Publisher
1,Blackest Night: Tales of the Corps,2009,1,Issue,2009-09-01,Comicvine,27068,164031,Blackest Night: Tales of the Corps,2009,1, ,https://comicvine.gamespot.com/blackest-night-tales-of-the-corps-1-saint-walker-m/4000-164031/,0 days 00:00:00,DC Comics
2,Blackest Night: Tales of the Corps,2009,2,Issue,2009-09-01,Comicvine,27068,164776,Blackest Night: Tales of the Corps,2009,2, ,https://comicvine.gamespot.com/blackest-night-tales-of-the-corps-2-fly-away-lost-/4000-164776/,0 days 00:00:00,DC Comics
3,Blackest Night: Tales of the Corps,2009,3,Issue,2009-09-01,Comicvine,27068,165440,Blackest Night: Tales of the Corps,2009,3, ,https://comicvine.gamespot.com/blackest-night-tales-of-the-corps-3-new-blood-dadd/4000-165440/,29 days 00:00:00,DC Comics
4,Titans,2008,15,Issue,2009-09-30,Comicvine,21159,164060,Titans,2008,15, ,https://comicvine.gamespot.com/titans-15-through-thine-eyes/4000-164060/,0 days 00:00:00,DC Comics
5,Green Lantern,2005,43,Issue,2009-09-30,Comicvine,18216,163297,Green Lantern,2005,43, ,https://comicvine.gamespot.com/green-lantern-43-blackest-night-prologue-tale-of-t/4000-163297/,121 days 00:00:00,DC Comics
6,Blackest Night,2011,0,Issue,2009-06-01,Comicvine,26266,155833,Blackest Night,2009,0, ,https://comicvine.gamespot.com/issue/4000-155833/,92 days 00:00:00,DC Comics
7,Blackest Night,2009,1,Issue,2009-09-01,Comicvine,26266,164032,Blackest Night,2009,1, ,https://comicvine.gamespot.com/blackest-night-1-who-will-rise/4000-164032/,61 days 00:00:00,DC Comics
8,Solomon Grundy,2009,7,Issue,2009-11-01,Comicvine,25902,169505,Solomon Grundy,2009,7, ,https://comicvine.gamespot.com/solomon-grundy-7-buried-on-a-sunday/4000-169505/,61 days 00:00:00,DC Comics
9,Superman/Batman,2003,66,Issue,2010-01-01,Comicvine,10938,183776,Superman/Batman,2003,66, ,https://comicvine.gamespot.com/supermanbatman-66-night-of-the-cure-part-one/4000-183776/,31 days 00:00:00,DC Comics
10,Superman/Batman,2003,67,Issue,2010-02-01,Comicvine,10938,187620,Superman/Batman,2003,67, ,https://comicvine.gamespot.com/supermanbatman-67-night-of-the-cure-part-two/4000-187620/,123 days 00:00:00,DC Comics
11,Green Lantern Corps,2006,39,Issue,2009-10-01,Comicvine,18248,166886,Green Lantern Corps,2006,39, ,https://comicvine.gamespot.com/green-lantern-corps-39-fade-to-black/4000-166886/,30 days 00:00:00,DC Comics
12,Green Lantern,2005,44,Issue,2009-09-01,Comicvine,18216,164775,Green Lantern,2005,44, ,https://comicvine.gamespot.com/green-lantern-44-only-the-good-die-young/4000-164775/,30 days 00:00:00,DC Comics
13,Blackest Night,2009,2,Issue,2009-10-01,Comicvine,26266,166823,Blackest Night,2009,2, ,https://comicvine.gamespot.com/blackest-night-2-part-2/4000-166823/,151 days 00:00:00,DC Comics
14,Phantom Stranger,1969,42,Issue,2010-03-01,Comicvine,2437,193390,The Phantom Stranger,1969,42, ,https://comicvine.gamespot.com/the-phantom-stranger-42-deadman-walking/4000-193390/,151 days 00:00:00,DC Comics
