,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Issue Number,CV Cover Image,CV Issue URL,Days Between Issues,CV Series Publisher
1,Lobo Vol. 2 Annual,1993,1,Issue,1993-08-01,Comicvine,24492,145104,Lobo Annual,1993,1, ,https://comicvine.gamespot.com/issue/4000-145104/,212 days 00:00:00,DC Comics
2,Superman: The Man of Steel Annual,1992,2,Issue,1993-01-01,Comicvine,21108,145092,Superman: The Man of Steel Annual,1992,2, ,https://comicvine.gamespot.com/superman-the-man-of-steel-annual-2-cutting-edge/4000-145092/,0 days 00:00:00,DC Comics
3,Batman: Shadow of The Bat Annual,1993,1,Issue,1993-01-01,Comicvine,9219,130466,Batman: Shadow of the Bat Annual,1993,1, ,https://comicvine.gamespot.com/batman-shadow-of-the-bat-annual-1-joe-public/4000-130466/,30 days 00:00:00,DC Comics
4,Flash Vol. 2 Annual,1987,6,Issue,1993-01-31,Comicvine,3791,36646,The Flash Annual,1987,6, ,https://comicvine.gamespot.com/issue/4000-36646/,30 days 00:00:00,DC Comics
5,New Titans Annual,1989,9,Issue,1993-01-01,Comicvine,4204,36652,The New Titans Annual,1989,9, ,https://comicvine.gamespot.com/issue/4000-36652/,0 days 00:00:00,DC Comics
6,Superman Vol. 2 Annual,1960,5,Issue,1993-01-01,Comicvine,3817,71045,Superman Annual,1987,5, ,https://comicvine.gamespot.com/issue/4000-71045/,0 days 00:00:00,DC Comics
7,Green Lantern Annual,1992,2,Issue,1993-01-01,Comicvine,4740,36631,Green Lantern Annual,1992,2, ,https://comicvine.gamespot.com/issue/4000-36631/,0 days 00:00:00,DC Comics
8,Batman Annual,1961,17,Issue,1993-01-01,Comicvine,3109,82302,Batman Annual,1961,17, ,https://comicvine.gamespot.com/issue/4000-82302/,0 days 00:00:00,DC Comics
9,Justice League International Annual,1988,4,Issue,1993-01-01,Comicvine,23398,140380,Justice League International Annual,1988,4, ,https://comicvine.gamespot.com/issue/4000-140380/,364 days 00:00:00,DC Comics
10,Robin Vol. 4 Annual,1992,2,Issue,1993-12-31,Comicvine,9220,130467,Robin Annual,1992,2, ,https://comicvine.gamespot.com/issue/4000-130467/,171 days 00:00:00,DC Comics
11,Action Comics Annual,1987,5,Issue,1993-07-13,Comicvine,3776,36643,Action Comics Annual,1987,5, ,https://comicvine.gamespot.com/issue/4000-36643/,12 days 00:00:00,DC Comics
12,Legion of Super-Heroes Vol. 4 Annual,1985,4,Issue,1993-07-01,Comicvine,4371,38317,The Legion of Super-Heroes Annual,1990,4, ,https://comicvine.gamespot.com/issue/4000-38317/,30 days 00:00:00,DC Comics
13,Green Arrow Vol. 2 Annual,1988,6,Issue,1993-06-01,Comicvine,4004,51239,Green Arrow Annual,1988,6, ,https://comicvine.gamespot.com/issue/4000-51239/,0 days 00:00:00,DC Comics
14,Detective Comics Annual,2018,6,Issue,1993-06-01,Comicvine,3993,36660,Detective Comics Annual,1988,6, ,https://comicvine.gamespot.com/issue/4000-36660/,151 days 00:00:00,DC Comics
15,Justice League America Annual,1991,7,Issue,1993-01-01,Comicvine,4368,36648,Justice League America Annual,1991,7, ,https://comicvine.gamespot.com/issue/4000-36648/,364 days 00:00:00,DC Comics
16,Adventures of Superman Annual,1987,5,Issue,1993-12-31,Comicvine,3777,70998,Adventures of Superman Annual,1987,5, ,https://comicvine.gamespot.com/issue/4000-70998/,364 days 00:00:00,DC Comics
17,Hawkman Vol. 3 Annual,1993,1,Issue,1993-01-01,Comicvine,30824,190504,Hawkman Annual,1993,1, ,https://comicvine.gamespot.com/issue/4000-190504/,0 days 00:00:00,DC Comics
18,Deathstroke Annual,2015,2,Issue,1993-01-01,Comicvine,24490,145091,Deathstroke the Terminator Annual,1992,2, ,https://comicvine.gamespot.com/issue/4000-145091/,249 days 00:00:00,DC Comics
19,Eclipso Annual,1993,1,Issue,1993-09-07,Comicvine,27259,166127,Eclipso Annual,1993,1, ,https://comicvine.gamespot.com/eclipso-annual-1-the-man-who-cracked/4000-166127/,219 days 00:00:00,DC Comics
20,Demon Vol. 3 Annual,1992,2,Issue,1993-01-31,Comicvine,18553,109292,Demon Annual,1992,2, ,https://comicvine.gamespot.com/issue/4000-109292/,30 days 00:00:00,DC Comics
21,Batman: Legends of The Dark Knight Annual,1993,3,Issue,1993-01-01,Comicvine,4950,36608,Batman: Legends of the Dark Knight Annual,1993,3, ,https://comicvine.gamespot.com/issue/4000-36608/,0 days 00:00:00,DC Comics
22,Team Titans Annual,1993,1,Issue,1993-01-01,Comicvine,9321,74631,Team Titans Annual,1993,1, ,https://comicvine.gamespot.com/team-titans-annual-1-in-the-mind-of-chimera/4000-74631/,0 days 00:00:00,DC Comics
23,L.E.G.I.O.N. Annual,1990,4,Issue,1993-01-01,Comicvine,23015,138783,L.E.G.I.O.N. Annual,1990,4, ,https://comicvine.gamespot.com/issue/4000-138783/,334 days 00:00:00,DC Comics
24,Bloodbath,1993,1,Issue,1993-12-01,Comicvine,4954,38194,Bloodbath Special,1993,1, ,https://comicvine.gamespot.com/issue/4000-38194/,0 days 00:00:00,DC Comics
25,Bloodbath,1993,2,Issue,1993-12-01,Comicvine,4954,38312,Bloodbath Special,1993,2, ,https://comicvine.gamespot.com/issue/4000-38312/,0 days 00:00:00,DC Comics
