,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Issue Number,CV Cover Image,CV Issue URL,Days Between Issues,CV Series Publisher
1,Brightest Day,2010,0,Issue,2010-06-01,Comicvine,32561,206568,Brightest Day,2010,0, ,https://comicvine.gamespot.com/brightest-day-0-carpe-diem/4000-206568/,60 days 00:00:00,DC Comics
2,Justice League: Generation Lost,2010,1,Issue,2010-07-31,Comicvine,33082,213410,Justice League: Generation Lost,2010,1, ,https://comicvine.gamespot.com/justice-league-generation-lost-1-gone-but-not-forg/4000-213410/,30 days 00:00:00,DC Comics
3,Justice League: Generation Lost,2010,2,Issue,2010-07-01,Comicvine,33082,216238,Justice League: Generation Lost,2010,2, ,https://comicvine.gamespot.com/justice-league-generation-lost-2-maxed-out/4000-216238/,31 days 00:00:00,DC Comics
4,Justice League: Generation Lost,2010,3,Issue,2010-08-01,Comicvine,33082,218374,Justice League: Generation Lost,2010,3, ,https://comicvine.gamespot.com/justice-league-generation-lost-3-something-old-som/4000-218374/,0 days 00:00:00,DC Comics
5,Justice League: Generation Lost,2010,4,Issue,2010-08-01,Comicvine,33082,220788,Justice League: Generation Lost,2010,4, ,https://comicvine.gamespot.com/justice-league-generation-lost-4-the-rockets-red-g/4000-220788/,31 days 00:00:00,DC Comics
6,Justice League: Generation Lost,2010,5,Issue,2010-09-01,Comicvine,33082,224654,Justice League: Generation Lost,2010,5, ,https://comicvine.gamespot.com/justice-league-generation-lost-5-the-gangs-all-her/4000-224654/,0 days 00:00:00,DC Comics
7,Justice League: Generation Lost,2010,6,Issue,2010-09-01,Comicvine,33082,226905,Justice League: Generation Lost,2010,6, ,https://comicvine.gamespot.com/justice-league-generation-lost-6-splitting-the-ato/4000-226905/,92 days 00:00:00,DC Comics
8,Green Lantern,2005,53,Issue,2010-06-01,Comicvine,18216,208425,Green Lantern,2005,53, ,https://comicvine.gamespot.com/green-lantern-53-the-new-guardians-chapter-1/4000-208425/,30 days 00:00:00,DC Comics
9,Green Lantern Corps,2006,48,Issue,2010-07-01,Comicvine,18248,216208,Green Lantern Corps,2006,48, ,https://comicvine.gamespot.com/green-lantern-corps-48-revolt-of-the-alpha-lantern/4000-216208/,6 days 00:00:00,DC Comics
10,Brightest Day,2010,1,Issue,2010-07-07,Comicvine,32561,211998,Brightest Day,2010,1, ,https://comicvine.gamespot.com/brightest-day-1-second-chances/4000-211998/,86 days 00:00:00,DC Comics
11,Green Lantern: Emerald Warriors,2010,1,Issue,2010-10-01,Comicvine,34838,228834,Green Lantern: Emerald Warriors,2010,1, ,https://comicvine.gamespot.com/green-lantern-emerald-warriors-1-last-will/4000-228834/,92 days 00:00:00,DC Comics
12,Green Lantern,2005,54,Issue,2010-07-01,Comicvine,18216,216101,Green Lantern,2005,54, ,https://comicvine.gamespot.com/green-lantern-54-the-new-guardians-chapter-2/4000-216101/,31 days 00:00:00,DC Comics
13,Green Lantern,2005,55,Issue,2010-08-01,Comicvine,18216,221825,Green Lantern,2005,55, ,https://comicvine.gamespot.com/green-lantern-55-the-new-guardians-chapter-3/4000-221825/,4 days 00:00:00,DC Comics
14,Brightest Day,2010,2,Issue,2010-07-28,Comicvine,32561,214598,Brightest Day,2010,2, ,https://comicvine.gamespot.com/brightest-day-2-nuclear-options/4000-214598/,7 days 00:00:00,DC Comics
15,Brightest Day,2010,3,Issue,2010-08-04,Comicvine,32561,217098,Brightest Day,2010,3, ,https://comicvine.gamespot.com/brightest-day-3-revelations/4000-217098/,21 days 00:00:00,DC Comics
16,Brightest Day,2010,4,Issue,2010-08-25,Comicvine,32561,219509,Brightest Day,2010,4, ,https://comicvine.gamespot.com/brightest-day-4-thresholds/4000-219509/,7 days 00:00:00,DC Comics
17,Brightest Day,2010,5,Issue,2010-09-01,Comicvine,32561,223276,Brightest Day,2010,5, ,https://comicvine.gamespot.com/brightest-day-5-under-pressure/4000-223276/,28 days 00:00:00,DC Comics
