,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Issue Number,CV Cover Image,CV Issue URL,Days Between Issues,CV Series Publisher
1,Batman,1940,600,Issue,2002-04-01,Comicvine,796,83257,Batman,1940,600, ,https://comicvine.gamespot.com/issue/4000-83257/,30 days 00:00:00,DC Comics
2,Birds of Prey,1999,41,Issue,2002-05-01,Comicvine,6498,80285,Birds of Prey,1999,41, ,https://comicvine.gamespot.com/birds-of-prey-41-bruce-wayne-fugitive-part-two-fel/4000-80285/,0 days 00:00:00,DC Comics
3,Batman,1940,601,Issue,2002-05-01,Comicvine,796,83258,Batman,1940,601, ,https://comicvine.gamespot.com/issue/4000-83258/,31 days 00:00:00,DC Comics
4,Detective Comics,1937,769,Issue,2002-06-01,Comicvine,18058,113284,Detective Comics,1937,769, ,https://comicvine.gamespot.com/issue/4000-113284/,0 days 00:00:00,DC Comics
5,Batgirl,2000,27,Issue,2002-06-01,Comicvine,7205,121092,Batgirl,2000,27, ,https://comicvine.gamespot.com/issue/4000-121092/,0 days 00:00:00,DC Comics
6,Nightwing,1996,68,Issue,2002-06-01,Comicvine,5755,114300,Nightwing,1996,68, ,https://comicvine.gamespot.com/issue/4000-114300/,0 days 00:00:00,DC Comics
7,Batman: Gotham Knights,2000,28,Issue,2002-06-01,Comicvine,7207,55321,Batman: Gotham Knights,2000,28, ,https://comicvine.gamespot.com/issue/4000-55321/,30 days 00:00:00,DC Comics
8,Detective Comics,1937,770,Issue,2002-07-01,Comicvine,18058,113285,Detective Comics,1937,770, ,https://comicvine.gamespot.com/issue/4000-113285/,0 days 00:00:00,DC Comics
9,Nightwing,1996,69,Issue,2002-07-01,Comicvine,5755,114301,Nightwing,1996,69, ,https://comicvine.gamespot.com/issue/4000-114301/,0 days 00:00:00,DC Comics
10,Birds of Prey,1999,43,Issue,2002-07-01,Comicvine,6498,112389,Birds of Prey,1999,43, ,https://comicvine.gamespot.com/birds-of-prey-43-blind-spot/4000-112389/,0 days 00:00:00,DC Comics
11,Batman,1940,603,Issue,2002-07-01,Comicvine,796,83268,Batman,1940,603, ,https://comicvine.gamespot.com/issue/4000-83268/,31 days 00:00:00,DC Comics
12,Detective Comics,1937,771,Issue,2002-08-01,Comicvine,18058,113323,Detective Comics,1937,771, ,https://comicvine.gamespot.com/issue/4000-113323/,0 days 00:00:00,DC Comics
13,Batgirl,2000,29,Issue,2002-08-01,Comicvine,7205,121108,Batgirl,2000,29, ,https://comicvine.gamespot.com/issue/4000-121108/,0 days 00:00:00,DC Comics
14,Batman: Gotham Knights,2000,30,Issue,2002-08-01,Comicvine,7207,55323,Batman: Gotham Knights,2000,30, ,https://comicvine.gamespot.com/issue/4000-55323/,30 days 00:00:00,DC Comics
15,Azrael,1995,91,Issue,2002-08-31,Comicvine,19721,135661,Azrael: Agent of the Bat,1998,91, ,https://comicvine.gamespot.com/issue/4000-135661/,1 days 00:00:00,DC Comics
16,Detective Comics,1937,772,Issue,2002-09-01,Comicvine,18058,113324,Detective Comics,1937,772, ,https://comicvine.gamespot.com/issue/4000-113324/,0 days 00:00:00,DC Comics
17,Batman: Gotham Knights,2000,31,Issue,2002-09-01,Comicvine,7207,119362,Batman: Gotham Knights,2000,31, ,https://comicvine.gamespot.com/issue/4000-119362/,0 days 00:00:00,DC Comics
18,Batman,1940,605,Issue,2002-09-01,Comicvine,796,84874,Batman,1940,605, ,https://comicvine.gamespot.com/issue/4000-84874/,30 days 00:00:00,DC Comics
19,Batman,1940,606,Issue,2002-10-01,Comicvine,796,124801,Batman,1940,606, ,https://comicvine.gamespot.com/issue/4000-124801/,31 days 00:00:00,DC Comics
20,Batman,1940,607,Issue,2002-11-01,Comicvine,796,124874,Batman,1940,607, ,https://comicvine.gamespot.com/issue/4000-124874/,31 days 00:00:00,DC Comics
21,Detective Comics,1937,773,Issue,2002-10-01,Comicvine,18058,113325,Detective Comics,1937,773, ,https://comicvine.gamespot.com/issue/4000-113325/,31 days 00:00:00,DC Comics
22,Detective Comics,1937,774,Issue,2002-11-01,Comicvine,18058,113326,Detective Comics,1937,774, ,https://comicvine.gamespot.com/issue/4000-113326/,30 days 00:00:00,DC Comics
23,Detective Comics,1937,775,Issue,2002-12-01,Comicvine,18058,113327,Detective Comics,1937,775, ,https://comicvine.gamespot.com/issue/4000-113327/,0 days 00:00:00,DC Comics
24,Batgirl,2000,33,Issue,2002-12-01,Comicvine,7205,91324,Batgirl,2000,33, ,https://comicvine.gamespot.com/issue/4000-91324/,0 days 00:00:00,DC Comics
