,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Issue Number,CV Cover Image,CV Issue URL,Days Between Issues,CV Series Publisher
1,Batman: The 10-Cent Adventure,2002,1,Issue,2002-03-01,Comicvine,26209,155488,Batman: The 10-Cent Adventure,2002,1, ,https://comicvine.gamespot.com/batman-the-10-cent-adventure-1-the-fools-errand/4000-155488/,0 days 00:00:00,DC Comics
2,Detective Comics,1937,766,Issue,2002-03-01,Comicvine,18058,113281,Detective Comics,1937,766, ,https://comicvine.gamespot.com/issue/4000-113281/,0 days 00:00:00,DC Comics
3,Batgirl,2000,24,Issue,2002-03-01,Comicvine,7205,51379,Batgirl,2000,24, ,https://comicvine.gamespot.com/issue/4000-51379/,0 days 00:00:00,DC Comics
4,Nightwing,1996,65,Issue,2002-03-01,Comicvine,5755,114297,Nightwing,1996,65, ,https://comicvine.gamespot.com/issue/4000-114297/,0 days 00:00:00,DC Comics
5,Batman: Gotham Knights,2000,25,Issue,2002-03-01,Comicvine,7207,51384,Batman: Gotham Knights,2000,25, ,https://comicvine.gamespot.com/issue/4000-51384/,0 days 00:00:00,DC Comics
6,Birds of Prey,1999,39,Issue,2002-03-01,Comicvine,6498,80283,Birds of Prey,1999,39, ,https://comicvine.gamespot.com/birds-of-prey-39-bruce-wayne-murderer-part-five-th/4000-80283/,0 days 00:00:00,DC Comics
7,Robin,1993,98,Issue,2002-03-01,Comicvine,4975,73781,Robin,1993,98, ,https://comicvine.gamespot.com/issue/4000-73781/,0 days 00:00:00,DC Comics
8,Batman,1940,599,Issue,2002-03-01,Comicvine,796,83256,Batman,1940,599, ,https://comicvine.gamespot.com/issue/4000-83256/,31 days 00:00:00,DC Comics
9,Detective Comics,1937,767,Issue,2002-04-01,Comicvine,18058,113282,Detective Comics,1937,767, ,https://comicvine.gamespot.com/issue/4000-113282/,0 days 00:00:00,DC Comics
10,Nightwing,1996,66,Issue,2002-04-01,Comicvine,5755,114298,Nightwing,1996,66, ,https://comicvine.gamespot.com/issue/4000-114298/,0 days 00:00:00,DC Comics
11,Batman: Gotham Knights,2000,26,Issue,2002-04-01,Comicvine,7207,55319,Batman: Gotham Knights,2000,26, ,https://comicvine.gamespot.com/issue/4000-55319/,0 days 00:00:00,DC Comics
12,Robin,1993,99,Issue,2002-04-01,Comicvine,4975,73782,Robin,1993,99, ,https://comicvine.gamespot.com/issue/4000-73782/,0 days 00:00:00,DC Comics
13,Birds of Prey,1999,40,Issue,2002-04-01,Comicvine,6498,80284,Birds of Prey,1999,40, ,https://comicvine.gamespot.com/birds-of-prey-40-bruce-wayne-murderer-part-12-swit/4000-80284/,0 days 00:00:00,DC Comics
