,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Issue Number,CV Cover Image,CV Issue URL,Days Between Issues,CV Series Publisher
1,Batman,2016,75,Issue,2019-09-01,Comicvine,91273,713771,Batman,2016,75, ,https://comicvine.gamespot.com/batman-75-city-of-bane-part-1/4000-713771/,0 days 00:00:00,DC Comics
2,Batman: Secret Files,2018,2,Issue,2019-09-01,Comicvine,114871,714614,Batman Secret Files,2018,2, ,https://comicvine.gamespot.com/batman-secret-files-2/4000-714614/,30 days 00:00:00,DC Comics
3,Batman,2016,76,Issue,2019-10-01,Comicvine,91273,715211,Batman,2016,76, ,https://comicvine.gamespot.com/batman-76-city-of-bane-part-2/4000-715211/,0 days 00:00:00,DC Comics
4,Batman,2016,77,Issue,2019-10-01,Comicvine,91273,716807,Batman,2016,77, ,https://comicvine.gamespot.com/batman-77-city-of-bane-part-3/4000-716807/,31 days 00:00:00,DC Comics
5,Batman,2016,78,Issue,2019-11-01,Comicvine,91273,718639,Batman,2016,78, ,https://comicvine.gamespot.com/batman-78-city-of-bane-part-4/4000-718639/,0 days 00:00:00,DC Comics
6,Batman,2016,79,Issue,2019-11-01,Comicvine,91273,719300,Batman,2016,79, ,https://comicvine.gamespot.com/batman-79-city-of-bane-part-5/4000-719300/,30 days 00:00:00,DC Comics
7,Batman,2016,80,Issue,2019-12-01,Comicvine,91273,721033,Batman,2016,80, ,https://comicvine.gamespot.com/batman-80-city-of-bane-part-6/4000-721033/,0 days 00:00:00,DC Comics
8,Batman,2016,81,Issue,2019-12-01,Comicvine,91273,722980,Batman,2016,81, ,https://comicvine.gamespot.com/batman-81-city-of-bane-part-7/4000-722980/,0 days 00:00:00,DC Comics
9,Batman Vol. 3 Annual,2017,4,Issue,2019-12-01,Comicvine,96128,725221,Batman Annual,2016,4, ,https://comicvine.gamespot.com/batman-annual-4-everyday/4000-725221/,31 days 00:00:00,DC Comics
10,Batman,2016,82,Issue,2020-01-01,Comicvine,91273,725997,Batman,2016,82, ,https://comicvine.gamespot.com/batman-82-city-of-bane-part-8/4000-725997/,0 days 00:00:00,DC Comics
11,Batman,2016,83,Issue,2020-01-01,Comicvine,91273,728313,Batman,2016,83, ,https://comicvine.gamespot.com/batman-83-city-of-bane-part-9/4000-728313/,31 days 00:00:00,DC Comics
12,Batman,2016,84,Issue,2020-02-01,Comicvine,91273,729492,Batman,2016,84, ,https://comicvine.gamespot.com/batman-84-city-of-bane-part-10/4000-729492/,0 days 00:00:00,DC Comics
13,Batman,2016,85,Issue,2020-02-01,Comicvine,91273,731301,Batman,2016,85, ,https://comicvine.gamespot.com/batman-85-city-of-bane-conclusion-epilogue/4000-731301/,29 days 00:00:00,DC Comics
14,Detective Comics Annual,2018,3,Issue,2020-03-01,Comicvine,108243,735361,Detective Comics Annual,2016,3, ,https://comicvine.gamespot.com/detective-comics-annual-3-who-dares-wins-the-week/4000-735361/,31 days 00:00:00,DC Comics
15,Batman: Pennyworth R.I.P.,2020,1,Issue,2020-04-01,Comicvine,124953,736995,Batman: Pennyworth R.I.P.,2020,1, ,https://comicvine.gamespot.com/batman-pennyworth-rip-1/4000-736995/,0 days 00:00:00,DC Comics
