,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Issue Number,CV Cover Image,CV Issue URL,Days Between Issues,CV Series Publisher
1,Convergence,2015,0,Issue,2015-06-30,Comicvine,81060,484841,Convergence,2015,0, ,https://comicvine.gamespot.com/convergence-0-the-god-machine/4000-484841/,0 days 00:00:00,DC Comics
2,Convergence,2015,1,Issue,2015-06-30,Comicvine,81060,485465,Convergence,2015,1, ,https://comicvine.gamespot.com/convergence-1-domesday/4000-485465/,29 days 00:00:00,DC Comics
3,Convergence: Speed Force,2015,1,Issue,2015-06-01,Comicvine,81221,485473,Convergence Speed Force,2015,1, ,https://comicvine.gamespot.com/convergence-speed-force-1-zip-ties-part-1-of-2/4000-485473/,30 days 00:00:00,DC Comics
4,Convergence: Speed Force,2015,2,Issue,2015-07-01,Comicvine,81221,487786,Convergence Speed Force,2015,2, ,https://comicvine.gamespot.com/convergence-speed-force-2-zip-ties-part-2-of-2/4000-487786/,30 days 00:00:00,DC Comics
5,Convergence: Superman,2015,1,Issue,2015-06-01,Comicvine,81224,485474,Convergence Superman,2015,1, ,https://comicvine.gamespot.com/convergence-superman-1-superman-again/4000-485474/,30 days 00:00:00,DC Comics
6,Convergence: Superman,2015,2,Issue,2015-07-01,Comicvine,81224,487787,Convergence Superman,2015,2, ,https://comicvine.gamespot.com/convergence-superman-2-superman-again/4000-487787/,30 days 00:00:00,DC Comics
7,Convergence: Nightwing & Oracle,2015,1,Issue,2015-06-01,Comicvine,81219,485471,Convergence Nightwing/Oracle,2015,1, ,https://comicvine.gamespot.com/convergence-nightwing-and-oracle-1-birds-of-rage/4000-485471/,30 days 00:00:00,DC Comics
8,Convergence: Nightwing & Oracle,2015,2,Issue,2015-07-01,Comicvine,81219,487784,Convergence Nightwing/Oracle,2015,2, ,https://comicvine.gamespot.com/convergence-nightwing-oracle-2-birds-of-rage-concl/4000-487784/,30 days 00:00:00,DC Comics
9,Convergence: The Question,2015,1,Issue,2015-06-01,Comicvine,81220,485472,Convergence The Question,2015,1, ,https://comicvine.gamespot.com/convergence-the-question-1-just-one-more-thing-par/4000-485472/,30 days 00:00:00,DC Comics
10,Convergence: The Question,2015,2,Issue,2015-07-01,Comicvine,81220,487785,Convergence The Question,2015,2, ,https://comicvine.gamespot.com/convergence-the-question-2-just-one-more-thing-par/4000-487785/,30 days 00:00:00,DC Comics
11,Convergence: Batman and Robin,2015,1,Issue,2015-06-01,Comicvine,81216,485468,Convergence Batman and Robin,2015,1, ,https://comicvine.gamespot.com/convergence-batman-and-robin-1-father-sons/4000-485468/,30 days 00:00:00,DC Comics
