,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Issue Number,CV Cover Image,CV Issue URL,Days Between Issues,CV Series Publisher
1,Wonder Woman,1987,206,Issue,2004-09-01,Comicvine,3824,101020,Wonder Woman,1987,206, ,https://comicvine.gamespot.com/wonder-woman-206-stoned-part-1/4000-101020/,30 days 00:00:00,DC Comics
2,Wonder Woman,1987,207,Issue,2004-10-01,Comicvine,3824,101021,Wonder Woman,1987,207, ,https://comicvine.gamespot.com/issue/4000-101021/,5783 days 00:00:00,DC Comics
3,Manhunter,1988,6,Issue,1988-12-01,Comicvine,4009,30395,Manhunter,1988,6, ,https://comicvine.gamespot.com/issue/4000-30395/,5814 days 00:00:00,DC Comics
4,Wonder Woman,1987,208,Issue,2004-11-01,Comicvine,3824,101022,Wonder Woman,1987,208, ,https://comicvine.gamespot.com/wonder-woman-208-stoned-part-3/4000-101022/,30 days 00:00:00,DC Comics
5,Wonder Woman,1987,209,Issue,2004-12-01,Comicvine,3824,101023,Wonder Woman,1987,209, ,https://comicvine.gamespot.com/wonder-woman-209-stoned-part-4/4000-101023/,31 days 00:00:00,DC Comics
6,Wonder Woman,1987,210,Issue,2005-01-01,Comicvine,3824,101024,Wonder Woman,1987,210, ,https://comicvine.gamespot.com/wonder-woman-210-stoned-conclusion/4000-101024/,31 days 00:00:00,DC Comics
7,Wonder Woman,1987,211,Issue,2005-02-01,Comicvine,3824,101025,Wonder Woman,1987,211, ,https://comicvine.gamespot.com/wonder-woman-211-to-the-victors-the-spoils/4000-101025/,0 days 00:00:00,DC Comics
8,The Flash,1987,217,Issue,2005-02-01,Comicvine,3790,98429,The Flash,1987,217, ,https://comicvine.gamespot.com/the-flash-217-post-crisis/4000-98429/,58 days 00:00:00,DC Comics
9,The Flash,1987,218,Issue,2005-03-31,Comicvine,3790,131554,The Flash,1987,218, ,https://comicvine.gamespot.com/the-flash-218-heat-wave/4000-131554/,58 days 00:00:00,DC Comics
10,JSA,1999,68,Issue,2005-02-01,Comicvine,6331,92337,JSA,1999,68, ,https://comicvine.gamespot.com/jsa-68-jsa-jsa-chapter-i-making-history/4000-92337/,28 days 00:00:00,DC Comics
11,JSA,1999,69,Issue,2005-03-01,Comicvine,6331,92338,JSA,1999,69, ,https://comicvine.gamespot.com/jsa-69-jsa-jsa-chapter-ii-guardian-angels/4000-92338/,31 days 00:00:00,DC Comics
12,JSA,1999,70,Issue,2005-04-01,Comicvine,6331,92339,JSA,1999,70, ,https://comicvine.gamespot.com/jsa-70-jsa-jsa-chapter-iii-high-societies/4000-92339/,30 days 00:00:00,DC Comics
13,JSA,1999,71,Issue,2005-05-01,Comicvine,6331,99193,JSA,1999,71, ,https://comicvine.gamespot.com/jsa-71-jsa-jsa-chapter-iv-past-mistakes/4000-99193/,31 days 00:00:00,DC Comics
14,JSA,1999,72,Issue,2005-06-01,Comicvine,6331,99194,JSA,1999,72, ,https://comicvine.gamespot.com/jsa-72-jsajsa/4000-99194/,92 days 00:00:00,DC Comics
15,Wonder Woman,1987,212,Issue,2005-03-01,Comicvine,3824,101026,Wonder Woman,1987,212, ,https://comicvine.gamespot.com/wonder-woman-212-counting-coup-part-1/4000-101026/,31 days 00:00:00,DC Comics
16,Wonder Woman,1987,213,Issue,2005-04-01,Comicvine,3824,101027,Wonder Woman,1987,213, ,https://comicvine.gamespot.com/wonder-woman-213-counting-coup-part-2/4000-101027/,121 days 00:00:00,DC Comics
17,Adventures of Superman,1987,633,Issue,2004-12-01,Comicvine,3778,100327,Adventures of Superman,1987,633, ,https://comicvine.gamespot.com/adventures-of-superman-633-that-healing-touch-part/4000-100327/,31 days 00:00:00,DC Comics
18,Adventures of Superman,1987,634,Issue,2005-01-01,Comicvine,3778,100328,Adventures of Superman,1987,634, ,https://comicvine.gamespot.com/adventures-of-superman-634-that-healing-touch-narr/4000-100328/,31 days 00:00:00,DC Comics
