,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Issue Number,CV Cover Image,CV Issue URL,Days Between Issues,CV Series Publisher
1,Crisis on Infinite Earths,1985,1,Issue,1985-04-30,Comicvine,3441,25335,Crisis on Infinite Earths,1985,1, ,https://comicvine.gamespot.com/crisis-on-infinite-earths-1-the-summoning/4000-25335/,154 days 00:00:00,DC Comics
2,All-Star Squadron,1981,50,Issue,1985-10-01,Comicvine,3070,25919,All-Star Squadron,1981,50, ,https://comicvine.gamespot.com/all-star-squadron-50-crisis-point/4000-25919/,31 days 00:00:00,DC Comics
3,All-Star Squadron,1981,51,Issue,1985-11-01,Comicvine,3070,26025,All-Star Squadron,1981,51, ,https://comicvine.gamespot.com/all-star-squadron-51-the-monster-society-of-evil/4000-26025/,30 days 00:00:00,DC Comics
4,All-Star Squadron,1981,52,Issue,1985-12-01,Comicvine,3070,26132,All-Star Squadron,1981,52, ,https://comicvine.gamespot.com/all-star-squadron-52-from-fear-to-eternityshanghai/4000-26132/,1 days 00:00:00,DC Comics
5,Fury of Firestorm,1982,41,Issue,1985-11-30,Comicvine,3115,26035,The Fury of Firestorm,1982,41, ,https://comicvine.gamespot.com/issue/4000-26035/,61 days 00:00:00,DC Comics
6,"Infinity, Inc.",1984,18,Issue,1985-09-30,Comicvine,3308,25842,"Infinity, Inc.",1984,18, ,https://comicvine.gamespot.com/issue/4000-25842/,152 days 00:00:00,DC Comics
7,Crisis on Infinite Earths,1985,2,Issue,1985-05-01,Comicvine,3441,25441,Crisis on Infinite Earths,1985,2, ,https://comicvine.gamespot.com/crisis-on-infinite-earths-2-time-and-time-again/4000-25441/,213 days 00:00:00,DC Comics
8,Green Lantern,1960,194,Issue,1985-11-30,Comicvine,2839,26037,Green Lantern,1960,194, ,https://comicvine.gamespot.com/issue/4000-26037/,30 days 00:00:00,DC Comics
9,"Infinity, Inc.",1984,19,Issue,1985-10-31,Comicvine,3308,25933,"Infinity, Inc.",1984,19, ,https://comicvine.gamespot.com/issue/4000-25933/,1 days 00:00:00,DC Comics
10,Justice League of America,1960,244,Issue,1985-11-01,Comicvine,2014,26040,Justice League of America,1960,244, ,https://comicvine.gamespot.com/justice-league-of-america-244-the-final-crisis/4000-26040/,29 days 00:00:00,DC Comics
