,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Issue Number,CV Cover Image,CV Issue URL,Days Between Issues,CV Series Publisher
1,Armageddon 2001,1991,1,Issue,1991-05-01,Comicvine,4540,34156,Armageddon 2001,1991,1, ,https://comicvine.gamespot.com/armageddon-2001-1-darktime/4000-34156/,31 days 00:00:00,DC Comics
2,Superman Vol. 2 Annual,1960,3,Issue,1991-06-01,Comicvine,3817,71043,Superman Annual,1987,3, ,https://comicvine.gamespot.com/issue/4000-71043/,10 days 00:00:00,DC Comics
3,Batman Annual,1961,15,Issue,1991-06-11,Comicvine,3109,82300,Batman Annual,1961,15, ,https://comicvine.gamespot.com/issue/4000-82300/,6 days 00:00:00,DC Comics
4,Justice League America Annual,1991,5,Issue,1991-06-17,Comicvine,4368,33655,Justice League America Annual,1991,5, ,https://comicvine.gamespot.com/issue/4000-33655/,8 days 00:00:00,DC Comics
5,Action Comics Annual,1987,3,Issue,1991-06-25,Comicvine,3776,33642,Action Comics Annual,1987,3, ,https://comicvine.gamespot.com/issue/4000-33642/,6 days 00:00:00,DC Comics
6,Flash Vol. 2 Annual,1987,4,Issue,1991-07-01,Comicvine,3791,33648,The Flash Annual,1987,4, ,https://comicvine.gamespot.com/issue/4000-33648/,0 days 00:00:00,DC Comics
7,Hawkworld Vol. 2 Annual,1990,2,Issue,1991-07-01,Comicvine,4366,33633,Hawkworld Annual,1990,2, ,https://comicvine.gamespot.com/issue/4000-33633/,14 days 00:00:00,DC Comics
8,New Titans Annual,1989,7,Issue,1991-07-15,Comicvine,4204,33659,The New Titans Annual,1989,7, ,https://comicvine.gamespot.com/the-new-titans-annual-7-2001-a-titans-odyssey/4000-33659/,14 days 00:00:00,DC Comics
9,Detective Comics Annual,2018,4,Issue,1991-07-01,Comicvine,3993,33683,Detective Comics Annual,1988,4, ,https://comicvine.gamespot.com/detective-comics-annual-4-succession/4000-33683/,29 days 00:00:00,DC Comics
10,Adventures of Superman Annual,1987,3,Issue,1991-07-30,Comicvine,3777,113946,Adventures of Superman Annual,1987,3, ,https://comicvine.gamespot.com/issue/4000-113946/,7 days 00:00:00,DC Comics
11,L.E.G.I.O.N. Annual,1990,2,Issue,1991-08-06,Comicvine,23015,138777,L.E.G.I.O.N. Annual,1990,2, ,https://comicvine.gamespot.com/issue/4000-138777/,7 days 00:00:00,DC Comics
12,Hawk And Dove Vol. 3 Annual,1990,2,Issue,1991-08-13,Comicvine,4364,33632,Hawk and Dove Annual,1990,2, ,https://comicvine.gamespot.com/issue/4000-33632/,7 days 00:00:00,DC Comics
13,Justice League Europe Annual,1990,2,Issue,1991-08-20,Comicvine,4369,33634,Justice League Europe Annual,1990,2, ,https://comicvine.gamespot.com/issue/4000-33634/,42 days 00:00:00,DC Comics
14,Armageddon 2001,1991,2,Issue,1991-10-01,Comicvine,4540,34717,Armageddon 2001,1991,2, ,https://comicvine.gamespot.com/armageddon-2001-2/4000-34717/,30 days 00:00:00,DC Comics
15,Action Comics,1938,670,Issue,1991-10-31,Comicvine,18005,113845,Action Comics,1938,670, ,https://comicvine.gamespot.com/action-comics-670-skullduggery/4000-113845/,0 days 00:00:00,DC Comics
