,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Issue Number,CV Cover Image,CV Issue URL,Days Between Issues,CV Series Publisher
1,Chronos,1998,"1,000,000",Issue,1998-11-01,Comicvine,6602,47226,Chronos,1998,1000000, ,https://comicvine.gamespot.com/issue/4000-47226/,0 days 00:00:00,DC Comics
2,DC One Million,1998,1,Issue,1998-11-01,Comicvine,22461,134835,DC One Million,1998,1, ,https://comicvine.gamespot.com/issue/4000-134835/,0 days 00:00:00,DC Comics
3,DC One Million,1998,2,Issue,1998-11-01,Comicvine,22461,134836,DC One Million,1998,2, ,https://comicvine.gamespot.com/dc-one-million-2-the-day-after-tomorrow/4000-134836/,0 days 00:00:00,DC Comics
4,Man of Steel,1991,"1,000,000",Issue,1998-11-01,Comicvine,4571,114849,Superman: The Man of Steel,1991,1000000, ,https://comicvine.gamespot.com/issue/4000-114849/,0 days 00:00:00,DC Comics
5,Superman,1987,"1,000,000",Issue,1998-11-01,Comicvine,3816,89493,Superman,1987,1000000, ,https://comicvine.gamespot.com/issue/4000-89493/,0 days 00:00:00,DC Comics
6,Young Justice,1998,"1,000,000",Issue,1998-11-01,Comicvine,9420,91354,Young Justice,1998,1000000, ,https://comicvine.gamespot.com/issue/4000-91354/,0 days 00:00:00,DC Comics
7,Superboy,1994,"1,000,000",Issue,1998-11-01,Comicvine,5261,51303,Superboy,1994,1000000, ,https://comicvine.gamespot.com/issue/4000-51303/,0 days 00:00:00,DC Comics
8,Shadow of the Bat,1992,"1,000,000",Issue,1998-11-01,Comicvine,4724,93817,Batman: Shadow of the Bat,1992,1000000, ,https://comicvine.gamespot.com/issue/4000-93817/,0 days 00:00:00,DC Comics
9,Nightwing,1996,"1,000,000",Issue,1998-11-01,Comicvine,5755,45490,Nightwing,1996,1000000, ,https://comicvine.gamespot.com/issue/4000-45490/,0 days 00:00:00,DC Comics
10,Detective Comics,1937,"1,000,000",Issue,1998-11-01,Comicvine,18058,168662,Detective Comics,1937,1000000, ,https://comicvine.gamespot.com/issue/4000-168662/,0 days 00:00:00,DC Comics
11,Impulse,1995,"1,000,000",Issue,1998-11-01,Comicvine,5509,126422,Impulse,1995,1000000, ,https://comicvine.gamespot.com/issue/4000-126422/,29 days 00:00:00,DC Comics
12,Starman,1994,"1,000,000",Issue,1998-11-30,Comicvine,5259,78360,Starman,1994,1000000, ,https://comicvine.gamespot.com/issue/4000-78360/,29 days 00:00:00,DC Comics
13,JLA,1997,"1,000,000",Issue,1998-11-01,Comicvine,5957,45455,JLA,1997,1000000, ,https://comicvine.gamespot.com/issue/4000-45455/,0 days 00:00:00,DC Comics
14,DC One Million,1998,3,Issue,1998-11-01,Comicvine,22461,134837,DC One Million,1998,3, ,https://comicvine.gamespot.com/dc-one-million-3-solaris-rising/4000-134837/,0 days 00:00:00,DC Comics
15,Azrael,1995,"1,000,000",Issue,1998-11-01,Comicvine,5490,118241,Azrael,1995,1000000, ,https://comicvine.gamespot.com/issue/4000-118241/,29 days 00:00:00,DC Comics
16,Batman,1940,"1,000,000",Issue,1998-11-30,Comicvine,796,45459,Batman,1940,1000000, ,https://comicvine.gamespot.com/issue/4000-45459/,29 days 00:00:00,DC Comics
17,Catwoman,1993,"1,000,000",Issue,1998-11-01,Comicvine,4955,46578,Catwoman,1993,1000000, ,https://comicvine.gamespot.com/issue/4000-46578/,0 days 00:00:00,DC Comics
18,Robin,1993,"1,000,000",Issue,1998-11-01,Comicvine,4975,45465,Robin,1993,1000000, ,https://comicvine.gamespot.com/issue/4000-45465/,29 days 00:00:00,DC Comics
19,Green Arrow,1988,"1,000,000",Issue,1998-11-30,Comicvine,4003,51256,Green Arrow,1988,1000000, ,https://comicvine.gamespot.com/issue/4000-51256/,29 days 00:00:00,DC Comics
20,Legionnaires,1993,"1,000,000",Issue,1998-11-01,Comicvine,4971,168505,Legionnaires,1993,1000000, ,https://comicvine.gamespot.com/issue/4000-168505/,0 days 00:00:00,DC Comics
21,Chase,1998,"1,000,000",Issue,1998-11-01,Comicvine,6152,45431,Chase,1998,1000000, ,https://comicvine.gamespot.com/issue/4000-45431/,0 days 00:00:00,DC Comics
22,Creeper,1997,"1,000,000",Issue,1998-11-01,Comicvine,5945,45489,The Creeper,1997,1000000, ,https://comicvine.gamespot.com/issue/4000-45489/,29 days 00:00:00,DC Comics
23,Supergirl,1996,"1,000,000",Issue,1998-11-30,Comicvine,5766,45473,Supergirl,1996,1000000, ,https://comicvine.gamespot.com/issue/4000-45473/,0 days 00:00:00,DC Comics
24,Young Heroes in Love,1997,"1,000,000",Issue,1998-11-30,Comicvine,5994,45448,Young Heroes In Love,1997,1000000, ,https://comicvine.gamespot.com/issue/4000-45448/,29 days 00:00:00,DC Comics
25,Lobo,1993,"1,000,000",Issue,1998-11-01,Comicvine,18356,115265,Lobo,1993,1000000, ,https://comicvine.gamespot.com/issue/4000-115265/,0 days 00:00:00,DC Comics
26,Wonder Woman,1987,"1,000,000",Issue,1998-11-01,Comicvine,3824,83270,Wonder Woman,1987,1000000, ,https://comicvine.gamespot.com/issue/4000-83270/,0 days 00:00:00,DC Comics
27,Power of Shazam!,1995,"1,000,000",Issue,1998-11-01,Comicvine,5515,97671,The Power of SHAZAM!,1995,1000000, ,https://comicvine.gamespot.com/issue/4000-97671/,0 days 00:00:00,DC Comics
28,The Flash,1987,"1,000,000",Issue,1998-11-01,Comicvine,3790,84914,The Flash,1987,1000000, ,https://comicvine.gamespot.com/issue/4000-84914/,0 days 00:00:00,DC Comics
29,Aquaman,1994,"1,000,000",Issue,1998-11-01,Comicvine,5230,45454,Aquaman,1994,1000000, ,https://comicvine.gamespot.com/issue/4000-45454/,0 days 00:00:00,DC Comics
30,Green Lantern,1990,"1,000,000",Issue,1998-11-01,Comicvine,4363,45477,Green Lantern,1990,1000000, ,https://comicvine.gamespot.com/issue/4000-45477/,29 days 00:00:00,DC Comics
31,Martian Manhunter,1998,"1,000,000",Issue,1998-11-30,Comicvine,6176,45438,Martian Manhunter,1998,1000000, ,https://comicvine.gamespot.com/issue/4000-45438/,0 days 00:00:00,DC Comics
32,Action Comics,1938,"1,000,000",Issue,1998-11-30,Comicvine,18005,112041,Action Comics,1938,1000000, ,https://comicvine.gamespot.com/issue/4000-112041/,29 days 00:00:00,DC Comics
33,Adventures of Superman,1987,"1,000,000",Issue,1998-11-01,Comicvine,3778,116162,Adventures of Superman,1987,1000000, ,https://comicvine.gamespot.com/issue/4000-116162/,0 days 00:00:00,DC Comics
34,Man of Tomorrow,1995,"1,000,000",Issue,1998-11-01,Comicvine,5523,45462,Superman: The Man of Tomorrow,1995,1000000, ,https://comicvine.gamespot.com/issue/4000-45462/,0 days 00:00:00,DC Comics
35,Resurrection Man,1997,"1,000,000",Issue,1998-11-01,Comicvine,5965,46110,Resurrection Man,1997,1000000, ,https://comicvine.gamespot.com/issue/4000-46110/,0 days 00:00:00,DC Comics
36,DC One Million,1998,4,Issue,1998-11-01,Comicvine,22461,134838,DC One Million,1998,4, ,https://comicvine.gamespot.com/dc-one-million-4-death-star/4000-134838/,29 days 00:00:00,DC Comics
37,Hitman,1996,"1,000,000",Issue,1998-11-30,Comicvine,5750,45472,Hitman,1996,1000000, ,https://comicvine.gamespot.com/issue/4000-45472/,29 days 00:00:00,DC Comics
38,Legion of Super-Heroes,1989,"1,000,000",Issue,1998-11-01,Comicvine,4201,84586,Legion of Super-Heroes,1989,1000000, ,https://comicvine.gamespot.com/issue/4000-84586/,273 days 00:00:00,DC Comics
39,DC One Million 80-Page Giant,1999,"1,000,000",Issue,1999-08-01,Comicvine,27490,167616,DC One Million 80-Page Giant,1999,1000000, ,https://comicvine.gamespot.com/issue/4000-167616/,0 days 00:00:00,DC Comics
