,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Issue Number,CV Cover Image,CV Issue URL,Days Between Issues,CV Series Publisher
1,DCeased,2019,1,Issue,2019-07-01,Comicvine,118648,707485,DCeased,2019,1, ,https://comicvine.gamespot.com/issue/4000-707485/,31 days 00:00:00,DC Comics
2,DCeased,2019,2,Issue,2019-08-01,Comicvine,118648,710579,DCeased,2019,2, ,https://comicvine.gamespot.com/issue/4000-710579/,31 days 00:00:00,DC Comics
3,DCeased,2019,3,Issue,2019-09-01,Comicvine,118648,712945,DCeased,2019,3, ,https://comicvine.gamespot.com/issue/4000-712945/,30 days 00:00:00,DC Comics
4,DCeased,2019,4,Issue,2019-10-01,Comicvine,118648,715213,DCeased,2019,4, ,https://comicvine.gamespot.com/issue/4000-715213/,61 days 00:00:00,DC Comics
5,DCeased,2019,5,Issue,2019-12-01,Comicvine,118648,721038,DCeased,2019,5, ,https://comicvine.gamespot.com/issue/4000-721038/,0 days 00:00:00,DC Comics
6,DCeased,2019,6,Issue,2019-12-01,Comicvine,118648,725224,DCeased,2019,6, ,https://comicvine.gamespot.com/issue/4000-725224/,30 days 00:00:00,DC Comics
7,DCeased: A Good Day to Die,2019,1,Issue,2019-11-01,Comicvine,121071,717913,DCeased: A Good Day To Die,2019,1, ,https://comicvine.gamespot.com/issue/4000-717913/,152 days 00:00:00,DC Comics
8,DCeased: Unkillables,2020,1,Issue,2020-04-01,Comicvine,125115,737718,DCeased: Unkillables,2020,1, ,https://comicvine.gamespot.com/issue/4000-737718/,30 days 00:00:00,DC Comics
9,DCeased: Unkillables,2020,2,Issue,2020-05-01,Comicvine,125115,741784,DCeased: Unkillables,2020,2, ,https://comicvine.gamespot.com/issue/4000-741784/,61 days 00:00:00,DC Comics
10,DCeased: Unkillables,2020,3,Issue,2020-07-01,Comicvine,125115,762177,DCeased: Unkillables,2020,3, ,https://comicvine.gamespot.com/issue/4000-762177/,43 days 00:00:00,DC Comics
11,DCeased: Hope at World’s End,2020,1,Issue,2020-05-19,Comicvine,127132,762198,DCeased: Hope At World's End,2020,1, ,https://comicvine.gamespot.com/issue/4000-762198/,14 days 00:00:00,DC Comics
12,DCeased: Hope at World’s End,2020,2,Issue,2020-06-02,Comicvine,127132,766054,DCeased: Hope At World's End,2020,2, ,https://comicvine.gamespot.com/issue/4000-766054/,14 days 00:00:00,DC Comics
13,DCeased: Hope at World’s End,2020,3,Issue,2020-06-16,Comicvine,127132,768228,DCeased: Hope At World's End,2020,3, ,https://comicvine.gamespot.com/issue/4000-768228/,14 days 00:00:00,DC Comics
14,DCeased: Hope at World’s End,2020,4,Issue,2020-06-30,Comicvine,127132,771750,DCeased: Hope At World's End,2020,4, ,https://comicvine.gamespot.com/issue/4000-771750/,14 days 00:00:00,DC Comics
15,DCeased: Hope at World’s End,2020,5,Issue,2020-07-14,Comicvine,127132,778238,DCeased: Hope At World's End,2020,5, ,https://comicvine.gamespot.com/issue/4000-778238/,14 days 00:00:00,DC Comics
16,DCeased: Hope at World’s End,2020,6,Issue,2020-07-28,Comicvine,127132,783108,DCeased: Hope At World's End,2020,6, ,https://comicvine.gamespot.com/issue/4000-783108/,14 days 00:00:00,DC Comics
17,DCeased: Hope at World’s End,2020,7,Issue,2020-08-11,Comicvine,127132,790231,DCeased: Hope At World's End,2020,7, ,https://comicvine.gamespot.com/issue/4000-790231/,14 days 00:00:00,DC Comics
