,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Issue Number,CV Cover Image,CV Issue URL,Days Between Issues,CV Series Publisher
1,Dark Nights: Death Metal,2020,1,Issue,2020-08-01,Comicvine,127927,768300,Dark Nights: Death Metal,2020,1, ,https://comicvine.gamespot.com/dark-nights-death-metal-1-an-anti-crisis-part-i-it/4000-768300/,31 days 00:00:00,DC Comics
2,Dark Nights: Death Metal,2020,2,Issue,2020-09-01,Comicvine,127927,778244,Dark Nights: Death Metal,2020,2, ,https://comicvine.gamespot.com/dark-nights-death-metal-2-an-anti-crisis-part-ii-b/4000-778244/,30 days 00:00:00,DC Comics
3,Dark Nights: Death Metal,2020,3,Issue,2020-10-01,Comicvine,127927,790343,Dark Nights: Death Metal,2020,3, ,https://comicvine.gamespot.com/dark-nights-death-metal-3-an-anti-crisis-part-iii-/4000-790343/,0 days 00:00:00,DC Comics
4,Dark Nights: Death Metal: Legends of the Dark Knights,2020,1,Issue,2020-10-01,Comicvine,129219,786296,Dark Nights: Death Metal Legends of the Dark Knights,2020,1, ,https://comicvine.gamespot.com/dark-nights-death-metal-legends-of-the-dark-knight/4000-786296/,0 days 00:00:00,DC Comics
5,Dark Nights: Death Metal: Guidebook,2020,1,Issue,2020-10-01,Comicvine,129562,794384,Dark Nights: Death Metal Guidebook,2020,1, ,https://comicvine.gamespot.com/dark-nights-death-metal-guidebook-1/4000-794384/,31 days 00:00:00,DC Comics
6,Dark Nights: Death Metal: Trinity Crisis,2020,1,Issue,2020-11-01,Comicvine,130125,797688,Dark Nights: Death Metal Trinity Crisis,2020,1, ,https://comicvine.gamespot.com/dark-nights-death-metal-trinity-crisis-1/4000-797688/,0 days 00:00:00,DC Comics
7,Dark Nights: Death Metal: Speed Metal,2020,1,Issue,2020-11-01,Comicvine,130501,802694,Dark Nights: Death Metal Speed Metal,2020,1, ,https://comicvine.gamespot.com/dark-nights-death-metal-speed-metal-1/4000-802694/,0 days 00:00:00,DC Comics
8,Dark Nights: Death Metal: Multiverse’s End,2020,1,Issue,2020-11-01,Comicvine,130656,804749,Dark Nights: Death Metal Multiverse's End,2020,1, ,https://comicvine.gamespot.com/dark-nights-death-metal-multiverses-end-1/4000-804749/,30 days 00:00:00,DC Comics
9,Dark Nights: Death Metal,2020,4,Issue,2020-12-01,Comicvine,127927,809824,Dark Nights: Death Metal,2020,4, ,https://comicvine.gamespot.com/dark-nights-death-metal-4-an-anti-crisis-part-iv-s/4000-809824/,31 days 00:00:00,DC Comics
10,Dark Nights: Death Metal: Infinite Hour Exxxtreme,2021,1,Issue,2021-01-01,Comicvine,131821,817447,Dark Nights: Death Metal Infinite Hour Exxxtreme!,2020,1, ,https://comicvine.gamespot.com/dark-nights-death-metal-infinite-hour-exxxtreme-1/4000-817447/,31 days 00:00:00,DC Comics
11,Dark Nights: Death Metal: Rise of the New God,2020,1,Issue,2020-12-01,Comicvine,131457,814046,Dark Nights: Death Metal Rise of the New God,2020,1, ,https://comicvine.gamespot.com/dark-nights-death-metal-rise-of-the-new-god-1-unti/4000-814046/,0 days 00:00:00,DC Comics
12,Dark Nights: Death Metal: Robin King,2020,1,Issue,2020-12-01,Comicvine,131311,812520,Dark Nights: Death Metal Robin King,2020,1, ,https://comicvine.gamespot.com/dark-nights-death-metal-robin-king-1-the-robin-who/4000-812520/,30 days 00:00:00,DC Comics
13,Justice League,2018,53,Issue,2020-11-01,Comicvine,111428,798860,Justice League,2018,53, ,https://comicvine.gamespot.com/justice-league-53-doom-metal-part-one/4000-798860/,30 days 00:00:00,DC Comics
14,Justice League,2018,54,Issue,2020-12-01,Comicvine,111428,806770,Justice League,2018,54, ,https://comicvine.gamespot.com/justice-league-54-doom-metal-part-two/4000-806770/,0 days 00:00:00,DC Comics
15,Justice League,2018,55,Issue,2020-12-01,Comicvine,111428,812521,Justice League,2018,55, ,https://comicvine.gamespot.com/justice-league-55-doom-metal-part-three/4000-812521/,31 days 00:00:00,DC Comics
16,Justice League,2018,56,Issue,2021-01-01,Comicvine,111428,815605,Justice League,2018,56, ,https://comicvine.gamespot.com/justice-league-56-doom-metal-part-four/4000-815605/,0 days 00:00:00,DC Comics
17,Justice League,2018,57,Issue,2021-01-01,Comicvine,111428,818626,Justice League,2018,57, ,https://comicvine.gamespot.com/justice-league-57-doom-metal-finale/4000-818626/,0 days 00:00:00,DC Comics
18,Dark Nights: Death Metal,2020,5,Issue,2021-01-01,Comicvine,127927,818625,Dark Nights: Death Metal,2020,5, ,https://comicvine.gamespot.com/dark-nights-death-metal-5-an-anti-crisis-part-v-th/4000-818625/,123 days 00:00:00,DC Comics
19,Dark Nights: Death Metal: The Multiverse Who Laughs,2021,1,Issue,2021-05-04,Comicvine,135831,846948,Dark Nights: Death Metal: The Multiverse Who Laughs,2021,1, ,https://comicvine.gamespot.com/dark-nights-death-metal-the-multiverse-who-laughs-/4000-846948/,92 days 00:00:00,DC Comics
20,Dark Nights: Death Metal: The Secret Origin,2021,1,Issue,2021-02-01,Comicvine,132670,821759,Dark Nights: Death Metal The Secret Origin,2020,1, ,https://comicvine.gamespot.com/dark-nights-death-metal-the-secret-origin-1/4000-821759/,0 days 00:00:00,DC Comics
21,Dark Nights: Death Metal: The Last Stories of the DC Universe,2021,1,Issue,2021-02-01,Comicvine,132458,820431,Dark Nights: Death Metal The Last Stories of the DC Universe,2020,1, ,https://comicvine.gamespot.com/dark-nights-death-metal-the-last-stories-of-the-dc/4000-820431/,0 days 00:00:00,DC Comics
22,Dark Nights: Death Metal,2020,6,Issue,2021-02-01,Comicvine,127927,821189,Dark Nights: Death Metal,2020,6, ,https://comicvine.gamespot.com/dark-nights-death-metal-6-an-anti-crisis-part-vi-t/4000-821189/,0 days 00:00:00,DC Comics
23,Dark Nights: Death Metal: The Last 52: War of the Multiverses,2021,1,Issue,2021-02-01,Comicvine,132850,823034,Dark Nights: Death Metal The Last 52: War of the Multiverses,2020,1, ,https://comicvine.gamespot.com/dark-nights-death-metal-the-last-52-war-of-the-mul/4000-823034/,28 days 00:00:00,DC Comics
24,Dark Nights: Death Metal,2020,7,Issue,2021-03-01,Comicvine,127927,823806,Dark Nights: Death Metal,2020,7, ,https://comicvine.gamespot.com/dark-nights-death-metal-7-an-anti-crisis-part-vii-/4000-823806/,0 days 00:00:00,DC Comics
