,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Issue Number,CV Cover Image,CV Issue URL,Days Between Issues,CV Series Publisher
1,Dark Days: The Forge,2017,1,Issue,2017-08-31,Comicvine,102108,601758,Dark Days: The Forge,2017,1, ,https://comicvine.gamespot.com/dark-days-the-forge-1/4000-601758/,30 days 00:00:00,DC Comics
2,Dark Days: The Casting,2017,1,Issue,2017-09-30,Comicvine,102746,608175,Dark Days: The Casting,2017,1, ,https://comicvine.gamespot.com/dark-days-the-casting-1/4000-608175/,31 days 00:00:00,DC Comics
3,Dark Nights: Metal,2017,1,Issue,2017-10-31,Comicvine,103508,614971,Dark Nights: Metal,2017,1, ,https://comicvine.gamespot.com/dark-nights-metal-1/4000-614971/,30 days 00:00:00,DC Comics
4,Dark Nights: Metal,2017,2,Issue,2017-11-30,Comicvine,103508,621582,Dark Nights: Metal,2017,2, ,https://comicvine.gamespot.com/dark-nights-metal-2/4000-621582/,0 days 00:00:00,DC Comics
5,Batman: The Red Death,2017,1,Issue,2017-11-30,Comicvine,104457,622873,Batman: The Red Death,2017,1, ,https://comicvine.gamespot.com/batman-the-red-death-1-ride-the-lightning/4000-622873/,0 days 00:00:00,DC Comics
6,Batman: The Murder Machine,2017,1,Issue,2017-11-30,Comicvine,104599,625175,Batman: The Murder Machine,2017,1, ,https://comicvine.gamespot.com/batman-the-murder-machine-1-heavy-metal/4000-625175/,31 days 00:00:00,DC Comics
7,Batman: The Dawnbreaker,2017,1,Issue,2017-12-31,Comicvine,104774,626248,Batman: The Dawnbreaker,2017,1, ,https://comicvine.gamespot.com/batman-the-dawnbreaker-1-fear-of-the-dark/4000-626248/,0 days 00:00:00,DC Comics
8,Batman: The Drowned,2017,1,Issue,2017-12-31,Comicvine,105302,630486,Batman: The Drowned,2017,1, ,https://comicvine.gamespot.com/batman-the-drowned-1-rime-of-the-ancient-mariner/4000-630486/,31 days 00:00:00,DC Comics
9,Teen Titans,2016,12,Issue,2017-11-30,Comicvine,95242,621603,Teen Titans,2016,12, ,https://comicvine.gamespot.com/teen-titans-12-gotham-resistance-pt1-the-riddlers-/4000-621603/,0 days 00:00:00,DC Comics
10,Nightwing,2016,29,Issue,2017-11-30,Comicvine,92569,622889,Nightwing,2016,29, ,https://comicvine.gamespot.com/nightwing-29-gotham-resistance-part-2-a-ring-of-fi/4000-622889/,0 days 00:00:00,DC Comics
