,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Issue Number,CV Cover Image,CV Issue URL,Days Between Issues,CV Series Publisher
1,Divergence,2015,1,Issue,2015-06-01,Comicvine,81653,487464,Divergence FCBD Special Edition,2015,1, ,https://comicvine.gamespot.com/divergence-fcbd-special-edition-1-the-rookie-expos/4000-487464/,29 days 00:00:00,DC Comics
2,Justice League,2011,40,Issue,2015-06-30,Comicvine,42488,487174,Justice League,2011,40, ,https://comicvine.gamespot.com/justice-league-40-darkseid-war-prologue/4000-487174/,32 days 00:00:00,DC Comics
3,Justice League,2011,41,Issue,2015-08-01,Comicvine,42488,490839,Justice League,2011,41, ,https://comicvine.gamespot.com/justice-league-41-darkseid-war-chapter-one-god-vs-/4000-490839/,60 days 00:00:00,DC Comics
4,Justice League,2011,42,Issue,2015-09-30,Comicvine,42488,495250,Justice League,2011,42, ,https://comicvine.gamespot.com/justice-league-42-darkseid-war-chapter-two-the-new/4000-495250/,31 days 00:00:00,DC Comics
5,Justice League,2011,43,Issue,2015-10-31,Comicvine,42488,497918,Justice League,2011,43, ,https://comicvine.gamespot.com/justice-league-43-darkseid-war-chapter-three-taken/4000-497918/,61 days 00:00:00,DC Comics
6,Justice League,2011,45,Issue,2015-12-31,Comicvine,42488,503535,Justice League,2011,45, ,https://comicvine.gamespot.com/justice-league-45-darkseid-war-act-two-after-death/4000-503535/,0 days 00:00:00,DC Comics
7,Justice League: The Darkseid War: Batman,2015,1,Issue,2015-12-31,Comicvine,85576,504320,Justice League: Darkseid War: Batman,2015,1, ,https://comicvine.gamespot.com/justice-league-the-darkseid-war-batman-1-god-only-/4000-504320/,31 days 00:00:00,DC Comics
8,Justice League: The Darkseid War: Flash,2016,1,Issue,2016-01-31,Comicvine,85769,504917,Justice League: Darkseid War: Flash,2015,1, ,https://comicvine.gamespot.com/justice-league-the-darkseid-war-flash-1/4000-504917/,0 days 00:00:00,DC Comics
9,Justice League: The Darkseid War: Superman,2016,1,Issue,2016-01-31,Comicvine,85770,504918,Justice League: Darkseid War: Superman,2015,1, ,https://comicvine.gamespot.com/justice-league-the-darkseid-war-superman-1-god-of-/4000-504918/,0 days 00:00:00,DC Comics
10,Justice League: The Darkseid War: Green Lantern,2016,1,Issue,2016-01-31,Comicvine,85952,505495,Justice League: Darkseid War: Green Lantern,2015,1, ,https://comicvine.gamespot.com/justice-league-the-darkseid-war-green-lantern-1-wi/4000-505495/,0 days 00:00:00,DC Comics
11,Justice League: The Darkseid War: Shazam,2016,1,Issue,2016-01-31,Comicvine,85953,505496,Justice League: Darkseid War: Shazam,2015,1, ,https://comicvine.gamespot.com/justice-league-darkseid-war-shazam-1-mightiest/4000-505496/,29 days 00:00:00,DC Comics
12,Justice League: The Darkseid War: Lex Luthor,2016,1,Issue,2016-02-29,Comicvine,86540,507750,Justice League: Darkseid War: Lex Luthor,2015,1, ,https://comicvine.gamespot.com/justice-league-darkseid-war-lex-luthor-1-the-omega/4000-507750/,0 days 00:00:00,DC Comics
13,Justice League,2011,46,Issue,2016-02-29,Comicvine,42488,508406,Justice League,2011,46, ,https://comicvine.gamespot.com/justice-league-46-darkseid-war-act-two-after-death/4000-508406/,0 days 00:00:00,DC Comics
14,Justice League,2011,47,Issue,2016-02-29,Comicvine,42488,509685,Justice League,2011,47, ,https://comicvine.gamespot.com/justice-league-47-darkseid-war-act-three-gods-of-j/4000-509685/,61 days 00:00:00,DC Comics
15,Justice League,2011,48,Issue,2016-04-30,Comicvine,42488,516928,Justice League,2011,48, ,https://comicvine.gamespot.com/justice-league-48-darkseid-war-act-three-gods-of-j/4000-516928/,61 days 00:00:00,DC Comics
16,Justice League: Darkseid War Special,2016,1,Issue,2016-06-30,Comicvine,89370,523228,Justice League: Darkseid War Special,2016,1, ,https://comicvine.gamespot.com/justice-league-darkseid-war-special-1-darkseid-war/4000-523228/,0 days 00:00:00,DC Comics
17,Justice League,2011,49,Issue,2016-06-30,Comicvine,42488,527115,Justice League,2011,49, ,https://comicvine.gamespot.com/justice-league-49-darkseid-war-chapter-9-power-mad/4000-527115/,31 days 00:00:00,DC Comics
18,Justice League,2011,50,Issue,2016-07-31,Comicvine,42488,531855,Justice League,2011,50, ,https://comicvine.gamespot.com/justice-league-50-darkseid-war-conclusion-death-an/4000-531855/,0 days 00:00:00,DC Comics
