,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Issue Number,CV Cover Image,CV Issue URL,Days Between Issues,CV Series Publisher
1,Day of Judgment,1999,1,Issue,1999-11-01,Comicvine,6604,47229,Day of Judgment,1999,1, ,https://comicvine.gamespot.com/day-of-judgment-1-the-summoning/4000-47229/,29 days 00:00:00,DC Comics
2,Anarky,1999,7,Issue,1999-11-30,Comicvine,26869,161336,Anarky,1999,7, ,https://comicvine.gamespot.com/issue/4000-161336/,29 days 00:00:00,DC Comics
3,Batman: Day of Judgment,1999,1,Issue,1999-11-01,Comicvine,29754,183117,Batman: Day of Judgment,1999,1, ,https://comicvine.gamespot.com/batman-day-of-judgment-1-day-of-judgment-original-/4000-183117/,0 days 00:00:00,DC Comics
4,Green Lantern,1990,118,Issue,1999-11-01,Comicvine,4363,46096,Green Lantern,1990,118, ,https://comicvine.gamespot.com/issue/4000-46096/,27 days 00:00:00,DC Comics
5,Martian Manhunter,1998,12,Issue,1999-11-28,Comicvine,6176,46114,Martian Manhunter,1998,12, ,https://comicvine.gamespot.com/martian-manhunter-12-past-saving/4000-46114/,27 days 00:00:00,DC Comics
6,Young Justice,1998,14,Issue,1999-11-01,Comicvine,9420,114842,Young Justice,1998,14, ,https://comicvine.gamespot.com/young-justice-14-like-heck-you-say-or-crossovers-a/4000-114842/,0 days 00:00:00,DC Comics
7,Day of Judgment,1999,2,Issue,1999-11-01,Comicvine,6604,47230,Day of Judgment,1999,2, ,https://comicvine.gamespot.com/day-of-judgment-2-lost-souls-the-descent/4000-47230/,29 days 00:00:00,DC Comics
8,Azrael: Agent of the Bat,1998,58,Issue,1999-11-30,Comicvine,19721,123291,Azrael: Agent of the Bat,1998,58, ,https://comicvine.gamespot.com/azrael-agent-of-the-bat-58-ghosts/4000-123291/,29 days 00:00:00,DC Comics
9,Hourman,1999,8,Issue,1999-11-01,Comicvine,6329,46097,Hourman,1999,8, ,https://comicvine.gamespot.com/issue/4000-46097/,0 days 00:00:00,DC Comics
10,Impulse,1995,54,Issue,1999-11-01,Comicvine,5509,51867,Impulse,1995,54, ,https://comicvine.gamespot.com/issue/4000-51867/,0 days 00:00:00,DC Comics
11,Stars and S.T.R.I.P.E.,1999,4,Issue,1999-11-01,Comicvine,6800,48622,Stars and S.T.R.I.P.E.,1999,4, ,https://comicvine.gamespot.com/issue/4000-48622/,0 days 00:00:00,DC Comics
12,Day of Judgment,1999,3,Issue,1999-11-01,Comicvine,6604,47231,Day of Judgment,1999,3, ,https://comicvine.gamespot.com/day-of-judgment-3-choosing-sides/4000-47231/,0 days 00:00:00,DC Comics
13,Aquaman,1994,61,Issue,1999-11-01,Comicvine,5230,46094,Aquaman,1994,61, ,https://comicvine.gamespot.com/aquaman-61-dead-in-the-water/4000-46094/,0 days 00:00:00,DC Comics
14,Superboy,1994,68,Issue,1999-11-01,Comicvine,5261,53509,Superboy,1994,68, ,https://comicvine.gamespot.com/issue/4000-53509/,0 days 00:00:00,DC Comics
15,Titans,1999,9,Issue,1999-11-01,Comicvine,9145,69290,The Titans,1999,9, ,https://comicvine.gamespot.com/issue/4000-69290/,0 days 00:00:00,DC Comics
16,Day of Judgment,1999,4,Issue,1999-11-01,Comicvine,6604,47232,Day of Judgment,1999,4, ,https://comicvine.gamespot.com/day-of-judgment-4-the-end-of-the-world-as-we-know-/4000-47232/,29 days 00:00:00,DC Comics
17,Supergirl,1996,38,Issue,1999-11-30,Comicvine,5766,46098,Supergirl,1996,38, ,https://comicvine.gamespot.com/supergirl-38-city-of-angels/4000-46098/,29 days 00:00:00,DC Comics
18,Day of Judgment,1999,5,Issue,1999-11-01,Comicvine,6604,47233,Day of Judgment,1999,5, ,https://comicvine.gamespot.com/day-of-judgment-5-soul-search/4000-47233/,0 days 00:00:00,DC Comics
19,Day of Judgment Secret Files and Origins,1999,1,Issue,1999-11-01,Comicvine,19899,119121,Day of Judgment: Secret Files and Origins,1999,1, ,https://comicvine.gamespot.com/day-of-judgment-secret-files-and-origins-1-the-des/4000-119121/,0 days 00:00:00,DC Comics
20,Superman: Man of Tomorrow,1995,15,Issue,1999-11-01,Comicvine,5523,46001,Superman: The Man of Tomorrow,1995,15, ,https://comicvine.gamespot.com/issue/4000-46001/,0 days 00:00:00,DC Comics
21,JLA,1997,35,Issue,1999-11-01,Comicvine,5957,46112,JLA,1997,35, ,https://comicvine.gamespot.com/jla-35-the-guilty/4000-46112/,0 days 00:00:00,DC Comics
