,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Issue Number,CV Cover Image,CV Issue URL,Days Between Issues,CV Series Publisher
1,Superman: Man of Steel,1991,17,Issue,1992-11-01,Comicvine,4571,36430,Superman: The Man of Steel,1991,17, ,https://comicvine.gamespot.com/issue/4000-36430/,29 days 00:00:00,DC Comics
2,Superman,1987,73,Issue,1992-11-30,Comicvine,3816,68543,Superman,1987,73, ,https://comicvine.gamespot.com/superman-73-time-ryders/4000-68543/,0 days 00:00:00,DC Comics
3,Adventures of Superman,1987,496,Issue,1992-11-30,Comicvine,3778,36350,Adventures of Superman,1987,496, ,https://comicvine.gamespot.com/issue/4000-36350/,0 days 00:00:00,DC Comics
4,Action Comics,1938,683,Issue,1992-11-30,Comicvine,18005,115905,Action Comics,1938,683, ,https://comicvine.gamespot.com/action-comics-683-the-trail-of-the-jackal/4000-115905/,31 days 00:00:00,DC Comics
5,Superman: Man of Steel,1991,18,Issue,1992-12-31,Comicvine,4571,36544,Superman: The Man of Steel,1991,18, ,https://comicvine.gamespot.com/issue/4000-36544/,0 days 00:00:00,DC Comics
6,Justice League America,1989,69,Issue,1992-12-31,Comicvine,4198,36485,Justice League America,1989,69, ,https://comicvine.gamespot.com/issue/4000-36485/,0 days 00:00:00,DC Comics
7,Superman,1987,74,Issue,1992-12-31,Comicvine,3816,68544,Superman,1987,74, ,https://comicvine.gamespot.com/superman-74-countdown-to-doomsday/4000-68544/,0 days 00:00:00,DC Comics
8,Adventures of Superman,1987,497,Issue,1992-12-31,Comicvine,3778,36467,Adventures of Superman,1987,497, ,https://comicvine.gamespot.com/issue/4000-36467/,0 days 00:00:00,DC Comics
9,Action Comics,1938,684,Issue,1992-12-31,Comicvine,18005,105943,Action Comics,1938,684, ,https://comicvine.gamespot.com/action-comics-684-doomsday-is-near/4000-105943/,31 days 00:00:00,DC Comics
10,Superman: Man of Steel,1991,19,Issue,1993-01-31,Comicvine,4571,36781,Superman: The Man of Steel,1991,19, ,https://comicvine.gamespot.com/issue/4000-36781/,0 days 00:00:00,DC Comics
11,Superman,1987,75,Issue,1993-01-31,Comicvine,3816,68545,Superman,1987,75, ,https://comicvine.gamespot.com/superman-75-doomsday/4000-68545/,0 days 00:00:00,DC Comics
