,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Issue Number,CV Cover Image,CV Issue URL,Days Between Issues,CV Series Publisher
1,Batgirl,2011,13,Issue,2012-12-01,Comicvine,42604,360791,Batgirl,2011,13, ,https://comicvine.gamespot.com/batgirl-13-a-blade-of-memory/4000-360791/,30 days 00:00:00,DC Comics
2,Catwoman,2011,13,Issue,2012-12-31,Comicvine,42722,362159,Catwoman,2011,13, ,https://comicvine.gamespot.com/catwoman-13-burnt-offerings/4000-362159/,26 days 00:00:00,DC Comics
3,Catwoman,2011,14,Issue,2013-01-26,Comicvine,42722,369028,Catwoman,2011,14, ,https://comicvine.gamespot.com/catwoman-14-to-skin-a-cat/4000-369028/,26 days 00:00:00,DC Comics
4,Batman,2011,13,Issue,2012-12-31,Comicvine,42721,360790,Batman,2011,13, ,https://comicvine.gamespot.com/batman-13-knock-knock-tease/4000-360790/,7 days 00:00:00,DC Comics
5,Batman and Robin,2011,13,Issue,2012-12-24,Comicvine,42692,360792,Batman and Robin,2011,13, ,https://comicvine.gamespot.com/batman-and-robin-13-eclipsed/4000-360792/,31 days 00:00:00,DC Comics
6,Batman and Robin,2011,14,Issue,2013-01-24,Comicvine,42692,367687,Batman and Robin,2011,14, ,https://comicvine.gamespot.com/batman-and-robin-14-devoured/4000-367687/,3 days 00:00:00,DC Comics
7,Suicide Squad,2011,14,Issue,2013-01-27,Comicvine,42803,367686,Suicide Squad,2011,14, ,https://comicvine.gamespot.com/suicide-squad-14-running-with-the-devil/4000-367686/,32 days 00:00:00,DC Comics
8,Suicide Squad,2011,15,Issue,2013-02-28,Comicvine,42803,372338,Suicide Squad,2011,15, ,https://comicvine.gamespot.com/suicide-squad-15-running-with-the-devil-part-2/4000-372338/,28 days 00:00:00,DC Comics
9,Batman,2011,14,Issue,2013-01-31,Comicvine,42721,367690,Batman,2011,14, ,https://comicvine.gamespot.com/batman-14-funny-bones-men-of-worship/4000-367690/,26 days 00:00:00,DC Comics
10,Detective Comics,2011,15,Issue,2013-02-26,Comicvine,42594,371149,Detective Comics,2011,15, ,https://comicvine.gamespot.com/detective-comics-15-the-dirt-nap-love-in-bloom/4000-371149/,33 days 00:00:00,DC Comics
11,Batgirl,2011,14,Issue,2013-01-24,Comicvine,42604,367688,Batgirl,2011,14, ,https://comicvine.gamespot.com/batgirl-14-a-courtship-of-razors/4000-367688/,2 days 00:00:00,DC Comics
12,Nightwing,2011,14,Issue,2013-01-26,Comicvine,42720,369029,Nightwing,2011,14, ,https://comicvine.gamespot.com/nightwing-14-die-for-me/4000-369029/,33 days 00:00:00,DC Comics
13,Batgirl,2011,15,Issue,2013-02-28,Comicvine,42604,372337,Batgirl,2011,15, ,https://comicvine.gamespot.com/batgirl-15-collision-part-two-engagement/4000-372337/,24 days 00:00:00,DC Comics
