,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Issue Number,CV Cover Image,CV Issue URL,Days Between Issues,CV Series Publisher
1,Starman,1988,42,Issue,1992-01-31,Comicvine,4028,35240,Starman,1988,42, ,https://comicvine.gamespot.com/issue/4000-35240/,29 days 00:00:00,DC Comics
2,Starman,1988,43,Issue,1992-02-29,Comicvine,4028,35347,Starman,1988,43, ,https://comicvine.gamespot.com/issue/4000-35347/,31 days 00:00:00,DC Comics
3,Starman,1988,44,Issue,1992-03-31,Comicvine,4028,35456,Starman,1988,44, ,https://comicvine.gamespot.com/issue/4000-35456/,30 days 00:00:00,DC Comics
4,Starman,1988,45,Issue,1992-04-30,Comicvine,4028,35556,Starman,1988,45, ,https://comicvine.gamespot.com/issue/4000-35556/,62 days 00:00:00,DC Comics
5,Eclipso: The Darkness Within,1992,1,Issue,1992-07-01,Comicvine,4736,35869,Eclipso: The Darkness Within,1992,1, ,https://comicvine.gamespot.com/eclipso-the-darkness-within-1/4000-35869/,7 days 00:00:00,DC Comics
6,Superman: The Man of Steel Annual,1992,1,Issue,1992-07-08,Comicvine,21108,126736,Superman: The Man of Steel Annual,1992,1, ,https://comicvine.gamespot.com/superman-the-man-of-steel-annual-1-the-gathering-d/4000-126736/,7 days 00:00:00,DC Comics
7,Green Lantern Vol. 3 Annual,1992,1,Issue,1992-07-15,Comicvine,4740,35105,Green Lantern Annual,1992,1, ,https://comicvine.gamespot.com/green-lantern-annual-1-eclipso-the-darkness-within/4000-35105/,7 days 00:00:00,DC Comics
8,Detective Comics Annual,2018,5,Issue,1992-07-22,Comicvine,3993,111258,Detective Comics Annual,1988,5, ,https://comicvine.gamespot.com/detective-comics-annual-5-acts-of-madness/4000-111258/,7 days 00:00:00,DC Comics
9,Superman Vol. 2 Annual,1960,4,Issue,1992-07-29,Comicvine,3817,71044,Superman Annual,1987,4, ,https://comicvine.gamespot.com/issue/4000-71044/,7 days 00:00:00,DC Comics
10,Justice League America Annual,1991,6,Issue,1992-08-05,Comicvine,4368,35147,Justice League America Annual,1991,6, ,https://comicvine.gamespot.com/issue/4000-35147/,7 days 00:00:00,DC Comics
11,Demon Vol. 3 Annual,1992,1,Issue,1992-08-12,Comicvine,18553,109257,Demon Annual,1992,1, ,https://comicvine.gamespot.com/demon-annual-1-ex-nihilo-death/4000-109257/,7 days 00:00:00,DC Comics
12,Flash Vol. 2 Annual,1987,5,Issue,1992-08-19,Comicvine,3791,35143,The Flash Annual,1987,5, ,https://comicvine.gamespot.com/issue/4000-35143/,7 days 00:00:00,DC Comics
13,Action Comics Annual,1987,4,Issue,1992-08-26,Comicvine,3776,35140,Action Comics Annual,1987,4, ,https://comicvine.gamespot.com/issue/4000-35140/,7 days 00:00:00,DC Comics
14,Wonder Woman Vol. 2 Annual,1989,3,Issue,1992-09-02,Comicvine,4216,76658,Wonder Woman Annual,1989,3, ,https://comicvine.gamespot.com/issue/4000-76658/,1 days 00:00:00,DC Comics
15,Green Arrow Vol. 2 Annual,1988,5,Issue,1992-09-01,Comicvine,4004,51238,Green Arrow Annual,1988,5, ,https://comicvine.gamespot.com/issue/4000-51238/,0 days 00:00:00,DC Comics
16,Robin Vol. 2 Annual,1992,1,Issue,1992-09-01,Comicvine,9220,153387,Robin Annual,1992,1, ,https://comicvine.gamespot.com/robin-annual-1-the-anarky-ultimatum/4000-153387/,0 days 00:00:00,DC Comics
17,Hawkworld Annual,1990,3,Issue,1992-09-01,Comicvine,4366,35133,Hawkworld Annual,1990,3, ,https://comicvine.gamespot.com/issue/4000-35133/,0 days 00:00:00,DC Comics
18,Deathstroke the Terminator Annual,1992,1,Issue,1992-09-01,Comicvine,24490,149497,Deathstroke the Terminator Annual,1992,1, ,https://comicvine.gamespot.com/deathstroke-the-terminator-annual-1-a-thousand-poi/4000-149497/,0 days 00:00:00,DC Comics
19,New Titans Annual,1989,8,Issue,1992-09-01,Comicvine,4204,35155,The New Titans Annual,1989,8, ,https://comicvine.gamespot.com/issue/4000-35155/,30 days 00:00:00,DC Comics
20,Justice League Europe Annual,1990,3,Issue,1992-10-01,Comicvine,4369,35134,Justice League Europe Annual,1990,3, ,https://comicvine.gamespot.com/issue/4000-35134/,0 days 00:00:00,DC Comics
21,Batman Annual,1961,16,Issue,1992-10-01,Comicvine,3109,82301,Batman Annual,1961,16, ,https://comicvine.gamespot.com/issue/4000-82301/,0 days 00:00:00,DC Comics
22,L.E.G.I.O.N. '92 Annual,1982,3,Issue,1992-10-01,Comicvine,23015,138779,L.E.G.I.O.N. Annual,1990,3, ,https://comicvine.gamespot.com/issue/4000-138779/,0 days 00:00:00,DC Comics
23,Adventures of Superman Annual,1987,4,Issue,1992-10-01,Comicvine,3777,70997,Adventures of Superman Annual,1987,4, ,https://comicvine.gamespot.com/adventures-of-superman-annual-4-in-blackest-night/4000-70997/,0 days 00:00:00,DC Comics
24,Eclipso: The Darkness Within,1992,2,Issue,1992-10-01,Comicvine,4736,36233,Eclipso: The Darkness Within,1992,2, ,https://comicvine.gamespot.com/eclipso-the-darkness-within-2/4000-36233/,60 days 00:00:00,DC Comics
25,Valor,1992,1,Issue,1992-11-30,Comicvine,4759,36377,Valor,1992,1, ,https://comicvine.gamespot.com/valor-1-endgame/4000-36377/,0 days 00:00:00,DC Comics
