,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Issue Number,CV Cover Image,CV Issue URL,Days Between Issues,CV Series Publisher
1,Event Leviathan,2019,1,Issue,2019-08-01,Comicvine,119641,711245,Event Leviathan,2019,1, ,https://comicvine.gamespot.com/event-leviathan-1-part-1/4000-711245/,31 days 00:00:00,DC Comics
2,Event Leviathan,2019,2,Issue,2019-09-01,Comicvine,119641,713406,Event Leviathan,2019,2, ,https://comicvine.gamespot.com/event-leviathan-2-part-2/4000-713406/,0 days 00:00:00,DC Comics
3,Action Comics,1938,1013,Issue,2019-09-01,Comicvine,91078,714153,Action Comics,2016,1013, ,https://comicvine.gamespot.com/action-comics-1013-gifts/4000-714153/,30 days 00:00:00,DC Comics
4,Event Leviathan,2019,3,Issue,2019-10-01,Comicvine,119641,716315,Event Leviathan,2019,3, ,https://comicvine.gamespot.com/event-leviathan-3-part-3/4000-716315/,0 days 00:00:00,DC Comics
5,Action Comics,1938,1014,Issue,2019-10-01,Comicvine,91078,717386,Action Comics,2016,1014, ,https://comicvine.gamespot.com/action-comics-1014-untitled/4000-717386/,31 days 00:00:00,DC Comics
6,Event Leviathan,2019,4,Issue,2019-11-01,Comicvine,119641,718649,Event Leviathan,2019,4, ,https://comicvine.gamespot.com/event-leviathan-4-part-4/4000-718649/,0 days 00:00:00,DC Comics
7,Supergirl,2016,34,Issue,2019-11-01,Comicvine,93948,719314,Supergirl,2016,34, ,https://comicvine.gamespot.com/supergirl-34-post-mortem/4000-719314/,30 days 00:00:00,DC Comics
8,Supergirl,2016,35,Issue,2019-12-01,Comicvine,93948,721768,Supergirl,2016,35, ,https://comicvine.gamespot.com/supergirl-35-missing-links/4000-721768/,0 days 00:00:00,DC Comics
9,Event Leviathan,2019,5,Issue,2019-12-01,Comicvine,119641,721753,Event Leviathan,2019,5, ,https://comicvine.gamespot.com/event-leviathan-5-part-5/4000-721753/,0 days 00:00:00,DC Comics
10,Wonder Woman Vol. 5 Annual,2017,3,Issue,2019-12-01,Comicvine,101798,725236,Wonder Woman Annual,2016,3, ,https://comicvine.gamespot.com/wonder-woman-annual-3-virtue-and-vendetta/4000-725236/,31 days 00:00:00,DC Comics
11,Event Leviathan,2019,6,Issue,2020-01-01,Comicvine,119641,726902,Event Leviathan,2019,6, ,https://comicvine.gamespot.com/event-leviathan-6-part-6/4000-726902/,0 days 00:00:00,DC Comics
