,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Issue Number,CV Cover Image,CV Issue URL,Days Between Issues,CV Series Publisher
1,Detective Comics,2016,1043,Issue,2021-11-01,Comicvine,91098,886386,Detective Comics,2016,1043, ,https://comicvine.gamespot.com/detective-comics-1043-fear-state-nakanos-nightmare/4000-886386/,30 days 00:00:00,DC Comics
2,Detective Comics,2016,1044,Issue,2021-12-01,Comicvine,91098,891117,Detective Comics,2016,1044, ,https://comicvine.gamespot.com/detective-comics-1044-fear-state-nakanos-nightmare/4000-891117/,31 days 00:00:00,DC Comics
3,Detective Comics,2016,1045,Issue,2022-01-01,Comicvine,91098,895152,Detective Comics,2016,1045, ,https://comicvine.gamespot.com/detective-comics-1045-fear-state-nakanos-nightmare/4000-895152/,61 days 00:00:00,DC Comics
4,Harley Quinn,2021,7,Issue,2021-11-01,Comicvine,134718,886387,Harley Quinn,2021,7, ,https://comicvine.gamespot.com/harley-quinn-7-fear-state-part-1/4000-886387/,61 days 00:00:00,DC Comics
5,Batman Secret Files: The Gardener,2022,1,Issue,2022-01-01,Comicvine,140133,894334,Batman Secret Files: The Gardener,2021,1, ,https://comicvine.gamespot.com/batman-secret-files-the-gardener-1/4000-894334/,61 days 00:00:00,DC Comics
6,Batman Secret Files: Miracle Molly,2021,1,Issue,2021-11-01,Comicvine,139080,885315,Batman Secret Files: Miracle Molly,2021,1, ,https://comicvine.gamespot.com/batman-secret-files-miracle-molly-1/4000-885315/,31 days 00:00:00,DC Comics
7,Batman: Fear State Alpha,2021,1,Issue,2021-10-01,Comicvine,138646,882786,Batman: Fear State: Alpha,2021,1, ,https://comicvine.gamespot.com/batman-fear-state-alpha-1/4000-882786/,31 days 00:00:00,DC Comics
8,Batman,2016,112,Issue,2021-11-01,Comicvine,91273,883726,Batman,2016,112, ,https://comicvine.gamespot.com/batman-112-fear-state-part-1-diy-part-1-of-3/4000-883726/,30 days 00:00:00,DC Comics
9,Batman: Urban Legends,2021,8,Issue,2021-12-01,Comicvine,134303,889253,Batman: Urban Legends,2021,8, ,https://comicvine.gamespot.com/batman-urban-legends-8/4000-889253/,0 days 00:00:00,DC Comics
10,Batman Secret Files: Peacekeeper-One,2021,1,Issue,2021-12-01,Comicvine,139670,890019,Batman Secret Files: Peacekeeper-01,2021,1, ,https://comicvine.gamespot.com/batman-secret-files-peacekeeper-01-1/4000-890019/,30 days 00:00:00,DC Comics
11,Batman,2016,113,Issue,2021-11-01,Comicvine,91273,885308,Batman,2016,113, ,https://comicvine.gamespot.com/batman-113-fear-state-part-2-clown-hunter-part-2-o/4000-885308/,0 days 00:00:00,DC Comics
12,Catwoman,2018,35,Issue,2021-11-01,Comicvine,112028,885318,Catwoman,2018,35, ,https://comicvine.gamespot.com/catwoman-35-fear-state-1-street-thunder/4000-885318/,30 days 00:00:00,DC Comics
13,I Am Batman,2021,2,Issue,2021-12-01,Comicvine,138184,889296,I Am Batman,2021,2, ,https://comicvine.gamespot.com/i-am-batman-2-fear-state/4000-889296/,30 days 00:00:00,DC Comics
14,Nightwing,2016,84,Issue,2021-11-01,Comicvine,92569,885325,Nightwing,2016,84, ,https://comicvine.gamespot.com/nightwing-84-fear-state-part-1-of-3/4000-885325/,30 days 00:00:00,DC Comics
15,Batman,2016,114,Issue,2021-12-01,Comicvine,91273,888319,Batman,2016,114, ,https://comicvine.gamespot.com/batman-114-fear-state-part-3-clown-hunter-in-diy-p/4000-888319/,0 days 00:00:00,DC Comics
16,Batman,2016,115,Issue,2021-12-01,Comicvine,91273,890015,Batman,2016,115, ,https://comicvine.gamespot.com/batman-115-fear-state-part-4-batgirls-part-1-of-3-/4000-890015/,0 days 00:00:00,DC Comics
17,Catwoman,2018,36,Issue,2021-12-01,Comicvine,112028,890022,Catwoman,2018,36, ,https://comicvine.gamespot.com/catwoman-36-fear-state-2-sanctuary/4000-890022/,0 days 00:00:00,DC Comics
18,Nightwing,2016,85,Issue,2021-12-01,Comicvine,92569,890034,Nightwing,2016,85, ,https://comicvine.gamespot.com/nightwing-85-fear-state-part-2-of-3/4000-890034/,0 days 00:00:00,DC Comics
19,Harley Quinn,2021,8,Issue,2021-12-01,Comicvine,134718,891118,Harley Quinn,2021,8, ,https://comicvine.gamespot.com/harley-quinn-8-fear-state-part-2/4000-891118/,31 days 00:00:00,DC Comics
20,Batman,2016,116,Issue,2022-01-01,Comicvine,91273,891946,Batman,2016,116, ,https://comicvine.gamespot.com/batman-116-fear-state-part-5-batgirls-part-2-of-3-/4000-891946/,0 days 00:00:00,DC Comics
