,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Issue Number,CV Cover Image,CV Issue URL,Days Between Issues,CV Series Publisher
1,Justice League of America,2006,21,Issue,2008-07-01,Comicvine,18127,130596,Justice League of America,2006,21, ,https://comicvine.gamespot.com/justice-league-of-america-21-the-gathering-crisis/4000-130596/,0 days 00:00:00,DC Comics
2,Final Crisis,2008,1,Issue,2008-07-01,Comicvine,21712,130994,Final Crisis,2008,1, ,https://comicvine.gamespot.com/final-crisis-1-doa-the-god-of-war/4000-130994/,62 days 00:00:00,DC Comics
3,Final Crisis: Requiem,2008,1,Issue,2008-09-01,Comicvine,22097,132930,Final Crisis: Requiem,2008,1, ,https://comicvine.gamespot.com/final-crisis-requiem-1-caretakers-of-mars/4000-132930/,31 days 00:00:00,DC Comics
4,Final Crisis,2008,2,Issue,2008-08-01,Comicvine,21712,131869,Final Crisis,2008,2, ,https://comicvine.gamespot.com/final-crisis-2-ticket-to-bludhaven/4000-131869/,31 days 00:00:00,DC Comics
5,Final Crisis: Rogues’ Revenge,2008,1,Issue,2008-09-01,Comicvine,22238,133674,Final Crisis: Rogues' Revenge,2008,1, ,https://comicvine.gamespot.com/final-crisis-rogues-revenge-1-book-one/4000-133674/,30 days 00:00:00,DC Comics
6,Final Crisis: Rogues’ Revenge,2008,2,Issue,2008-10-01,Comicvine,22238,136522,Final Crisis: Rogues' Revenge,2008,2, ,https://comicvine.gamespot.com/final-crisis-rogues-revenge-2-book-two/4000-136522/,31 days 00:00:00,DC Comics
7,Final Crisis: Rogues’ Revenge,2008,3,Issue,2008-11-01,Comicvine,22238,140443,Final Crisis: Rogues' Revenge,2008,3, ,https://comicvine.gamespot.com/final-crisis-rogues-revenge-3-book-three/4000-140443/,31 days 00:00:00,DC Comics
8,Final Crisis,2008,3,Issue,2008-10-01,Comicvine,21712,135068,Final Crisis,2008,3, ,https://comicvine.gamespot.com/final-crisis-3-know-evil/4000-135068/,30 days 00:00:00,DC Comics
9,Final Crisis: Superman Beyond,2008,1,Issue,2008-10-31,Comicvine,22763,136525,Final Crisis: Superman Beyond 3D,2008,1, ,https://comicvine.gamespot.com/final-crisis-superman-beyond-3d-1/4000-136525/,121 days 00:00:00,DC Comics
10,Final Crisis: Superman Beyond,2008,2,Issue,2009-03-01,Comicvine,22763,150506,Final Crisis: Superman Beyond 3D,2008,2, ,https://comicvine.gamespot.com/final-crisis-superman-beyond-3d-2/4000-150506/,151 days 00:00:00,DC Comics
11,Final Crisis: Legion of 3 Worlds,2008,1,Issue,2008-10-01,Comicvine,22674,135985,Final Crisis: Legion of Three Worlds,2008,1, ,https://comicvine.gamespot.com/final-crisis-legion-of-three-worlds-1-book-one/4000-135985/,31 days 00:00:00,DC Comics
12,Final Crisis: Legion of 3 Worlds,2008,2,Issue,2008-11-01,Comicvine,22674,140458,Final Crisis: Legion of Three Worlds,2008,2, ,https://comicvine.gamespot.com/final-crisis-legion-of-three-worlds-2-book-two/4000-140458/,151 days 00:00:00,DC Comics
13,Final Crisis: Legion of 3 Worlds,2008,3,Issue,2009-04-01,Comicvine,22674,151134,Final Crisis: Legion of Three Worlds,2008,3, ,https://comicvine.gamespot.com/final-crisis-legion-of-three-worlds-3-book-three/4000-151134/,61 days 00:00:00,DC Comics
14,Final Crisis: Legion of 3 Worlds,2008,4,Issue,2009-06-01,Comicvine,22674,156118,Final Crisis: Legion of Three Worlds,2008,4, ,https://comicvine.gamespot.com/final-crisis-legion-of-three-worlds-4-book-four/4000-156118/,92 days 00:00:00,DC Comics
15,Final Crisis: Legion of 3 Worlds,2008,5,Issue,2009-09-01,Comicvine,22674,164795,Final Crisis: Legion of Three Worlds,2008,5, ,https://comicvine.gamespot.com/final-crisis-legion-of-three-worlds-5-book-five/4000-164795/,305 days 00:00:00,DC Comics
16,Final Crisis: Revelations,2008,1,Issue,2008-10-31,Comicvine,22572,135447,Final Crisis: Revelations,2008,1, ,https://comicvine.gamespot.com/final-crisis-revelations-1/4000-135447/,30 days 00:00:00,DC Comics
17,Final Crisis: Revelations,2008,2,Issue,2008-11-30,Comicvine,22572,138181,Final Crisis: Revelations,2008,2, ,https://comicvine.gamespot.com/final-crisis-revelations-2/4000-138181/,31 days 00:00:00,DC Comics
