,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Issue Number,CV Cover Image,CV Issue URL,Days Between Issues,CV Series Publisher
1,Final Night,1996,1,Issue,1996-11-01,Comicvine,5747,42930,The Final Night,1996,1, ,https://comicvine.gamespot.com/the-final-night-1-dusk/4000-42930/,0 days 00:00:00,DC Comics
2,Green Lantern,1990,80,Issue,1996-11-01,Comicvine,4363,42956,Green Lantern,1990,80, ,https://comicvine.gamespot.com/issue/4000-42956/,0 days 00:00:00,DC Comics
3,Power of Shazam!,1995,20,Issue,1996-11-01,Comicvine,5515,42962,The Power of SHAZAM!,1995,20, ,https://comicvine.gamespot.com/issue/4000-42962/,0 days 00:00:00,DC Comics
4,Sovereign Seven,1995,16,Issue,1996-11-01,Comicvine,5518,166885,Sovereign Seven,1995,16, ,https://comicvine.gamespot.com/sovereign-seven-16-there-s-nothing-in-the-dark/4000-166885/,0 days 00:00:00,DC Comics
5,Superman,1987,117,Issue,1996-11-01,Comicvine,3816,115548,Superman,1987,117, ,https://comicvine.gamespot.com/superman-117-the-final-night-national-whisper-ligh/4000-115548/,0 days 00:00:00,DC Comics
6,Final Night,1996,2,Issue,1996-11-01,Comicvine,5747,42937,The Final Night,1996,2, ,https://comicvine.gamespot.com/the-final-night-2-darker-grows-the-night/4000-42937/,29 days 00:00:00,DC Comics
7,Adventures of Superman,1987,540,Issue,1996-11-30,Comicvine,3778,115162,Adventures of Superman,1987,540, ,https://comicvine.gamespot.com/issue/4000-115162/,29 days 00:00:00,DC Comics
8,Batman,1940,536,Issue,1996-11-01,Comicvine,796,42949,Batman,1940,536, ,https://comicvine.gamespot.com/batman-536-darkest-night-of-the-man-bat-part-1-pre/4000-42949/,29 days 00:00:00,DC Comics
9,Green Arrow,1988,114,Issue,1996-11-30,Comicvine,4003,66800,Green Arrow,1988,114, ,https://comicvine.gamespot.com/green-arrow-114-the-thousand-year-night/4000-66800/,0 days 00:00:00,DC Comics
10,Supergirl,1996,3,Issue,1996-11-30,Comicvine,5766,43015,Supergirl,1996,3, ,https://comicvine.gamespot.com/supergirl-3-and-no-dawn-to-follow-the-darkness/4000-43015/,29 days 00:00:00,DC Comics
11,Final Night,1996,3,Issue,1996-11-01,Comicvine,5747,42939,The Final Night,1996,3, ,https://comicvine.gamespot.com/the-final-night-3-keeping-hope-alive/4000-42939/,29 days 00:00:00,DC Comics
12,Action Comics,1938,727,Issue,1996-11-30,Comicvine,18005,115463,Action Comics,1938,727, ,https://comicvine.gamespot.com/action-comics-727-cold-comfort/4000-115463/,29 days 00:00:00,DC Comics
13,Aquaman,1994,26,Issue,1996-11-01,Comicvine,5230,43005,Aquaman,1994,26, ,https://comicvine.gamespot.com/aquaman-26-twilight/4000-43005/,0 days 00:00:00,DC Comics
14,Detective Comics,1937,703,Issue,1996-11-01,Comicvine,18058,113164,Detective Comics,1937,703, ,https://comicvine.gamespot.com/issue/4000-113164/,0 days 00:00:00,DC Comics
15,Superboy,1994,33,Issue,1996-11-01,Comicvine,5261,42969,Superboy,1994,33, ,https://comicvine.gamespot.com/issue/4000-42969/,0 days 00:00:00,DC Comics
16,Parallax: Emerald Night,1996,1,Issue,1996-11-01,Comicvine,27394,166892,Parallax: Emerald Night,1996,1, ,https://comicvine.gamespot.com/parallax-emerald-night-1/4000-166892/,29 days 00:00:00,DC Comics
17,The Flash,1987,119,Issue,1996-11-30,Comicvine,3790,42955,The Flash,1987,119, ,https://comicvine.gamespot.com/issue/4000-42955/,0 days 00:00:00,DC Comics
18,Hitman,1996,8,Issue,1996-11-30,Comicvine,5750,42938,Hitman,1996,8, ,https://comicvine.gamespot.com/issue/4000-42938/,29 days 00:00:00,DC Comics
19,Legion of Super-Heroes,1989,86,Issue,1996-11-01,Comicvine,4201,43023,Legion of Super-Heroes,1989,86, ,https://comicvine.gamespot.com/legion-of-super-heroes-86-heart-of-iron/4000-43023/,0 days 00:00:00,DC Comics
20,Robin,1993,35,Issue,1996-11-01,Comicvine,4975,42964,Robin,1993,35, ,https://comicvine.gamespot.com/issue/4000-42964/,0 days 00:00:00,DC Comics
21,The Spectre,1992,47,Issue,1996-11-01,Comicvine,4754,42967,The Spectre,1992,47, ,https://comicvine.gamespot.com/the-spectre-47-use-of-power/4000-42967/,0 days 00:00:00,DC Comics
22,Superman: Man of Steel,1991,62,Issue,1996-11-01,Comicvine,4571,46635,Superman: The Man of Steel,1991,62, ,https://comicvine.gamespot.com/issue/4000-46635/,0 days 00:00:00,DC Comics
23,Takion,1996,6,Issue,1996-11-01,Comicvine,11257,98854,Takion,1996,6, ,https://comicvine.gamespot.com/issue/4000-98854/,0 days 00:00:00,DC Comics
24,Final Night,1996,4,Issue,1996-11-01,Comicvine,5747,42940,The Final Night,1996,4, ,https://comicvine.gamespot.com/the-final-night-4-the-final-knight/4000-42940/,30 days 00:00:00,DC Comics
25,Green Lantern,1990,81,Issue,1996-12-01,Comicvine,4363,43049,Green Lantern,1990,81, ,https://comicvine.gamespot.com/issue/4000-43049/,0 days 00:00:00,DC Comics
