,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Issue Number,CV Cover Image,CV Issue URL,Days Between Issues,CV Series Publisher
1,The Flash,2010,8,Issue,2011-02-01,Comicvine,32562,252622,The Flash,2010,8, ,https://comicvine.gamespot.com/the-flash-8-reverse-flash-rebirth/4000-252622/,59 days 00:00:00,DC Comics
2,The Flash,2010,9,Issue,2011-04-01,Comicvine,32562,261124,The Flash,2010,9, ,https://comicvine.gamespot.com/the-flash-9-case-two-the-road-to-flashpoint-part-o/4000-261124/,61 days 00:00:00,DC Comics
3,The Flash,2010,10,Issue,2011-06-01,Comicvine,32562,268209,The Flash,2010,10, ,https://comicvine.gamespot.com/the-flash-10-case-two-the-road-to-flashpoint-part-/4000-268209/,0 days 00:00:00,DC Comics
4,The Flash,2010,11,Issue,2011-06-01,Comicvine,32562,268970,The Flash,2010,11, ,https://comicvine.gamespot.com/the-flash-11-case-two-the-road-to-flashpoint-part-/4000-268970/,30 days 00:00:00,DC Comics
5,The Flash,2010,12,Issue,2011-07-01,Comicvine,32562,269821,The Flash,2010,12, ,https://comicvine.gamespot.com/the-flash-12-case-two-the-road-to-flashpoint-part-/4000-269821/,31 days 00:00:00,DC Comics
6,Flashpoint: Reverse Flash,2011,1,Issue,2011-08-01,Comicvine,40779,275584,Flashpoint: Reverse Flash,2011,1, ,https://comicvine.gamespot.com/flashpoint-reverse-flash-1-my-revenge/4000-275584/,0 days 00:00:00,DC Comics
7,Flashpoint: Project Superman,2011,1,Issue,2011-08-01,Comicvine,40926,276566,Flashpoint: Project Superman,2011,1, ,https://comicvine.gamespot.com/flashpoint-project-superman-1-the-heros-road/4000-276566/,31 days 00:00:00,DC Comics
8,Flashpoint: Project Superman,2011,2,Issue,2011-09-01,Comicvine,40926,281521,Flashpoint: Project Superman,2011,2, ,https://comicvine.gamespot.com/flashpoint-project-superman-2-in-these-small-hands/4000-281521/,31 days 00:00:00,DC Comics
9,Flashpoint: Wonder Woman and the Furies,2011,1,Issue,2011-08-01,Comicvine,40688,274393,Flashpoint: Wonder Woman and the Furies,2011,1, ,https://comicvine.gamespot.com/flashpoint-wonder-woman-and-the-furies-1-part-one-/4000-274393/,0 days 00:00:00,DC Comics
10,Flashpoint: Green Arrow Industries,2011,1,Issue,2011-08-01,Comicvine,40924,276567,Flashpoint: Green Arrow Industries,2011,1, ,https://comicvine.gamespot.com/flashpoint-green-arrow-industries-1-green-arrow-in/4000-276567/,31 days 00:00:00,DC Comics
11,Flashpoint: Wonder Woman and the Furies,2011,2,Issue,2011-09-01,Comicvine,40688,279958,Flashpoint: Wonder Woman and the Furies,2011,2, ,https://comicvine.gamespot.com/flashpoint-wonder-woman-and-the-furies-2-part-two-/4000-279958/,31 days 00:00:00,DC Comics
12,Flashpoint: Lois Lane and the Resistance,2011,1,Issue,2011-08-01,Comicvine,40762,275587,Flashpoint: Lois Lane and the Resistance,2011,1, ,https://comicvine.gamespot.com/flashpoint-lois-lane-and-the-resistance-1-breaking/4000-275587/,0 days 00:00:00,DC Comics
13,Flashpoint: The Canterbury Cricket,2011,1,Issue,2011-08-01,Comicvine,40927,276571,Flashpoint: The Canterbury Cricket,2011,1, ,https://comicvine.gamespot.com/flashpoint-the-canterbury-cricket-1-the-scoundrels/4000-276571/,0 days 00:00:00,DC Comics
14,Flashpoint: Deadman and the Flying Graysons,2011,1,Issue,2011-08-01,Comicvine,40683,274394,Flashpoint: Deadman and the Flying Graysons,2011,1, ,https://comicvine.gamespot.com/flashpoint-deadman-and-the-flying-graysons-1-the-s/4000-274394/,31 days 00:00:00,DC Comics
15,Flashpoint: Deadman and the Flying Graysons,2011,2,Issue,2011-09-01,Comicvine,40683,279957,Flashpoint: Deadman and the Flying Graysons,2011,2, ,https://comicvine.gamespot.com/flashpoint-deadman-and-the-flying-graysons-2-all-e/4000-279957/,30 days 00:00:00,DC Comics
16,Flashpoint: Deadman and the Flying Graysons,2011,3,Issue,2011-10-01,Comicvine,40683,285171,Flashpoint: Deadman and the Flying Graysons,2011,3, ,https://comicvine.gamespot.com/flashpoint-deadman-and-the-flying-graysons-3-death/4000-285171/,61 days 00:00:00,DC Comics
17,Flashpoint: Grodd of War,2011,1,Issue,2011-08-01,Comicvine,40691,274392,Flashpoint: Grodd of War,2011,1, ,https://comicvine.gamespot.com/flashpoint-grodd-of-war-1-grodd-of-war/4000-274392/,0 days 00:00:00,DC Comics
18,Flashpoint: Legion of Doom,2011,1,Issue,2011-08-01,Comicvine,40689,274391,Flashpoint: Legion of Doom,2011,1, ,https://comicvine.gamespot.com/flashpoint-legion-of-doom-1-hot-blooded/4000-274391/,31 days 00:00:00,DC Comics
19,Flashpoint: Legion of Doom,2011,2,Issue,2011-09-01,Comicvine,40689,279962,Flashpoint: Legion of Doom,2011,2, ,https://comicvine.gamespot.com/flashpoint-legion-of-doom-2-fired-up/4000-279962/,30 days 00:00:00,DC Comics
20,Flashpoint: Legion of Doom,2011,3,Issue,2011-10-01,Comicvine,40689,286682,Flashpoint: Legion of Doom,2011,3, ,https://comicvine.gamespot.com/flashpoint-legion-of-doom-3-streets-of-fire/4000-286682/,31 days 00:00:00,DC Comics
21,Flashpoint: Abin Sur: The Green Lantern,2011,1,Issue,2011-08-31,Comicvine,40367,272344,Flashpoint: Abin Sur - The Green Lantern,2011,1, ,https://comicvine.gamespot.com/flashpoint-abin-sur-the-green-lantern-1-emerald-is/4000-272344/,30 days 00:00:00,DC Comics
22,Flashpoint: Hal Jordan,2011,1,Issue,2011-08-01,Comicvine,40928,276570,Flashpoint: Hal Jordan,2011,1, ,https://comicvine.gamespot.com/flashpoint-hal-jordan-1-rising-tide/4000-276570/,48 days 00:00:00,DC Comics
23,Flashpoint: Abin Sur: The Green Lantern,2011,2,Issue,2011-09-18,Comicvine,40367,277427,Flashpoint: Abin Sur - The Green Lantern,2011,2, ,https://comicvine.gamespot.com/flashpoint-abin-sur-the-green-lantern-2-emerald-co/4000-277427/,0 days 00:00:00,DC Comics
24,Flashpoint: Hal Jordan,2011,2,Issue,2011-09-18,Comicvine,40928,281526,Flashpoint: Hal Jordan,2011,2, ,https://comicvine.gamespot.com/flashpoint-hal-jordan-2-beware-its-power/4000-281526/,79 days 00:00:00,DC Comics
25,Flashpoint,2011,1,Issue,2011-07-01,Comicvine,39997,269827,Flashpoint,2011,1, ,https://comicvine.gamespot.com/flashpoint-1-flashpoint-chapter-one-of-five/4000-269827/,31 days 00:00:00,DC Comics
