,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Issue Number,CV Cover Image,CV Issue URL,Days Between Issues,CV Series Publisher
1,Action Comics,1938,23.3,Issue,2013-11-30,Comicvine,42563,425896,Action Comics,2011,23.3, ,https://comicvine.gamespot.com/action-comics-23-3-up-up-and-away/4000-425896/,0 days 00:00:00,DC Comics
2,Forever Evil,2013,1.0,Issue,2013-11-30,Comicvine,67014,424491,Forever Evil,2013,1, ,https://comicvine.gamespot.com/forever-evil-1-nightfall/4000-424491/,0 days 00:00:00,DC Comics
3,Aquaman,2011,23.1,Issue,2013-11-30,Comicvine,43022,424988,Aquaman,2011,23.1, ,https://comicvine.gamespot.com/aquaman-23-1-sea-change/4000-424988/,0 days 00:00:00,DC Comics
4,Aquaman,2011,23.2,Issue,2013-11-30,Comicvine,43022,426810,Aquaman,2011,23.2, ,https://comicvine.gamespot.com/aquaman-23-2-new-fish/4000-426810/,29 days 00:00:00,DC Comics
5,Batman and Robin,2011,23.1,Issue,2013-11-01,Comicvine,42692,424495,Batman and Robin,2011,23.1, ,https://comicvine.gamespot.com/batman-and-robin-23-1-a-tale-of-two-faces/4000-424495/,0 days 00:00:00,DC Comics
6,Batman: The Dark Knight,2011,23.1,Issue,2013-11-01,Comicvine,42719,424494,Batman: The Dark Knight,2011,23.1, ,https://comicvine.gamespot.com/batman-the-dark-knight-23-1-a-rising-star-of-red/4000-424494/,0 days 00:00:00,DC Comics
7,Detective Comics,2011,23.1,Issue,2013-11-01,Comicvine,42594,424493,Detective Comics,2011,23.1, ,https://comicvine.gamespot.com/detective-comics-23-1-the-green-kingdom/4000-424493/,0 days 00:00:00,DC Comics
8,The Flash,2011,23.3,Issue,2013-11-01,Comicvine,43018,425897,The Flash,2011,23.3, ,https://comicvine.gamespot.com/the-flash-23-3-all-for-one/4000-425897/,0 days 00:00:00,DC Comics
9,Justice League of America,2013,7.1,Issue,2013-11-01,Comicvine,57485,424499,Justice League of America,2013,7.1, ,https://comicvine.gamespot.com/justice-league-of-america-7-1-point-and-shoot/4000-424499/,0 days 00:00:00,DC Comics
10,Superman,2011,23.1,Issue,2013-11-01,Comicvine,42986,424504,Superman,2011,23.1, ,https://comicvine.gamespot.com/superman-23-1-arrested-development/4000-424504/,29 days 00:00:00,DC Comics
11,Wonder Woman,2011,23.1,Issue,2013-11-30,Comicvine,42953,425905,Wonder Woman,2011,23.1, ,https://comicvine.gamespot.com/wonder-woman-23-1-the-hunt/4000-425905/,31 days 00:00:00,DC Comics
12,Trinity of Sin: Pandora,2013,4.0,Issue,2013-12-31,Comicvine,64655,428827,Trinity of Sin: Pandora,2013,4, ,https://comicvine.gamespot.com/trinity-of-sin-pandora-4-end-the-curse-part-1-the-/4000-428827/,31 days 00:00:00,DC Comics
13,Trinity of Sin: Pandora,2013,5.0,Issue,2014-01-31,Comicvine,64655,433792,Trinity of Sin: Pandora,2013,5, ,https://comicvine.gamespot.com/trinity-of-sin-pandora-5-end-the-curse-part-2-grea/4000-433792/,91 days 00:00:00,DC Comics
14,Green Lantern,2011,23.3,Issue,2013-11-01,Comicvine,42808,425898,Green Lantern,2011,23.3, ,https://comicvine.gamespot.com/green-lantern-23-3-the-new-black/4000-425898/,29 days 00:00:00,DC Comics
15,Justice League of America,2013,7.2,Issue,2013-11-30,Comicvine,57485,424992,Justice League of America,2013,7.2, ,https://comicvine.gamespot.com/justice-league-of-america-7-2-freezing-to-death/4000-424992/,1 days 00:00:00,DC Comics
16,Trinity of Sin: Phantom Stranger,2012,12.0,Issue,2013-12-01,Comicvine,51843,427656,The Phantom Stranger,2012,12, ,https://comicvine.gamespot.com/issue/4000-427656/,61 days 00:00:00,DC Comics
17,Trinity of Sin: Phantom Stranger,2012,13.0,Issue,2014-01-31,Comicvine,51843,432299,The Phantom Stranger,2012,13, ,https://comicvine.gamespot.com/issue/4000-432299/,62 days 00:00:00,DC Comics
18,Justice League,2011,23.4,Issue,2013-11-30,Comicvine,42488,426813,Justice League,2011,23.4, ,https://comicvine.gamespot.com/justice-league-23-4-the-wild-card/4000-426813/,1 days 00:00:00,DC Comics
19,Forever Evil,2013,2.0,Issue,2013-12-01,Comicvine,67014,427649,Forever Evil,2013,2, ,https://comicvine.gamespot.com/forever-evil-2-rats/4000-427649/,30 days 00:00:00,DC Comics
20,Batman,2011,23.2,Issue,2013-11-01,Comicvine,42721,424983,Batman,2011,23.2, ,https://comicvine.gamespot.com/batman-23-2-solitaire/4000-424983/,29 days 00:00:00,DC Comics
21,Detective Comics,2011,23.4,Issue,2013-11-30,Comicvine,42594,426807,Detective Comics,2011,23.4, ,https://comicvine.gamespot.com/detective-comics-23-4-descent/4000-426807/,0 days 00:00:00,DC Comics
22,Batman: The Dark Knight,2011,23.3,Issue,2013-11-30,Comicvine,42719,425894,Batman: The Dark Knight,2011,23.3, ,https://comicvine.gamespot.com/batman-the-dark-knight-23-3-not-just-another-prett/4000-425894/,29 days 00:00:00,DC Comics
23,Batman and Robin,2011,23.2,Issue,2013-11-01,Comicvine,42692,424985,Batman and Robin,2011,23.2, ,https://comicvine.gamespot.com/batman-and-robin-23-2-exquisite-dread/4000-424985/,0 days 00:00:00,DC Comics
24,Batman: The Dark Knight,2011,23.2,Issue,2013-11-01,Comicvine,42719,424986,Batman: The Dark Knight,2011,23.2, ,https://comicvine.gamespot.com/batman-the-dark-knight-23-2-mr-freeze/4000-424986/,0 days 00:00:00,DC Comics
25,Detective Comics,2011,23.2,Issue,2013-11-01,Comicvine,42594,424984,Detective Comics,2011,23.2, ,https://comicvine.gamespot.com/detective-comics-23-2-harley-lives/4000-424984/,60 days 00:00:00,DC Comics
26,Suicide Squad,2011,24.0,Issue,2013-12-31,Comicvine,42803,428256,Suicide Squad,2011,24, ,https://comicvine.gamespot.com/suicide-squad-24-excuse-the-mess/4000-428256/,31 days 00:00:00,DC Comics
27,Suicide Squad,2011,25.0,Issue,2014-01-31,Comicvine,42803,433113,Suicide Squad,2011,25, ,https://comicvine.gamespot.com/suicide-squad-25-cleaning-out-the-closet/4000-433113/,28 days 00:00:00,DC Comics
28,Suicide Squad,2011,26.0,Issue,2014-02-28,Comicvine,42803,436152,Suicide Squad,2011,26, ,https://comicvine.gamespot.com/suicide-squad-26-aloha/4000-436152/,119 days 00:00:00,DC Comics
29,The Flash,2011,23.1,Issue,2013-11-01,Comicvine,43018,424500,The Flash,2011,23.1, ,https://comicvine.gamespot.com/the-flash-23-1-the-light/4000-424500/,30 days 00:00:00,DC Comics
30,Forever Evil: Rogues Rebellion,2013,1.0,Issue,2013-12-01,Comicvine,68298,428825,Forever Evil: Rogues Rebellion,2013,1, ,https://comicvine.gamespot.com/forever-evil-rogues-rebellion-1-homecoming/4000-428825/,1 days 00:00:00,DC Comics
31,Justice League of America,2013,7.4,Issue,2013-11-30,Comicvine,57485,426814,Justice League of America,2013,7.4, ,https://comicvine.gamespot.com/justice-league-of-america-7-4-freedom-fighter/4000-426814/,31 days 00:00:00,DC Comics
32,Justice League,2011,24.0,Issue,2013-12-31,Comicvine,42488,430713,Justice League,2011,24, ,https://comicvine.gamespot.com/justice-league-24-forever-strong/4000-430713/,30 days 00:00:00,DC Comics
33,Justice League of America,2013,8.0,Issue,2013-12-01,Comicvine,57485,428826,Justice League of America,2013,8, ,https://comicvine.gamespot.com/justice-league-of-america-8-paradise-lost/4000-428826/,31 days 00:00:00,DC Comics
34,Justice League of America,2013,9.0,Issue,2014-01-01,Comicvine,57485,433112,Justice League of America,2013,9, ,https://comicvine.gamespot.com/justice-league-of-america-9-dark-art/4000-433112/,1 days 00:00:00,DC Comics
35,Forever Evil: A.R.G.U.S.,2013,1.0,Issue,2013-12-31,Comicvine,68701,431404,Forever Evil: A.R.G.U.S.,2013,1, ,https://comicvine.gamespot.com/forever-evil-a-r-g-u-s-1-part-one-issues-of-trust/4000-431404/,31 days 00:00:00,DC Comics
36,Forever Evil: A.R.G.U.S.,2013,2.0,Issue,2014-01-31,Comicvine,68701,434996,Forever Evil: A.R.G.U.S.,2013,2, ,https://comicvine.gamespot.com/forever-evil-a-r-g-u-s-2-part-two-know-thyself/4000-434996/,1 days 00:00:00,DC Comics
37,Justice League of America,2013,10.0,Issue,2014-02-01,Comicvine,57485,436151,Justice League of America,2013,10, ,https://comicvine.gamespot.com/justice-league-of-america-10-in-your-head/4000-436151/,58 days 00:00:00,DC Comics
38,Suicide Squad,2011,27.0,Issue,2014-03-31,Comicvine,42803,442113,Suicide Squad,2011,27, ,https://comicvine.gamespot.com/suicide-squad-27-under-over/4000-442113/,1 days 00:00:00,DC Comics
39,Suicide Squad,2011,28.0,Issue,2014-04-01,Comicvine,42803,445145,Suicide Squad,2011,28, ,https://comicvine.gamespot.com/suicide-squad-28-magic-bullet/4000-445145/,30 days 00:00:00,DC Comics
40,Suicide Squad,2011,29.0,Issue,2014-05-01,Comicvine,42803,447954,Suicide Squad,2011,29, ,https://comicvine.gamespot.com/suicide-squad-29-flushed/4000-447954/,120 days 00:00:00,DC Comics
41,Forever Evil,2013,3.0,Issue,2014-01-01,Comicvine,67014,432289,Forever Evil,2013,3, ,https://comicvine.gamespot.com/forever-evil-3-prisoners/4000-432289/,30 days 00:00:00,DC Comics
42,Forever Evil: Rogues Rebellion,2013,2.0,Issue,2014-01-31,Comicvine,68298,433790,Forever Evil: Rogues Rebellion,2013,2, ,https://comicvine.gamespot.com/forever-evil-rogues-rebellion-2-shattered/4000-433790/,28 days 00:00:00,DC Comics
43,Forever Evil: Rogues Rebellion,2013,3.0,Issue,2014-02-28,Comicvine,68298,437420,Forever Evil: Rogues Rebellion,2013,3, ,https://comicvine.gamespot.com/forever-evil-rogues-rebellion-3-dark-night/4000-437420/,1 days 00:00:00,DC Comics
44,Forever Evil: Rogues Rebellion,2013,4.0,Issue,2014-03-01,Comicvine,68298,442109,Forever Evil: Rogues Rebellion,2013,4, ,https://comicvine.gamespot.com/forever-evil-rogues-rebellion-4-escape-from-gotham/4000-442109/,29 days 00:00:00,DC Comics
45,Justice League,2011,25.0,Issue,2014-01-31,Comicvine,42488,436149,Justice League,2011,25, ,https://comicvine.gamespot.com/justice-league-25-forever-lost/4000-436149/,59 days 00:00:00,DC Comics
46,Justice League of America,2013,11.0,Issue,2014-03-31,Comicvine,57485,442112,Justice League of America,2013,11, ,https://comicvine.gamespot.com/justice-league-of-america-11-despair/4000-442112/,121 days 00:00:00,DC Comics
