,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Issue Number,CV Cover Image,CV Issue URL,Days Between Issues,CV Series Publisher
1,Justice League Dark,2011,24,Issue,2013-12-31,Comicvine,42996,430714,Justice League Dark,2011,24, ,https://comicvine.gamespot.com/justice-league-dark-24-forever-evil-blight-tiny-ev/4000-430714/,31 days 00:00:00,DC Comics
2,Justice League Dark,2011,25,Issue,2014-01-31,Comicvine,42996,434990,Justice League Dark,2011,25, ,https://comicvine.gamespot.com/justice-league-dark-25-forever-evil-blight-the-reb/4000-434990/,28 days 00:00:00,DC Comics
3,Trinity of Sin: Phantom Stranger,2012,14,Issue,2014-02-28,Comicvine,51843,435548,The Phantom Stranger,2012,14, ,https://comicvine.gamespot.com/issue/4000-435548/,27 days 00:00:00,DC Comics
4,Constantine,2013,9,Issue,2014-02-01,Comicvine,59156,436154,Constantine,2013,9, ,https://comicvine.gamespot.com/constantine-9-forever-evil-blight/4000-436154/,0 days 00:00:00,DC Comics
5,Trinity of Sin: Pandora,2013,6,Issue,2014-02-01,Comicvine,64655,437616,Trinity of Sin: Pandora,2013,6, ,https://comicvine.gamespot.com/trinity-of-sin-pandora-6-forever-evil-blight-preci/4000-437616/,0 days 00:00:00,DC Comics
6,Justice League Dark,2011,26,Issue,2014-02-01,Comicvine,42996,440199,Justice League Dark,2011,26, ,https://comicvine.gamespot.com/justice-league-dark-26-forever-evil-blight-the-hau/4000-440199/,58 days 00:00:00,DC Comics
7,Trinity of Sin: Phantom Stranger,2012,15,Issue,2014-03-31,Comicvine,51843,441376,The Phantom Stranger,2012,15, ,https://comicvine.gamespot.com/issue/4000-441376/,30 days 00:00:00,DC Comics
8,Constantine,2013,10,Issue,2014-03-01,Comicvine,59156,442108,Constantine,2013,10, ,https://comicvine.gamespot.com/constantine-10-two-fingers-to-heaven/4000-442108/,30 days 00:00:00,DC Comics
9,Trinity of Sin: Pandora,2013,7,Issue,2014-03-31,Comicvine,64655,442876,Trinity of Sin: Pandora,2013,7, ,https://comicvine.gamespot.com/trinity-of-sin-pandora-7-forever-evil-blight-the-r/4000-442876/,0 days 00:00:00,DC Comics
10,Justice League Dark,2011,27,Issue,2014-03-31,Comicvine,42996,443944,Justice League Dark,2011,27, ,https://comicvine.gamespot.com/justice-league-dark-27-forever-evil-blight-redempt/4000-443944/,1 days 00:00:00,DC Comics
11,Trinity of Sin: Phantom Stranger,2012,16,Issue,2014-04-01,Comicvine,51843,444479,The Phantom Stranger,2012,16, ,https://comicvine.gamespot.com/issue/4000-444479/,29 days 00:00:00,DC Comics
12,Constantine,2013,11,Issue,2014-04-30,Comicvine,59156,445147,Constantine,2013,11, ,https://comicvine.gamespot.com/constantine-11-forever-evil-blight-like-a-bullet/4000-445147/,0 days 00:00:00,DC Comics
13,Trinity of Sin: Pandora,2013,8,Issue,2014-04-30,Comicvine,64655,445773,Trinity of Sin: Pandora,2013,8, ,https://comicvine.gamespot.com/trinity-of-sin-pandora-8-forever-evil-blight-open-/4000-445773/,29 days 00:00:00,DC Comics
14,Justice League Dark,2011,28,Issue,2014-04-01,Comicvine,42996,446431,Justice League Dark,2011,28, ,https://comicvine.gamespot.com/justice-league-dark-28-forever-evil-blight-unholy-/4000-446431/,30 days 00:00:00,DC Comics
15,Trinity of Sin: Phantom Stranger,2012,17,Issue,2014-05-01,Comicvine,51843,446955,The Phantom Stranger,2012,17, ,https://comicvine.gamespot.com/issue/4000-446955/,30 days 00:00:00,DC Comics
16,Constantine,2013,12,Issue,2014-05-31,Comicvine,59156,447468,Constantine,2013,12, ,https://comicvine.gamespot.com/constantine-12-forever-evil-blight-dreaming-of-blo/4000-447468/,0 days 00:00:00,DC Comics
17,Trinity of Sin: Pandora,2013,9,Issue,2014-05-31,Comicvine,64655,447957,Trinity of Sin: Pandora,2013,9, ,https://comicvine.gamespot.com/trinity-of-sin-pandora-9-forever-evil-blight-the-b/4000-447957/,0 days 00:00:00,DC Comics
18,Justice League Dark,2011,29,Issue,2014-05-31,Comicvine,42996,448914,Justice League Dark,2011,29, ,https://comicvine.gamespot.com/justice-league-dark-29-forever-evil-blight-and-in-/4000-448914/,0 days 00:00:00,DC Comics
