,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Issue Number,CV Cover Image,CV Issue URL,Days Between Issues,CV Series Publisher
1,Justice League America,1989,70,Issue,1993-01-01,Comicvine,4198,36721,Justice League America,1989,70, ,https://comicvine.gamespot.com/issue/4000-36721/,30 days 00:00:00,DC Comics
2,Adventures of Superman,1987,498,Issue,1993-01-31,Comicvine,3778,36708,Adventures of Superman,1987,498, ,https://comicvine.gamespot.com/issue/4000-36708/,0 days 00:00:00,DC Comics
3,Action Comics,1938,685,Issue,1993-01-31,Comicvine,18005,110934,Action Comics,1938,685, ,https://comicvine.gamespot.com/issue/4000-110934/,28 days 00:00:00,DC Comics
4,Superman: Man of Steel,1991,20,Issue,1993-02-28,Comicvine,4571,36890,Superman: The Man of Steel,1991,20, ,https://comicvine.gamespot.com/issue/4000-36890/,0 days 00:00:00,DC Comics
5,Superman,1987,76,Issue,1993-02-28,Comicvine,3816,68546,Superman,1987,76, ,https://comicvine.gamespot.com/issue/4000-68546/,0 days 00:00:00,DC Comics
6,Adventures of Superman,1987,499,Issue,1993-02-28,Comicvine,3778,36814,Adventures of Superman,1987,499, ,https://comicvine.gamespot.com/issue/4000-36814/,0 days 00:00:00,DC Comics
7,Action Comics,1938,686,Issue,1993-02-28,Comicvine,18005,110957,Action Comics,1938,686, ,https://comicvine.gamespot.com/issue/4000-110957/,31 days 00:00:00,DC Comics
8,Superman: Man of Steel,1991,21,Issue,1993-03-31,Comicvine,4571,37003,Superman: The Man of Steel,1991,21, ,https://comicvine.gamespot.com/issue/4000-37003/,0 days 00:00:00,DC Comics
9,Superman,1987,77,Issue,1993-03-31,Comicvine,3816,68547,Superman,1987,77, ,https://comicvine.gamespot.com/issue/4000-68547/,0 days 00:00:00,DC Comics
10,Legacy of Superman,1993,1,Issue,1993-03-31,Comicvine,31761,199201,Superman: The Legacy of Superman,1993,1, ,https://comicvine.gamespot.com/issue/4000-199201/,275 days 00:00:00,DC Comics
11,Supergirl and Team Luthor,1993,1,Issue,1993-12-31,Comicvine,30431,187424,Supergirl/Lex Luthor Special,1993,1, ,https://comicvine.gamespot.com/issue/4000-187424/,0 days 00:00:00,DC Comics
