,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Issue Number,CV Cover Image,CV Issue URL,Days Between Issues,CV Series Publisher
1,Future State: Batman/Superman,2021,1,Issue,2021-03-01,Comicvine,133410,826322,Future State: Batman/Superman,2021,1, ,https://comicvine.gamespot.com/future-state-batmansuperman-1-chapter-one-vermin/4000-826322/,31 days 00:00:00,DC Comics
2,Future State: Batman/Superman,2021,2,Issue,2021-04-01,Comicvine,133410,829319,Future State: Batman/Superman,2021,2, ,https://comicvine.gamespot.com/future-state-batmansuperman-2-chapter-two-trust/4000-829319/,31 days 00:00:00,DC Comics
3,Future State: The Next Batman,2021,1,Issue,2021-03-01,Comicvine,133038,823809,Future State: The Next Batman,2021,1, ,https://comicvine.gamespot.com/future-state-the-next-batman-1-untitled-untitled-a/4000-823809/,0 days 00:00:00,DC Comics
4,Future State: The Next Batman,2021,2,Issue,2021-03-01,Comicvine,133038,825080,Future State: The Next Batman,2021,2, ,https://comicvine.gamespot.com/future-state-the-next-batman-2-chapter-2-batgirls-/4000-825080/,31 days 00:00:00,DC Comics
5,Future State: The Next Batman,2021,3,Issue,2021-04-01,Comicvine,133038,827090,Future State: The Next Batman,2021,3, ,https://comicvine.gamespot.com/future-state-the-next-batman-3-chapter-3-outsiders/4000-827090/,0 days 00:00:00,DC Comics
6,Future State: The Next Batman,2021,4,Issue,2021-04-01,Comicvine,133038,828563,Future State: The Next Batman,2021,4, ,https://comicvine.gamespot.com/future-state-the-next-batman-4-conclusion-batgirls/4000-828563/,31 days 00:00:00,DC Comics
7,Future State: Robin Eternal,2021,1,Issue,2021-03-01,Comicvine,133154,824271,Future State: Robin Eternal,2021,1, ,https://comicvine.gamespot.com/future-state-robin-eternal-1-part-one/4000-824271/,31 days 00:00:00,DC Comics
8,Future State: Robin Eternal,2021,2,Issue,2021-04-01,Comicvine,133154,827767,Future State: Robin Eternal,2021,2, ,https://comicvine.gamespot.com/future-state-robin-eternal-2-part-two/4000-827767/,31 days 00:00:00,DC Comics
9,Future State: Harley Quinn,2021,1,Issue,2021-03-01,Comicvine,133037,823808,Future State: Harley Quinn,2021,1, ,https://comicvine.gamespot.com/future-state-harley-quinn-1-part-1/4000-823808/,31 days 00:00:00,DC Comics
10,Future State: Harley Quinn,2021,2,Issue,2021-04-01,Comicvine,133037,827089,Future State: Harley Quinn,2021,2, ,https://comicvine.gamespot.com/future-state-harley-quinn-2-part-2/4000-827089/,31 days 00:00:00,DC Comics
11,Future State: Nightwing,2021,1,Issue,2021-03-01,Comicvine,133282,825081,Future State: Nightwing,2021,1, ,https://comicvine.gamespot.com/future-state-nightwing-1-once-upon-a-night-in-goth/4000-825081/,31 days 00:00:00,DC Comics
12,Future State: Nightwing,2021,2,Issue,2021-04-01,Comicvine,133282,828564,Future State: Nightwing,2021,2, ,https://comicvine.gamespot.com/future-state-nightwing-2-once-upon-a-night-in-goth/4000-828564/,31 days 00:00:00,DC Comics
13,Future State: Catwoman,2021,1,Issue,2021-03-01,Comicvine,133280,825078,Future State: Catwoman,2021,1, ,https://comicvine.gamespot.com/future-state-catwoman-1-the-great-train-robbery/4000-825078/,31 days 00:00:00,DC Comics
14,Future State: Catwoman,2021,2,Issue,2021-04-01,Comicvine,133280,828561,Future State: Catwoman,2021,2, ,https://comicvine.gamespot.com/future-state-catwoman-2-the-great-train-robbery-fi/4000-828561/,31 days 00:00:00,DC Comics
