,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Issue Number,CV Cover Image,CV Issue URL,Days Between Issues,CV Series Publisher
1,Genesis,1997,1,Issue,1997-10-31,Comicvine,11858,103758,Genesis,1997,1, ,https://comicvine.gamespot.com/genesis-1-resonance/4000-103758/,30 days 00:00:00,DC Comics
2,Green Lantern,1990,91,Issue,1997-10-01,Comicvine,4363,44236,Green Lantern,1990,91, ,https://comicvine.gamespot.com/issue/4000-44236/,0 days 00:00:00,DC Comics
3,Power of Shazam!,1995,31,Issue,1997-10-01,Comicvine,5515,44170,The Power of SHAZAM!,1995,31, ,https://comicvine.gamespot.com/the-power-of-shazam-31-the-gods-must-be-crazy/4000-44170/,2 days 00:00:00,DC Comics
4,Starman,1994,35,Issue,1997-10-03,Comicvine,5259,44175,Starman,1994,35, ,https://comicvine.gamespot.com/issue/4000-44175/,2 days 00:00:00,DC Comics
5,Steel,1994,43,Issue,1997-10-01,Comicvine,5260,44150,Steel,1994,43, ,https://comicvine.gamespot.com/issue/4000-44150/,30 days 00:00:00,DC Comics
6,Superman: Man of Steel,1991,72,Issue,1997-10-31,Comicvine,4571,70756,Superman: The Man of Steel,1991,72, ,https://comicvine.gamespot.com/issue/4000-70756/,0 days 00:00:00,DC Comics
7,Genesis,1997,2,Issue,1997-10-31,Comicvine,11858,103759,Genesis,1997,2, ,https://comicvine.gamespot.com/genesis-2-edge-of-destruction/4000-103759/,30 days 00:00:00,DC Comics
8,Azrael,1995,34,Issue,1997-10-01,Comicvine,5490,135641,Azrael,1995,34, ,https://comicvine.gamespot.com/azrael-34-genesis-run-angel-run/4000-135641/,30 days 00:00:00,DC Comics
9,Robin,1993,46,Issue,1997-10-31,Comicvine,4975,44172,Robin,1993,46, ,https://comicvine.gamespot.com/issue/4000-44172/,30 days 00:00:00,DC Comics
10,Batman,1940,547,Issue,1997-10-01,Comicvine,796,44159,Batman,1940,547, ,https://comicvine.gamespot.com/batman-547-dark-genesis/4000-44159/,0 days 00:00:00,DC Comics
11,Aquaman,1994,37,Issue,1997-10-01,Comicvine,5230,44218,Aquaman,1994,37, ,https://comicvine.gamespot.com/aquaman-37-one-demon-life/4000-44218/,0 days 00:00:00,DC Comics
12,Impulse,1995,30,Issue,1997-10-01,Comicvine,5509,44167,Impulse,1995,30, ,https://comicvine.gamespot.com/issue/4000-44167/,0 days 00:00:00,DC Comics
13,Sovereign Seven,1995,27,Issue,1997-10-01,Comicvine,5518,44245,Sovereign Seven,1995,27, ,https://comicvine.gamespot.com/sovereign-seven-27-mothers-day/4000-44245/,30 days 00:00:00,DC Comics
