,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Issue Number,CV Cover Image,CV Issue URL,Days Between Issues,CV Series Publisher
1,New Gods: Godhead,2014,1,Issue,2014-12-31,Comicvine,77218,466983,Green Lantern/New Gods: Godhead,2014,1, ,https://comicvine.gamespot.com/green-lantern-new-gods-godhead-1-godhead-act-i-par/4000-466983/,0 days 00:00:00,DC Comics
2,Green Lantern,2011,35,Issue,2014-12-31,Comicvine,42808,466986,Green Lantern,2011,35, ,https://comicvine.gamespot.com/green-lantern-35-godhead-act-i-part-ii-dead-worlds/4000-466986/,0 days 00:00:00,DC Comics
3,Green Lantern Corps,2011,35,Issue,2014-12-31,Comicvine,42916,467601,Green Lantern Corps,2011,35, ,https://comicvine.gamespot.com/green-lantern-corps-35-godhead-act-i-part-iii-reck/4000-467601/,0 days 00:00:00,DC Comics
4,Green Lantern: New Guardians,2011,35,Issue,2014-12-31,Comicvine,43007,468022,Green Lantern: New Guardians,2011,35, ,https://comicvine.gamespot.com/green-lantern-new-guardians-35-godhead-act-i-part-/4000-468022/,0 days 00:00:00,DC Comics
5,Infinity Man and the Forever People,2014,4,Issue,2014-12-31,Comicvine,74703,468414,Infinity Man and the Forever People,2014,4, ,https://comicvine.gamespot.com/infinity-man-and-the-forever-people-4-milk-run/4000-468414/,0 days 00:00:00,DC Comics
6,Red Lanterns,2011,35,Issue,2014-12-31,Comicvine,42804,468417,Red Lanterns,2011,35, ,https://comicvine.gamespot.com/red-lanterns-35-godhead-act-i-part-v-god-is-red/4000-468417/,0 days 00:00:00,DC Comics
7,Sinestro,2014,6,Issue,2014-12-31,Comicvine,73088,468866,Sinestro,2014,6, ,https://comicvine.gamespot.com/sinestro-6-godhead-act-i-part-vi-sacrifice/4000-468866/,31 days 00:00:00,DC Comics
8,Green Lantern,2011,36,Issue,2015-01-31,Comicvine,42808,469433,Green Lantern,2011,36, ,https://comicvine.gamespot.com/green-lantern-36-godhead-act-ii-part-i-dark-allian/4000-469433/,0 days 00:00:00,DC Comics
9,Green Lantern Corps,2011,36,Issue,2015-01-31,Comicvine,42916,469795,Green Lantern Corps,2011,36, ,https://comicvine.gamespot.com/green-lantern-corps-36-godhead-act-ii-part-ii-conv/4000-469795/,0 days 00:00:00,DC Comics
10,Infinity Man and the Forever People,2014,5,Issue,2015-01-31,Comicvine,74703,471256,Infinity Man and the Forever People,2014,5, ,https://comicvine.gamespot.com/infinity-man-and-the-forever-people-5-there-shall-/4000-471256/,0 days 00:00:00,DC Comics
11,Green Lantern: New Guardians,2011,36,Issue,2015-01-31,Comicvine,43007,470371,Green Lantern: New Guardians,2011,36, ,https://comicvine.gamespot.com/green-lantern-new-guardians-36-godhead-act-ii-part/4000-470371/,0 days 00:00:00,DC Comics
12,Red Lanterns,2011,36,Issue,2015-01-31,Comicvine,42804,471258,Red Lanterns,2011,36, ,https://comicvine.gamespot.com/red-lanterns-36-godhead-act-ii-part-iv-boom/4000-471258/,1 days 00:00:00,DC Comics
13,Sinestro,2014,7,Issue,2015-02-01,Comicvine,73088,471925,Sinestro,2014,7, ,https://comicvine.gamespot.com/sinestro-7-godhead-act-ii-part-v-battle-plans/4000-471925/,27 days 00:00:00,DC Comics
14,Green Lantern,2011,37,Issue,2015-02-28,Comicvine,42808,471921,Green Lantern,2011,37, ,https://comicvine.gamespot.com/green-lantern-37-godhead-act-iii-part-i-wall/4000-471921/,27 days 00:00:00,DC Comics
15,Green Lantern Corps,2011,37,Issue,2015-02-01,Comicvine,42916,472838,Green Lantern Corps,2011,37, ,https://comicvine.gamespot.com/green-lantern-corps-37-godhead-act-iii-part-ii-tra/4000-472838/,0 days 00:00:00,DC Comics
16,Infinity Man and the Forever People,2014,6,Issue,2015-02-01,Comicvine,74703,474566,Infinity Man and the Forever People,2014,6, ,https://comicvine.gamespot.com/infinity-man-and-the-forever-people-6-the-terror-o/4000-474566/,0 days 00:00:00,DC Comics
17,Green Lantern: New Guardians,2011,37,Issue,2015-02-01,Comicvine,43007,473590,Green Lantern: New Guardians,2011,37, ,https://comicvine.gamespot.com/green-lantern-new-guardians-37-godhead-act-iii-par/4000-473590/,0 days 00:00:00,DC Comics
18,Red Lanterns,2011,37,Issue,2015-02-01,Comicvine,42804,474569,Red Lanterns,2011,37, ,https://comicvine.gamespot.com/red-lanterns-37-godhead-act-iii-part-iv-forged-in-/4000-474569/,27 days 00:00:00,DC Comics
19,Sinestro,2014,8,Issue,2015-02-28,Comicvine,73088,474572,Sinestro,2014,8, ,https://comicvine.gamespot.com/sinestro-8-godhead-act-iii-part-v-war-council/4000-474572/,27 days 00:00:00,DC Comics
20,Green Lantern Vol. 5 Annual,2012,3,Issue,2015-02-01,Comicvine,51615,474564,Green Lantern Annual,2012,3, ,https://comicvine.gamespot.com/green-lantern-annual-3-godhead-finale-fall-of-the-/4000-474564/,0 days 00:00:00,DC Comics
