,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Issue Number,CV Cover Image,CV Issue URL,Days Between Issues,CV Series Publisher
1,Heroes in Crisis,2018,1,Issue,2018-11-01,Comicvine,113880,686355,Heroes In Crisis,2018,1, ,https://comicvine.gamespot.com/heroes-in-crisis-1-part-1-im-just-warming-up/4000-686355/,30 days 00:00:00,DC Comics
2,Green Arrow,2016,45,Issue,2018-12-01,Comicvine,91284,686985,Green Arrow,2016,45, ,https://comicvine.gamespot.com/green-arrow-45-draw-and-release/4000-686985/,0 days 00:00:00,DC Comics
3,Heroes in Crisis,2018,2,Issue,2018-12-01,Comicvine,113880,690793,Heroes In Crisis,2018,2, ,https://comicvine.gamespot.com/heroes-in-crisis-2-part-2-then-i-became-superman/4000-690793/,31 days 00:00:00,DC Comics
4,Heroes in Crisis,2018,3,Issue,2019-01-01,Comicvine,113880,693400,Heroes In Crisis,2018,3, ,https://comicvine.gamespot.com/heroes-in-crisis-3-part-3-master-of-the-lagoon/4000-693400/,59 days 00:00:00,DC Comics
5,Heroes in Crisis,2018,4,Issue,2019-03-01,Comicvine,113880,696332,Heroes In Crisis,2018,4, ,https://comicvine.gamespot.com/heroes-in-crisis-4-part-4-this/4000-696332/,0 days 00:00:00,DC Comics
6,The Flash Vol. 5 Annual,2018,2,Issue,2019-03-01,Comicvine,108248,699372,The Flash Annual,2016,2, ,https://comicvine.gamespot.com/the-flash-annual-2-too-many-speedsters/4000-699372/,31 days 00:00:00,DC Comics
7,Batman,2016,64,Issue,2019-04-01,Comicvine,91273,700114,Batman,2016,64, ,https://comicvine.gamespot.com/batman-64-the-price-part-1-of-4-the-price-of-justi/4000-700114/,0 days 00:00:00,DC Comics
8,The Flash,2016,64,Issue,2019-04-01,Comicvine,91750,700641,The Flash,2016,64, ,https://comicvine.gamespot.com/the-flash-64-the-price-part-2-of-4-the-price-of-in/4000-700641/,0 days 00:00:00,DC Comics
9,Batman,2016,65,Issue,2019-04-01,Comicvine,91273,701282,Batman,2016,65, ,https://comicvine.gamespot.com/batman-65-the-price-part-3-of-4-the-price-of-venge/4000-701282/,0 days 00:00:00,DC Comics
10,The Flash,2016,65,Issue,2019-04-01,Comicvine,91750,701912,The Flash,2016,65, ,https://comicvine.gamespot.com/the-flash-65-the-price-part-4-of-4-the-price-of-lo/4000-701912/,31 days 00:00:00,DC Comics
11,Heroes in Crisis,2018,5,Issue,2019-03-01,Comicvine,113880,699374,Heroes In Crisis,2018,5, ,https://comicvine.gamespot.com/heroes-in-crisis-5-part-5-blood-in-the-way/4000-699374/,31 days 00:00:00,DC Comics
12,Heroes in Crisis,2018,6,Issue,2019-04-01,Comicvine,113880,701915,Heroes In Crisis,2018,6, ,https://comicvine.gamespot.com/heroes-in-crisis-6-part-6-who-is-saved/4000-701915/,30 days 00:00:00,DC Comics
13,Heroes in Crisis,2018,7,Issue,2019-05-01,Comicvine,113880,704788,Heroes In Crisis,2018,7, ,https://comicvine.gamespot.com/heroes-in-crisis-7-part-7-too-fast-to-save-the-wor/4000-704788/,31 days 00:00:00,DC Comics
14,Heroes in Crisis,2018,8,Issue,2019-06-01,Comicvine,113880,706929,Heroes In Crisis,2018,8, ,https://comicvine.gamespot.com/heroes-in-crisis-8-part-8-alive/4000-706929/,30 days 00:00:00,DC Comics
15,Heroes in Crisis,2018,9,Issue,2019-07-01,Comicvine,113880,710054,Heroes In Crisis,2018,9, ,https://comicvine.gamespot.com/heroes-in-crisis-9-finale-all-of-us/4000-710054/,0 days 00:00:00,DC Comics
