,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Issue Number,CV Cover Image,CV Issue URL,Days Between Issues,CV Series Publisher
1,Identity Crisis,2004,1,Issue,2004-08-01,Comicvine,18438,108160,Identity Crisis,2004,1, ,https://comicvine.gamespot.com/identity-crisis-1-chapter-one-coffin/4000-108160/,91 days 00:00:00,DC Comics
2,The Flash,1987,213,Issue,2004-10-31,Comicvine,3790,131551,The Flash,1987,213, ,https://comicvine.gamespot.com/the-flash-213-slow-motion/4000-131551/,60 days 00:00:00,DC Comics
3,Identity Crisis,2004,2,Issue,2004-09-01,Comicvine,18438,108220,Identity Crisis,2004,2, ,https://comicvine.gamespot.com/identity-crisis-2-chapter-two-house-of-lies/4000-108220/,30 days 00:00:00,DC Comics
4,Identity Crisis,2004,3,Issue,2004-10-01,Comicvine,18438,108233,Identity Crisis,2004,3, ,https://comicvine.gamespot.com/identity-crisis-3-chapter-three-serial-killer/4000-108233/,5905 days 00:00:00,DC Comics
5,Manhunter,1988,2,Issue,1988-08-01,Comicvine,4009,29903,Manhunter,1988,2, ,https://comicvine.gamespot.com/manhunter-2-dumas-kills/4000-29903/,5965 days 00:00:00,DC Comics
6,The Flash,1987,214,Issue,2004-11-30,Comicvine,3790,131552,The Flash,1987,214, ,https://comicvine.gamespot.com/the-flash-214-the-secret-of-barry-allen-part-1/4000-131552/,29 days 00:00:00,DC Comics
7,Identity Crisis,2004,4,Issue,2004-11-01,Comicvine,18438,108241,Identity Crisis,2004,4, ,https://comicvine.gamespot.com/identity-crisis-4-chapter-four-who-benefits/4000-108241/,5905 days 00:00:00,DC Comics
8,Manhunter,1988,3,Issue,1988-09-01,Comicvine,4009,30012,Manhunter,1988,3, ,https://comicvine.gamespot.com/manhunter-3-the-gentlemen-of-japan/4000-30012/,5965 days 00:00:00,DC Comics
9,The Flash,1987,215,Issue,2004-12-31,Comicvine,3790,131553,The Flash,1987,215, ,https://comicvine.gamespot.com/the-flash-215-the-secret-of-barry-allen-part-two-r/4000-131553/,30 days 00:00:00,DC Comics
10,Identity Crisis,2004,5,Issue,2004-12-01,Comicvine,18438,110351,Identity Crisis,2004,5, ,https://comicvine.gamespot.com/identity-crisis-5-chapter-five-fathers-day/4000-110351/,5905 days 00:00:00,DC Comics
11,Manhunter,1988,4,Issue,1988-10-01,Comicvine,4009,30136,Manhunter,1988,4, ,https://comicvine.gamespot.com/manhunter-4-through-the-mask/4000-30136/,5752 days 00:00:00,DC Comics
12,Firestorm,2004,1,Issue,2004-07-01,Comicvine,11157,97710,Firestorm,2004,1, ,https://comicvine.gamespot.com/firestorm-1-eye-contact-part-1/4000-97710/,31 days 00:00:00,DC Comics
13,Firestorm,2004,2,Issue,2004-08-01,Comicvine,11157,97711,Firestorm,2004,2, ,https://comicvine.gamespot.com/firestorm-2-eye-contact-part-2/4000-97711/,31 days 00:00:00,DC Comics
14,Firestorm,2004,3,Issue,2004-09-01,Comicvine,11157,97712,Firestorm,2004,3, ,https://comicvine.gamespot.com/firestorm-3-eye-contact-part-3/4000-97712/,30 days 00:00:00,DC Comics
15,Firestorm,2004,4,Issue,2004-10-01,Comicvine,11157,97713,Firestorm,2004,4, ,https://comicvine.gamespot.com/firestorm-4-everybody-wants-you-part-1/4000-97713/,31 days 00:00:00,DC Comics
16,Firestorm,2004,5,Issue,2004-11-01,Comicvine,11157,97714,Firestorm,2004,5, ,https://comicvine.gamespot.com/firestorm-5-everybody-wants-you-part-2/4000-97714/,30 days 00:00:00,DC Comics
17,Firestorm,2004,6,Issue,2004-12-01,Comicvine,11157,97715,Firestorm,2004,6, ,https://comicvine.gamespot.com/firestorm-6-joyride/4000-97715/,61 days 00:00:00,DC Comics
18,The Flash,1987,216,Issue,2005-01-31,Comicvine,3790,98428,The Flash,1987,216, ,https://comicvine.gamespot.com/the-flash-216-secret-of-barry-allen-part-3/4000-98428/,30 days 00:00:00,DC Comics
19,JSA,1999,67,Issue,2005-01-01,Comicvine,6331,92336,JSA,1999,67, ,https://comicvine.gamespot.com/jsa-67-the-autopsy/4000-92336/,0 days 00:00:00,DC Comics
20,Identity Crisis,2004,6,Issue,2005-01-01,Comicvine,18438,110353,Identity Crisis,2004,6, ,https://comicvine.gamespot.com/identity-crisis-6-chapter-six-husbands-and-wives/4000-110353/,31 days 00:00:00,DC Comics
21,Identity Crisis,2004,7,Issue,2005-02-01,Comicvine,18438,110354,Identity Crisis,2004,7, ,https://comicvine.gamespot.com/identity-crisis-7-chapter-seven-the-heros-life/4000-110354/,5936 days 00:00:00,DC Comics
22,Manhunter,1988,5,Issue,1988-11-01,Comicvine,4009,30266,Manhunter,1988,5, ,https://comicvine.gamespot.com/manhunter-5-interface/4000-30266/,0 days 00:00:00,DC Comics
