,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Issue Number,CV Cover Image,CV Issue URL,Days Between Issues,CV Series Publisher
1,Infinite Crisis,2005,1,Issue,2005-12-01,Comicvine,17983,105305,Infinite Crisis,2005,1, ,https://comicvine.gamespot.com/infinite-crisis-1-infinite-crisis/4000-105305/,31 days 00:00:00,DC Comics
2,Gotham Central,2003,37,Issue,2006-01-01,Comicvine,9958,107004,Gotham Central,2003,37, ,https://comicvine.gamespot.com/gotham-central-37-sunday-bloody-sunday/4000-107004/,59 days 00:00:00,DC Comics
3,JLA,1997,124,Issue,2006-03-01,Comicvine,5957,106234,JLA,1997,124, ,https://comicvine.gamespot.com/jla-124-envy-is-the-key/4000-106234/,31 days 00:00:00,DC Comics
4,JLA,1997,125,Issue,2006-04-01,Comicvine,5957,106235,JLA,1997,125, ,https://comicvine.gamespot.com/jla-125-mind-field/4000-106235/,121 days 00:00:00,DC Comics
5,Outsiders,2003,29,Issue,2005-12-01,Comicvine,10415,113888,Outsiders,2003,29, ,https://comicvine.gamespot.com/outsiders-29-unoriginal-sins-part-1-all-together-n/4000-113888/,31 days 00:00:00,DC Comics
6,Outsiders,2003,30,Issue,2006-01-01,Comicvine,10415,113889,Outsiders,2003,30, ,https://comicvine.gamespot.com/outsiders-30-unoriginal-sin-part-2-all-hell-breaks/4000-113889/,31 days 00:00:00,DC Comics
7,Teen Titans,2003,29,Issue,2005-12-01,Comicvine,10414,111164,Teen Titans,2003,29, ,https://comicvine.gamespot.com/teen-titans-29-life-and-death/4000-111164/,0 days 00:00:00,DC Comics
8,Wonder Woman,1987,222,Issue,2005-12-01,Comicvine,3824,107686,Wonder Woman,1987,222, ,https://comicvine.gamespot.com/wonder-woman-222-blood-debt/4000-107686/,31 days 00:00:00,DC Comics
9,Superman,1987,223,Issue,2006-01-01,Comicvine,3816,119105,Superman,1987,223, ,https://comicvine.gamespot.com/superman-223-stones/4000-119105/,0 days 00:00:00,DC Comics
10,Firestorm,2004,19,Issue,2006-01-01,Comicvine,11157,107875,Firestorm,2004,19, ,https://comicvine.gamespot.com/firestorm-19-the-forests-of-the-night/4000-107875/,0 days 00:00:00,DC Comics
11,Teen Titans,2003,30,Issue,2006-01-01,Comicvine,10414,111165,Teen Titans,2003,30, ,https://comicvine.gamespot.com/teen-titans-30-lost-and-found-part-1/4000-111165/,31 days 00:00:00,DC Comics
12,Teen Titans,2003,31,Issue,2006-02-01,Comicvine,10414,111167,Teen Titans,2003,31, ,https://comicvine.gamespot.com/teen-titans-31-lost-and-found-part-2/4000-111167/,0 days 00:00:00,DC Comics
13,Green Lantern,2005,7,Issue,2006-02-01,Comicvine,18216,113139,Green Lantern,2005,7, ,https://comicvine.gamespot.com/green-lantern-7-a-perfect-life-part-1/4000-113139/,28 days 00:00:00,DC Comics
14,Green Lantern,2005,8,Issue,2006-03-01,Comicvine,18216,113140,Green Lantern,2005,8, ,https://comicvine.gamespot.com/green-lantern-8-a-perfect-life-part-2/4000-113140/,120 days 00:00:00,DC Comics
15,Birds of Prey,1999,86,Issue,2005-11-01,Comicvine,6498,113522,Birds of Prey,1999,86, ,https://comicvine.gamespot.com/birds-of-prey-86-a-wakeful-time/4000-113522/,30 days 00:00:00,DC Comics
16,Birds of Prey,1999,87,Issue,2005-12-01,Comicvine,6498,107876,Birds of Prey,1999,87, ,https://comicvine.gamespot.com/birds-of-prey-87-perfect-pitch-part-1/4000-107876/,31 days 00:00:00,DC Comics
17,Birds of Prey,1999,88,Issue,2006-01-01,Comicvine,6498,113523,Birds of Prey,1999,88, ,https://comicvine.gamespot.com/birds-of-prey-88-perfect-pitch-part-2/4000-113523/,31 days 00:00:00,DC Comics
18,Birds of Prey,1999,89,Issue,2006-02-01,Comicvine,6498,113524,Birds of Prey,1999,89, ,https://comicvine.gamespot.com/birds-of-prey-89-perfect-pitch-part-3/4000-113524/,28 days 00:00:00,DC Comics
19,Birds of Prey,1999,90,Issue,2006-03-01,Comicvine,6498,113578,Birds of Prey,1999,90, ,https://comicvine.gamespot.com/birds-of-prey-90-perfect-pitch-part-4/4000-113578/,152 days 00:00:00,DC Comics
20,Aquaman,2003,32,Issue,2005-09-30,Comicvine,9517,120728,Aquaman,2003,32, ,https://comicvine.gamespot.com/aquaman-32-the-shade-of-things-to-come/4000-120728/,31 days 00:00:00,DC Comics
21,Aquaman,2003,33,Issue,2005-10-31,Comicvine,9517,120729,Aquaman,2003,33, ,https://comicvine.gamespot.com/aquaman-33-what-the-past-remembers/4000-120729/,30 days 00:00:00,DC Comics
22,Aquaman,2003,34,Issue,2005-11-30,Comicvine,9517,120730,Aquaman,2003,34, ,https://comicvine.gamespot.com/aquaman-34-the-quality-of-mercy/4000-120730/,31 days 00:00:00,DC Comics
23,Aquaman,2003,35,Issue,2005-12-31,Comicvine,9517,120731,Aquaman,2003,35, ,https://comicvine.gamespot.com/aquaman-35-a-walk-on-part-in-the-war/4000-120731/,31 days 00:00:00,DC Comics
24,Aquaman,2003,36,Issue,2006-01-31,Comicvine,9517,120732,Aquaman,2003,36, ,https://comicvine.gamespot.com/aquaman-36-the-failure-of-success/4000-120732/,30 days 00:00:00,DC Comics
25,Adventures of Superman,1987,646,Issue,2006-01-01,Comicvine,3778,119936,Adventures of Superman,1987,646, ,https://comicvine.gamespot.com/adventures-of-superman-646-rack-and-ruin-part-1-of/4000-119936/,31 days 00:00:00,DC Comics
26,Adventures of Superman,1987,647,Issue,2006-02-01,Comicvine,3778,119976,Adventures of Superman,1987,647, ,https://comicvine.gamespot.com/adventures-of-superman-647-rack-and-ruin-part-2-of/4000-119976/,0 days 00:00:00,DC Comics
27,Gotham Central,2003,38,Issue,2006-02-01,Comicvine,9958,107005,Gotham Central,2003,38, ,https://comicvine.gamespot.com/gotham-central-38-corrigan-ii-part-1/4000-107005/,28 days 00:00:00,DC Comics
28,Gotham Central,2003,39,Issue,2006-03-01,Comicvine,9958,107006,Gotham Central,2003,39, ,https://comicvine.gamespot.com/gotham-central-39-corrigan-ii-part-2/4000-107006/,31 days 00:00:00,DC Comics
29,Gotham Central,2003,40,Issue,2006-04-01,Comicvine,9958,107012,Gotham Central,2003,40, ,https://comicvine.gamespot.com/gotham-central-40-corrigan-ii-part-3/4000-107012/,59 days 00:00:00,DC Comics
30,Superman,1987,224,Issue,2006-02-01,Comicvine,3816,119106,Superman,1987,224, ,https://comicvine.gamespot.com/superman-224-focus/4000-119106/,31 days 00:00:00,DC Comics
31,Wonder Woman,1987,223,Issue,2006-01-01,Comicvine,3824,107687,Wonder Woman,1987,223, ,https://comicvine.gamespot.com/wonder-woman-223-marathon-part-one/4000-107687/,31 days 00:00:00,DC Comics
32,JSA Classified,2005,4,Issue,2005-12-01,Comicvine,18120,111276,JSA Classified,2005,4, ,https://comicvine.gamespot.com/jsa-classified-4-power-trip-part-iv-of-iv/4000-111276/,31 days 00:00:00,DC Comics
33,Infinite Crisis,2005,2,Issue,2006-01-01,Comicvine,17983,107877,Infinite Crisis,2005,2, ,https://comicvine.gamespot.com/infinite-crisis-2-the-survivors/4000-107877/,31 days 00:00:00,DC Comics
34,Firestorm,2004,20,Issue,2006-02-01,Comicvine,11157,107886,Firestorm,2004,20, ,https://comicvine.gamespot.com/firestorm-20-sacred-duties/4000-107886/,0 days 00:00:00,DC Comics
35,Outsiders,2003,31,Issue,2006-02-01,Comicvine,10415,107882,Outsiders,2003,31, ,https://comicvine.gamespot.com/outsiders-31-out-of-town-work/4000-107882/,28 days 00:00:00,DC Comics
36,Outsiders,2003,32,Issue,2006-03-01,Comicvine,10415,107884,Outsiders,2003,32, ,https://comicvine.gamespot.com/outsiders-32-detour/4000-107884/,31 days 00:00:00,DC Comics
37,Outsiders,2003,33,Issue,2006-04-01,Comicvine,10415,113893,Outsiders,2003,33, ,https://comicvine.gamespot.com/outsiders-33-deep-impact/4000-113893/,59 days 00:00:00,DC Comics
38,Hawkman,2002,47,Issue,2006-02-01,Comicvine,9402,150089,Hawkman,2002,47, ,https://comicvine.gamespot.com/hawkman-47-coalition-in-crisis-part-1/4000-150089/,28 days 00:00:00,DC Comics
39,Hawkman,2002,48,Issue,2006-03-01,Comicvine,9402,150090,Hawkman,2002,48, ,https://comicvine.gamespot.com/hawkman-48-coalition-in-crisis-part-2/4000-150090/,31 days 00:00:00,DC Comics
40,Hawkman,2002,49,Issue,2006-04-01,Comicvine,9402,150091,Hawkman,2002,49, ,https://comicvine.gamespot.com/hawkman-49-coalition-in-crisis-part-3/4000-150091/,31 days 00:00:00,DC Comics
41,Superman,1987,225,Issue,2006-03-01,Comicvine,3816,107883,Superman,1987,225, ,https://comicvine.gamespot.com/superman-225-to-be-a-hero/4000-107883/,0 days 00:00:00,DC Comics
42,JSA,1999,81,Issue,2006-03-01,Comicvine,6331,135755,JSA,1999,81, ,https://comicvine.gamespot.com/jsa-81-my-heroes/4000-135755/,1 days 00:00:00,DC Comics
43,Aquaman,2003,37,Issue,2006-02-28,Comicvine,9517,120733,Aquaman,2003,37, ,https://comicvine.gamespot.com/aquaman-37-all-fall-down/4000-120733/,27 days 00:00:00,DC Comics
44,Wonder Woman,1987,224,Issue,2006-02-01,Comicvine,3824,107688,Wonder Woman,1987,224, ,https://comicvine.gamespot.com/wonder-woman-224-marathon-part-two/4000-107688/,0 days 00:00:00,DC Comics
