,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Issue Number,CV Cover Image,CV Issue URL,Days Between Issues,CV Series Publisher
1,Injustice: Year Zero,2020,1,Issue,2020-08-04,Comicvine,129213,786286,Injustice: Year Zero,2020,1, ,https://comicvine.gamespot.com/injustice-year-zero-1-chapter-one/4000-786286/,0 days 00:00:00,DC Comics
2,Injustice: Year Zero,2020,2,Issue,2020-08-04,Comicvine,129213,786287,Injustice: Year Zero,2020,2, ,https://comicvine.gamespot.com/injustice-year-zero-2-chapter-two/4000-786287/,0 days 00:00:00,DC Comics
3,Injustice: Year Zero,2020,3,Issue,2020-08-04,Comicvine,129213,786288,Injustice: Year Zero,2020,3, ,https://comicvine.gamespot.com/injustice-year-zero-3-chapter-three/4000-786288/,14 days 00:00:00,DC Comics
4,Injustice: Year Zero,2020,4,Issue,2020-08-18,Comicvine,129213,794376,Injustice: Year Zero,2020,4, ,https://comicvine.gamespot.com/injustice-year-zero-4-chapter-four/4000-794376/,14 days 00:00:00,DC Comics
5,Injustice: Year Zero,2020,5,Issue,2020-09-01,Comicvine,129213,796741,Injustice: Year Zero,2020,5, ,https://comicvine.gamespot.com/injustice-year-zero-5-chapter-five/4000-796741/,14 days 00:00:00,DC Comics
6,Injustice: Year Zero,2020,6,Issue,2020-09-15,Comicvine,129213,798844,Injustice: Year Zero,2020,6, ,https://comicvine.gamespot.com/injustice-year-zero-6-chapter-six/4000-798844/,14 days 00:00:00,DC Comics
7,Injustice: Year Zero,2020,7,Issue,2020-09-29,Comicvine,129213,804575,Injustice: Year Zero,2020,7, ,https://comicvine.gamespot.com/injustice-year-zero-7-chapter-seven/4000-804575/,14 days 00:00:00,DC Comics
8,Injustice: Year Zero,2020,8,Issue,2020-10-13,Comicvine,129213,809814,Injustice: Year Zero,2020,8, ,https://comicvine.gamespot.com/injustice-year-zero-8-chapter-eight/4000-809814/,14 days 00:00:00,DC Comics
9,Injustice: Year Zero,2020,9,Issue,2020-10-27,Comicvine,129213,814039,Injustice: Year Zero,2020,9, ,https://comicvine.gamespot.com/injustice-year-zero-9-chapter-nine/4000-814039/,14 days 00:00:00,DC Comics
10,Injustice: Year Zero,2020,10,Issue,2020-11-10,Comicvine,129213,817442,Injustice: Year Zero,2020,10, ,https://comicvine.gamespot.com/injustice-year-zero-10-chapter-ten/4000-817442/,14 days 00:00:00,DC Comics
11,Injustice: Year Zero,2020,11,Issue,2020-11-24,Comicvine,129213,819288,Injustice: Year Zero,2020,11, ,https://comicvine.gamespot.com/injustice-year-zero-11-chapter-eleven/4000-819288/,14 days 00:00:00,DC Comics
12,Injustice: Year Zero,2020,12,Issue,2020-12-08,Comicvine,129213,820389,Injustice: Year Zero,2020,12, ,https://comicvine.gamespot.com/injustice-year-zero-12-chapter-twelve/4000-820389/,14 days 00:00:00,DC Comics
13,Injustice: Year Zero,2020,13,Issue,2020-12-22,Comicvine,129213,821751,Injustice: Year Zero,2020,13, ,https://comicvine.gamespot.com/injustice-year-zero-13-chapter-thirteen/4000-821751/,14 days 00:00:00,DC Comics
14,Injustice: Year Zero,2020,14,Issue,2021-01-05,Comicvine,129213,823802,Injustice: Year Zero,2020,14, ,https://comicvine.gamespot.com/injustice-year-zero-14-chapter-fourteen/4000-823802/,2912 days 00:00:00,DC Comics
15,Injustice: Gods Among Us: Year One,2013,1,Issue,2013-01-15,Comicvine,55835,380427,Injustice: Gods Among Us,2013,1, ,https://comicvine.gamespot.com/injustice-gods-among-us-1-chapter-1/4000-380427/,7 days 00:00:00,DC Comics
