,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Issue Number,CV Cover Image,CV Issue URL,Days Between Issues,CV Series Publisher
1,Swamp Thing,1986,80,Issue,1988-10-01,Comicvine,3465,30536,Swamp Thing,1986,80, ,https://comicvine.gamespot.com/issue/4000-30536/,0 days 00:00:00,Vertigo
2,Invasion!,1989,1,Issue,1988-10-01,Comicvine,4197,30739,Invasion,1989,1, ,https://comicvine.gamespot.com/invasion-1-the-alien-alliance/4000-30739/,35 days 00:00:00,DC Comics
3,Daily Planet Invasion Special,1988,1,Issue,1988-08-27,Comicvine,31758,199178,Invasion! Special: Daily Planet,1988,1, ,https://comicvine.gamespot.com/invasion-special-daily-planet-1-earth-to-invaders-/4000-199178/,96 days 00:00:00,DC Comics
4,Spectre,1987,23,Issue,1988-12-01,Comicvine,3814,30524,The Spectre,1987,23, ,https://comicvine.gamespot.com/issue/4000-30524/,0 days 00:00:00,DC Comics
5,The Flash,1987,21,Issue,1988-12-01,Comicvine,3790,30736,The Flash,1987,21, ,https://comicvine.gamespot.com/issue/4000-30736/,0 days 00:00:00,DC Comics
6,Manhunter,1988,8,Issue,1988-12-01,Comicvine,4009,30520,Manhunter,1988,8, ,https://comicvine.gamespot.com/issue/4000-30520/,0 days 00:00:00,DC Comics
7,Wonder Woman,1987,25,Issue,1988-12-01,Comicvine,3824,30540,Wonder Woman,1987,25, ,https://comicvine.gamespot.com/issue/4000-30540/,0 days 00:00:00,DC Comics
8,Justice League International,1987,22,Issue,1988-12-01,Comicvine,3798,30711,Justice League International,1987,22, ,https://comicvine.gamespot.com/issue/4000-30711/,0 days 00:00:00,DC Comics
9,Swamp Thing,1986,81,Issue,1988-12-01,Comicvine,3465,30544,Swamp Thing,1986,81, ,https://comicvine.gamespot.com/issue/4000-30544/,0 days 00:00:00,Vertigo
10,New Guardians,1988,6,Issue,1988-12-01,Comicvine,4012,30521,The New Guardians,1988,6, ,https://comicvine.gamespot.com/issue/4000-30521/,0 days 00:00:00,DC Comics
11,Captain Atom,1987,24,Issue,1988-12-01,Comicvine,3782,30509,Captain Atom,1987,24, ,https://comicvine.gamespot.com/issue/4000-30509/,0 days 00:00:00,DC Comics
12,Animal Man,1988,6,Issue,1988-12-01,Comicvine,3976,30619,Animal Man,1988,6, ,https://comicvine.gamespot.com/animal-man-6-birds-of-prey/4000-30619/,0 days 00:00:00,DC Comics
13,Firestorm,1987,80,Issue,1988-12-01,Comicvine,3789,30515,"Firestorm, the Nuclear Man",1987,80, ,https://comicvine.gamespot.com/issue/4000-30515/,0 days 00:00:00,DC Comics
14,Starman,1988,5,Issue,1988-12-01,Comicvine,4028,30525,Starman,1988,5, ,https://comicvine.gamespot.com/issue/4000-30525/,0 days 00:00:00,DC Comics
15,Checkmate,2021,11,Issue,1988-12-01,Comicvine,3986,30510,Checkmate,1988,11, ,https://comicvine.gamespot.com/checkmate-11-god-saves-the-queen/4000-30510/,61 days 00:00:00,DC Comics
16,Power of the Atom,1988,7,Issue,1988-10-01,Comicvine,4019,30522,Power of the Atom,1988,7, ,https://comicvine.gamespot.com/issue/4000-30522/,0 days 00:00:00,DC Comics
17,Superman,1987,26,Issue,1988-10-01,Comicvine,3816,30527,Superman,1987,26, ,https://comicvine.gamespot.com/superman-26-its-just-a-shot-away/4000-30527/,61 days 00:00:00,DC Comics
18,Detective Comics,1937,595,Issue,1988-12-01,Comicvine,18058,106847,Detective Comics,1937,595, ,https://comicvine.gamespot.com/detective-comics-595-our-man-in-havana-cold-cuts/4000-106847/,0 days 00:00:00,DC Comics
19,Doom Patrol,1987,17,Issue,1988-12-01,Comicvine,3786,30514,Doom Patrol,1987,17, ,https://comicvine.gamespot.com/issue/4000-30514/,0 days 00:00:00,Vertigo
20,Adventures of Superman,1987,449,Issue,1988-12-01,Comicvine,3778,30567,Adventures of Superman,1987,449, ,https://comicvine.gamespot.com/adventures-of-superman-449-search/4000-30567/,61 days 00:00:00,DC Comics
21,Invasion!,1989,2,Issue,1988-10-01,Comicvine,4197,30858,Invasion,1989,2, ,https://comicvine.gamespot.com/invasion-2-battle-ground-earth/4000-30858/,122 days 00:00:00,DC Comics
22,Superman,1987,27,Issue,1989-01-31,Comicvine,3816,30750,Superman,1987,27, ,https://comicvine.gamespot.com/superman-27-of-course-you-know-this-means-war/4000-30750/,0 days 00:00:00,DC Comics
23,Adventures of Superman,1987,450,Issue,1989-01-31,Comicvine,3778,30723,Adventures of Superman,1987,450, ,https://comicvine.gamespot.com/adventures-of-superman-450-triple-threat/4000-30723/,13 days 00:00:00,DC Comics
24,Suicide Squad,1987,23,Issue,1989-01-18,Comicvine,3815,30749,Suicide Squad,1987,23, ,https://comicvine.gamespot.com/suicide-squad-23-weird-war-tales/4000-30749/,13 days 00:00:00,DC Comics
25,The Flash,1987,22,Issue,1989-01-31,Comicvine,3790,30830,The Flash,1987,22, ,https://comicvine.gamespot.com/issue/4000-30830/,1 days 00:00:00,DC Comics
26,Checkmate,2021,12,Issue,1989-02-01,Comicvine,3986,30848,Checkmate,1988,12, ,https://comicvine.gamespot.com/checkmate-12-knight-launch/4000-30848/,31 days 00:00:00,DC Comics
27,Manhunter,1988,9,Issue,1989-01-01,Comicvine,4009,30741,Manhunter,1988,9, ,https://comicvine.gamespot.com/issue/4000-30741/,30 days 00:00:00,DC Comics
28,Wonder Woman,1987,26,Issue,1989-01-31,Comicvine,3824,30756,Wonder Woman,1987,26, ,https://comicvine.gamespot.com/issue/4000-30756/,0 days 00:00:00,DC Comics
29,Captain Atom,1987,25,Issue,1989-01-31,Comicvine,3782,30727,Captain Atom,1987,25, ,https://comicvine.gamespot.com/issue/4000-30727/,0 days 00:00:00,DC Comics
30,Justice League International,1987,23,Issue,1989-01-31,Comicvine,3798,30807,Justice League International,1987,23, ,https://comicvine.gamespot.com/issue/4000-30807/,0 days 00:00:00,DC Comics
31,Animal Man,1988,7,Issue,1989-01-31,Comicvine,3976,30724,Animal Man,1988,7, ,https://comicvine.gamespot.com/animal-man-7-the-death-of-the-red-mask/4000-30724/,19 days 00:00:00,DC Comics
32,New Guardians,1988,7,Issue,1989-02-19,Comicvine,4012,30861,The New Guardians,1988,7, ,https://comicvine.gamespot.com/issue/4000-30861/,19 days 00:00:00,DC Comics
33,Starman,1988,6,Issue,1989-01-31,Comicvine,4028,30748,Starman,1988,6, ,https://comicvine.gamespot.com/issue/4000-30748/,0 days 00:00:00,DC Comics
34,Power of the Atom,1988,8,Issue,1989-01-31,Comicvine,4019,30743,Power of the Atom,1988,8, ,https://comicvine.gamespot.com/issue/4000-30743/,30 days 00:00:00,DC Comics
35,Firestorm,1987,81,Issue,1989-01-01,Comicvine,3789,30735,"Firestorm, the Nuclear Man",1987,81, ,https://comicvine.gamespot.com/issue/4000-30735/,0 days 00:00:00,DC Comics
36,Doom Patrol,1987,18,Issue,1989-01-01,Comicvine,3786,30733,Doom Patrol,1987,18, ,https://comicvine.gamespot.com/issue/4000-30733/,92 days 00:00:00,Vertigo
37,Invasion!,1989,3,Issue,1988-10-01,Comicvine,4197,30968,Invasion,1989,3, ,https://comicvine.gamespot.com/invasion-3-world-without-heroes/4000-30968/,456 days 00:00:00,DC Comics
38,Blasters Special,1989,1,Issue,1989-12-31,Comicvine,23892,142596,Blasters Special,1989,1, ,https://comicvine.gamespot.com/blasters-special-1-blasters-special/4000-142596/,0 days 00:00:00,DC Comics
