,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Issue Number,CV Cover Image,CV Issue URL,Days Between Issues,CV Series Publisher
1,"Superman’s Pal, Jimmy Olsen",1954,133,Issue,1970-10-31,Comicvine,19172,131243,"Superman's Pal, Jimmy Olsen",1954,133, ,https://comicvine.gamespot.com/supermans-pal-jimmy-olsen-133-the-newsboy-legion/4000-131243/,61 days 00:00:00,DC Comics
2,"Superman’s Pal, Jimmy Olsen",1954,134,Issue,1970-12-31,Comicvine,19172,115210,"Superman's Pal, Jimmy Olsen",1954,134, ,https://comicvine.gamespot.com/supermans-pal-jimmy-olsen-134-the-mountain-of-judg/4000-115210/,31 days 00:00:00,DC Comics
3,"Superman’s Pal, Jimmy Olsen",1954,135,Issue,1971-01-31,Comicvine,19172,131289,"Superman's Pal, Jimmy Olsen",1954,135, ,https://comicvine.gamespot.com/supermans-pal-jimmy-olsen-135-evil-factory/4000-131289/,59 days 00:00:00,DC Comics
4,"Superman’s Pal, Jimmy Olsen",1954,136,Issue,1971-03-31,Comicvine,19172,131333,"Superman's Pal, Jimmy Olsen",1954,136, ,https://comicvine.gamespot.com/supermans-pal-jimmy-olsen-136-the-saga-of-the-dnal/4000-131333/,30 days 00:00:00,DC Comics
5,"Superman’s Pal, Jimmy Olsen",1954,137,Issue,1971-04-30,Comicvine,19172,131416,"Superman's Pal, Jimmy Olsen",1954,137, ,https://comicvine.gamespot.com/supermans-pal-jimmy-olsen-137-the-four-armed-terro/4000-131416/,61 days 00:00:00,DC Comics
6,"Superman’s Pal, Jimmy Olsen",1954,138,Issue,1971-06-30,Comicvine,19172,131449,"Superman's Pal, Jimmy Olsen",1954,138, ,https://comicvine.gamespot.com/supermans-pal-jimmy-olsen-138-the-big-boom/4000-131449/,31 days 00:00:00,DC Comics
7,"Superman’s Pal, Jimmy Olsen",1954,139,Issue,1971-07-31,Comicvine,19172,131500,"Superman's Pal, Jimmy Olsen",1954,139, ,https://comicvine.gamespot.com/supermans-pal-jimmy-olsen-139-the-guardian-fights-/4000-131500/,122 days 00:00:00,DC Comics
8,The Forever People,1971,1,Issue,1971-03-31,Comicvine,2501,11255,The Forever People,1971,1, ,https://comicvine.gamespot.com/the-forever-people-1-in-search-of-a-dream/4000-11255/,183 days 00:00:00,DC Comics
9,"Superman’s Pal, Jimmy Olsen",1954,141,Issue,1971-09-30,Comicvine,19172,131616,"Superman's Pal, Jimmy Olsen",1954,141, ,https://comicvine.gamespot.com/supermans-pal-jimmy-olsen-141-will-the-real-don-ri/4000-131616/,31 days 00:00:00,DC Comics
10,"Superman’s Pal, Jimmy Olsen",1954,142,Issue,1971-10-31,Comicvine,19172,131679,"Superman's Pal, Jimmy Olsen",1954,142, ,https://comicvine.gamespot.com/supermans-pal-jimmy-olsen-142-the-man-from-transil/4000-131679/,61 days 00:00:00,DC Comics
11,"Superman’s Pal, Jimmy Olsen",1954,144,Issue,1971-12-31,Comicvine,19172,131744,"Superman's Pal, Jimmy Olsen",1954,144, ,https://comicvine.gamespot.com/supermans-pal-jimmy-olsen-144-a-big-thing-in-a-dee/4000-131744/,31 days 00:00:00,DC Comics
12,"Superman’s Pal, Jimmy Olsen",1954,145,Issue,1972-01-31,Comicvine,19172,131775,"Superman's Pal, Jimmy Olsen",1954,145, ,https://comicvine.gamespot.com/supermans-pal-jimmy-olsen-145-brigadoom-paradise-p/4000-131775/,29 days 00:00:00,DC Comics
13,"Superman’s Pal, Jimmy Olsen",1954,146,Issue,1972-02-29,Comicvine,19172,131823,"Superman's Pal, Jimmy Olsen",1954,146, ,https://comicvine.gamespot.com/supermans-pal-jimmy-olsen-146-homo-disastrous-arin/4000-131823/,31 days 00:00:00,DC Comics
14,"Superman’s Pal, Jimmy Olsen",1954,147,Issue,1972-03-31,Comicvine,19172,131913,"Superman's Pal, Jimmy Olsen",1954,147, ,https://comicvine.gamespot.com/supermans-pal-jimmy-olsen-147-a-superman-in-super-/4000-131913/,30 days 00:00:00,DC Comics
15,"Superman’s Pal, Jimmy Olsen",1954,148,Issue,1972-04-30,Comicvine,19172,131941,"Superman's Pal, Jimmy Olsen",1954,148, ,https://comicvine.gamespot.com/supermans-pal-jimmy-olsen-148-monarch-of-all-he-su/4000-131941/,335 days 00:00:00,DC Comics
16,The Forever People,1971,2,Issue,1971-05-31,Comicvine,2501,11355,The Forever People,1971,2, ,https://comicvine.gamespot.com/the-forever-people-2-super-war/4000-11355/,31 days 00:00:00,DC Comics
17,The Forever People,1971,3,Issue,1971-07-01,Comicvine,2501,11466,The Forever People,1971,3, ,https://comicvine.gamespot.com/the-forever-people-3-life-vs-anti-life/4000-11466/,91 days 00:00:00,DC Comics
18,The Forever People,1971,4,Issue,1971-09-30,Comicvine,2501,11578,The Forever People,1971,4, ,https://comicvine.gamespot.com/the-forever-people-4-kingdom-of-the-damned/4000-11578/,61 days 00:00:00,DC Comics
19,The Forever People,1971,5,Issue,1971-11-30,Comicvine,2501,11696,The Forever People,1971,5, ,https://comicvine.gamespot.com/the-forever-people-5-sonny-sumo/4000-11696/,58 days 00:00:00,DC Comics
20,The Forever People,1971,6,Issue,1972-01-27,Comicvine,2501,11821,The Forever People,1971,6, ,https://comicvine.gamespot.com/the-forever-people-6-the-omega-effect/4000-11821/,64 days 00:00:00,DC Comics
21,The Forever People,1971,7,Issue,1972-03-31,Comicvine,2501,11967,The Forever People,1971,7, ,https://comicvine.gamespot.com/the-forever-people-7-ill-find-you-in-yesterday/4000-11967/,61 days 00:00:00,DC Comics
22,The Forever People,1971,8,Issue,1972-05-31,Comicvine,2501,12094,The Forever People,1971,8, ,https://comicvine.gamespot.com/the-forever-people-8-the-power/4000-12094/,457 days 00:00:00,DC Comics
23,New Gods,1971,1,Issue,1971-03-01,Comicvine,2505,11260,The New Gods,1971,1, ,https://comicvine.gamespot.com/the-new-gods-1-orion-fights-for-earth/4000-11260/,61 days 00:00:00,DC Comics
24,New Gods,1971,2,Issue,1971-05-01,Comicvine,2505,11360,The New Gods,1971,2, ,https://comicvine.gamespot.com/the-new-gods-2-o-deadly-darkseid/4000-11360/,60 days 00:00:00,DC Comics
25,New Gods,1971,3,Issue,1971-06-30,Comicvine,2505,11473,The New Gods,1971,3, ,https://comicvine.gamespot.com/the-new-gods-3-death-is-the-black-racer/4000-11473/,63 days 00:00:00,DC Comics
26,New Gods,1971,4,Issue,1971-09-01,Comicvine,2505,11585,The New Gods,1971,4, ,https://comicvine.gamespot.com/the-new-gods-4-the-oryan-gang-and-the-deep-six/4000-11585/,60 days 00:00:00,DC Comics
27,New Gods,1971,5,Issue,1971-10-31,Comicvine,2505,11704,The New Gods,1971,5, ,https://comicvine.gamespot.com/the-new-gods-5-spawn/4000-11704/,62 days 00:00:00,DC Comics
28,New Gods,1971,6,Issue,1972-01-01,Comicvine,2505,11829,The New Gods,1971,6, ,https://comicvine.gamespot.com/the-new-gods-6-the-glory-boat/4000-11829/,246 days 00:00:00,DC Comics
29,Mister Miracle,1971,1,Issue,1971-04-30,Comicvine,2504,11359,Mister Miracle,1971,1, ,https://comicvine.gamespot.com/mister-miracle-1-the-murder-missile-trap/4000-11359/,61 days 00:00:00,DC Comics
30,Mister Miracle,1971,2,Issue,1971-06-30,Comicvine,2504,11472,Mister Miracle,1971,2, ,https://comicvine.gamespot.com/mister-miracle-2-x-pit/4000-11472/,62 days 00:00:00,DC Comics
31,Mister Miracle,1971,3,Issue,1971-08-31,Comicvine,2504,11584,Mister Miracle,1971,3, ,https://comicvine.gamespot.com/mister-miracle-3-the-paranoid-pill/4000-11584/,61 days 00:00:00,DC Comics
32,Mister Miracle,1971,4,Issue,1971-10-31,Comicvine,2504,11703,Mister Miracle,1971,4, ,https://comicvine.gamespot.com/mister-miracle-4-the-closing-jaws-of-death/4000-11703/,61 days 00:00:00,DC Comics
