,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Issue Number,CV Cover Image,CV Issue URL,Days Between Issues,CV Series Publisher
1,Checkmate,2021,15,Issue,1989-05-31,Comicvine,3986,31169,Checkmate,1988,15, ,https://comicvine.gamespot.com/issue/4000-31169/,0 days 00:00:00,DC Comics
2,Suicide Squad,1987,27,Issue,1989-05-31,Comicvine,3815,31190,Suicide Squad,1987,27, ,https://comicvine.gamespot.com/suicide-squad-27-scattermove/4000-31190/,0 days 00:00:00,DC Comics
3,Checkmate,2021,16,Issue,1989-05-31,Comicvine,3986,31256,Checkmate,1988,16, ,https://comicvine.gamespot.com/issue/4000-31256/,0 days 00:00:00,DC Comics
4,Suicide Squad,1987,28,Issue,1989-05-31,Comicvine,3815,31257,Suicide Squad,1987,28, ,https://comicvine.gamespot.com/suicide-squad-28-death-game/4000-31257/,30 days 00:00:00,DC Comics
5,Checkmate,2021,17,Issue,1989-06-30,Comicvine,3986,31277,Checkmate,1988,17, ,https://comicvine.gamespot.com/issue/4000-31277/,29 days 00:00:00,DC Comics
6,Manhunter,1988,14,Issue,1989-06-01,Comicvine,4009,31291,Manhunter,1988,14, ,https://comicvine.gamespot.com/issue/4000-31291/,0 days 00:00:00,DC Comics
7,Firestorm,1987,86,Issue,1989-06-01,Comicvine,3789,31283,"Firestorm, the Nuclear Man",1987,86, ,https://comicvine.gamespot.com/issue/4000-31283/,29 days 00:00:00,DC Comics
8,Suicide Squad,1987,29,Issue,1989-06-30,Comicvine,3815,31302,Suicide Squad,1987,29, ,https://comicvine.gamespot.com/suicide-squad-29-the-janus-directive-part-8-heavy-/4000-31302/,0 days 00:00:00,DC Comics
9,Checkmate,2021,18,Issue,1989-06-30,Comicvine,3986,31369,Checkmate,1988,18, ,https://comicvine.gamespot.com/issue/4000-31369/,12 days 00:00:00,DC Comics
10,Suicide Squad,1987,30,Issue,1989-06-18,Comicvine,3815,31370,Suicide Squad,1987,30, ,https://comicvine.gamespot.com/suicide-squad-30-the-janus-directive-part-10-endga/4000-31370/,12 days 00:00:00,DC Comics
11,Captain Atom,1987,30,Issue,1989-06-30,Comicvine,3782,31276,Captain Atom,1987,30, ,https://comicvine.gamespot.com/issue/4000-31276/,0 days 00:00:00,DC Comics
