,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Issue Number,CV Cover Image,CV Issue URL,Days Between Issues,CV Series Publisher
1,Detective Comics,2016,1022,Issue,2020-07-01,Comicvine,91098,766095,Detective Comics,2016,1022, ,https://comicvine.gamespot.com/detective-comics-1022-ugly-heart-part-three-inflic/4000-766095/,62 days 00:00:00,DC Comics
2,Detective Comics,2016,1023,Issue,2020-09-01,Comicvine,91098,774432,Detective Comics,2016,1023, ,https://comicvine.gamespot.com/detective-comics-1023-prelude-to-joker-war-joker-h/4000-774432/,0 days 00:00:00,DC Comics
3,Detective Comics,2016,1024,Issue,2020-09-01,Comicvine,91098,781016,Detective Comics,2016,1024, ,https://comicvine.gamespot.com/detective-comics-1024-prelude-to-joker-war-fearful/4000-781016/,0 days 00:00:00,DC Comics
4,Batgirl,2016,47,Issue,2020-09-01,Comicvine,92542,781012,Batgirl,2016,47, ,https://comicvine.gamespot.com/batgirl-47-the-anatomy-of-a-joke/4000-781012/,30 days 00:00:00,DC Comics
5,Batgirl,2016,48,Issue,2020-10-01,Comicvine,92542,795919,Batgirl,2016,48, ,https://comicvine.gamespot.com/batgirl-48-gordons-never-give-up-part-1/4000-795919/,31 days 00:00:00,DC Comics
6,Batgirl,2016,49,Issue,2020-11-01,Comicvine,92542,802691,Batgirl,2016,49, ,https://comicvine.gamespot.com/batgirl-49-gordons-never-give-up-part-2/4000-802691/,184 days 00:00:00,DC Comics
7,Nightwing,2016,70,Issue,2020-05-01,Comicvine,92569,741789,Nightwing,2016,70, ,https://comicvine.gamespot.com/nightwing-70-from-the-darkness/4000-741789/,92 days 00:00:00,DC Comics
8,Nightwing,2016,71,Issue,2020-08-01,Comicvine,92569,767311,Nightwing,2016,71, ,https://comicvine.gamespot.com/nightwing-71-war-for-the-mind/4000-767311/,31 days 00:00:00,DC Comics
9,Nightwing,2016,72,Issue,2020-09-01,Comicvine,92569,778248,Nightwing,2016,72, ,https://comicvine.gamespot.com/nightwing-72-welcome-to-the-new-family/4000-778248/,0 days 00:00:00,DC Comics
10,Batman,2016,95,Issue,2020-09-01,Comicvine,91273,781013,Batman,2016,95, ,https://comicvine.gamespot.com/batman-95-the-joker-war-part-one/4000-781013/,30 days 00:00:00,DC Comics
11,Harley Quinn,2016,75,Issue,2020-10-01,Comicvine,92750,794385,Harley Quinn,2016,75, ,https://comicvine.gamespot.com/harley-quinn-75-happy-birthday-harley-quinn-after-/4000-794385/,0 days 00:00:00,DC Comics
12,Red Hood: Outlaw,2018,48,Issue,2020-10-01,Comicvine,114293,795926,Red Hood: Outlaw,2018,48, ,https://comicvine.gamespot.com/red-hood-outlaw-48-an-untold-tale-of-the-red-hood-/4000-795926/,0 days 00:00:00,DC Comics
13,Nightwing,2016,73,Issue,2020-10-01,Comicvine,92569,794388,Nightwing,2016,73, ,https://comicvine.gamespot.com/nightwing-73-son-of-the-joker/4000-794388/,0 days 00:00:00,DC Comics
14,Batman,2016,96,Issue,2020-10-01,Comicvine,91273,786295,Batman,2016,96, ,https://comicvine.gamespot.com/batman-96-the-joker-war-part-two/4000-786295/,0 days 00:00:00,DC Comics
15,Batman,2016,97,Issue,2020-10-01,Comicvine,91273,794382,Batman,2016,97, ,https://comicvine.gamespot.com/batman-97-the-joker-war-part-three/4000-794382/,31 days 00:00:00,DC Comics
16,Batman,2016,98,Issue,2020-11-01,Comicvine,91273,796941,Batman,2016,98, ,https://comicvine.gamespot.com/batman-98-the-joker-war-part-four/4000-796941/,31 days 00:00:00,DC Comics
17,Detective Comics,2016,1025,Issue,2020-10-01,Comicvine,91098,790344,Detective Comics,2016,1025, ,https://comicvine.gamespot.com/detective-comics-1025-tales-from-the-joker-war-att/4000-790344/,0 days 00:00:00,DC Comics
18,Detective Comics,2016,1026,Issue,2020-10-01,Comicvine,91098,795922,Detective Comics,2016,1026, ,https://comicvine.gamespot.com/detective-comics-1026-monsters-of-men/4000-795922/,31 days 00:00:00,DC Comics
19,Nightwing,2016,74,Issue,2020-11-01,Comicvine,92569,797693,Nightwing,2016,74, ,https://comicvine.gamespot.com/nightwing-74-crystal-cleared/4000-797693/,0 days 00:00:00,DC Comics
20,Batman: The Joker War Zone,2020,1,Issue,2020-11-01,Comicvine,130653,804747,Batman: The Joker War Zone,2020,1, ,https://comicvine.gamespot.com/batman-the-joker-war-zone-1-a-serious-house-family/4000-804747/,0 days 00:00:00,DC Comics
21,Batman,2016,99,Issue,2020-11-01,Comicvine,91273,798857,Batman,2016,99, ,https://comicvine.gamespot.com/batman-99-the-joker-war-part-five/4000-798857/,0 days 00:00:00,DC Comics
22,Catwoman,2018,25,Issue,2020-11-01,Comicvine,112028,798859,Catwoman,2018,25, ,https://comicvine.gamespot.com/catwoman-25-duende-return-to-alleytown-cat-vs-woma/4000-798859/,30 days 00:00:00,DC Comics
23,Batman,2016,100,Issue,2020-12-01,Comicvine,91273,806767,Batman,2016,100, ,https://comicvine.gamespot.com/batman-100-the-joker-war-finale-intervention-dead-/4000-806767/,0 days 00:00:00,DC Comics
24,Catwoman,2018,26,Issue,2020-12-01,Comicvine,112028,812519,Catwoman,2018,26, ,https://comicvine.gamespot.com/catwoman-26-the-big-shake-up/4000-812519/,0 days 00:00:00,DC Comics
25,Batgirl,2016,50,Issue,2020-12-01,Comicvine,92542,813723,Batgirl,2016,50, ,https://comicvine.gamespot.com/batgirl-50-little-wonders-stay-centered-game-night/4000-813723/,0 days 00:00:00,DC Comics
26,Nightwing,2016,75,Issue,2020-12-01,Comicvine,92569,812523,Nightwing,2016,75, ,https://comicvine.gamespot.com/nightwing-75-who-is-dick-grayson/4000-812523/,0 days 00:00:00,DC Comics
