,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Issue Number,CV Cover Image,CV Issue URL,Days Between Issues,CV Series Publisher
1,Joker: Last Laugh,2001,1,Issue,2001-12-01,Comicvine,19991,119440,Joker: Last Laugh,2001,1, ,https://comicvine.gamespot.com/joker-last-laugh-1-stir-crazy/4000-119440/,0 days 00:00:00,DC Comics
2,Joker: Last Laugh,2001,2,Issue,2001-12-01,Comicvine,19991,119526,Joker: Last Laugh,2001,2, ,https://comicvine.gamespot.com/issue/4000-119526/,0 days 00:00:00,DC Comics
3,Young Justice,1998,38,Issue,2001-12-01,Comicvine,9420,128669,Young Justice,1998,38, ,https://comicvine.gamespot.com/young-justice-38-stuff-happens/4000-128669/,19 days 00:00:00,DC Comics
4,Orion,2000,19,Issue,2001-12-20,Comicvine,6788,195982,Orion,2000,19, ,https://comicvine.gamespot.com/orion-19-laugh-and-the-world-laughs-with-you-the-a/4000-195982/,11 days 00:00:00,DC Comics
5,Azrael: Agent of the Bat,1998,83,Issue,2001-12-31,Comicvine,19721,135572,Azrael: Agent of the Bat,1998,83, ,https://comicvine.gamespot.com/azrael-agent-of-the-bat-83-the-evil-men-do/4000-135572/,30 days 00:00:00,DC Comics
6,Joker: Last Laugh Secret Files and Origins,2001,1,Issue,2001-12-01,Comicvine,34835,228818,Joker: Last Laugh Secret Files,2001,1, ,https://comicvine.gamespot.com/joker-last-laugh-secret-files-1/4000-228818/,30 days 00:00:00,DC Comics
7,Superman,1987,175,Issue,2001-12-31,Comicvine,3816,113909,Superman,1987,175, ,https://comicvine.gamespot.com/superman-175-joker-last-laugh-doomsday-rex/4000-113909/,30 days 00:00:00,DC Comics
8,Batman: Gotham Knights,2000,22,Issue,2001-12-01,Comicvine,7207,55316,Batman: Gotham Knights,2000,22, ,https://comicvine.gamespot.com/issue/4000-55316/,0 days 00:00:00,DC Comics
9,Birds of Prey,1999,36,Issue,2001-12-01,Comicvine,6498,80280,Birds of Prey,1999,36, ,https://comicvine.gamespot.com/birds-of-prey-36-canary-caged/4000-80280/,0 days 00:00:00,DC Comics
10,Nightwing,1996,62,Issue,2001-12-01,Comicvine,5755,51802,Nightwing,1996,62, ,https://comicvine.gamespot.com/nightwing-62-midnight-madness-a-last-laugh-jaunt/4000-51802/,0 days 00:00:00,DC Comics
11,Impulse,1995,79,Issue,2001-12-01,Comicvine,5509,51892,Impulse,1995,79, ,https://comicvine.gamespot.com/issue/4000-51892/,0 days 00:00:00,DC Comics
12,Joker: Last Laugh,2001,3,Issue,2001-12-01,Comicvine,19991,119505,Joker: Last Laugh,2001,3, ,https://comicvine.gamespot.com/joker-last-laugh-3-lunatic-fringe/4000-119505/,0 days 00:00:00,DC Comics
13,Batgirl,2000,21,Issue,2001-12-01,Comicvine,7205,121090,Batgirl,2000,21, ,https://comicvine.gamespot.com/batgirl-21-auto-replay/4000-121090/,0 days 00:00:00,DC Comics
14,Superboy,1994,93,Issue,2001-12-01,Comicvine,5261,118923,Superboy,1994,93, ,https://comicvine.gamespot.com/issue/4000-118923/,0 days 00:00:00,DC Comics
15,Detective Comics,1937,763,Issue,2001-12-01,Comicvine,18058,113278,Detective Comics,1937,763, ,https://comicvine.gamespot.com/detective-comics-763-joker-last-laugh-la-cucilla-l/4000-113278/,0 days 00:00:00,DC Comics
16,JSA,1999,29,Issue,2001-12-01,Comicvine,6331,51046,JSA,1999,29, ,https://comicvine.gamespot.com/jsa-29-kids/4000-51046/,0 days 00:00:00,DC Comics
17,Harley Quinn,2000,13,Issue,2001-12-01,Comicvine,9494,78194,Harley Quinn,2000,13, ,https://comicvine.gamespot.com/harley-quinn-13-night-and-day/4000-78194/,0 days 00:00:00,DC Comics
18,The Spectre,2001,10,Issue,2001-12-01,Comicvine,22445,134753,The Spectre,2001,10, ,https://comicvine.gamespot.com/the-spectre-10-laughing-at-myself/4000-134753/,30 days 00:00:00,DC Comics
19,Adventures of Superman,1987,597,Issue,2001-12-31,Comicvine,3778,89254,Adventures of Superman,1987,597, ,https://comicvine.gamespot.com/adventures-of-superman-597-rubber-crutch/4000-89254/,30 days 00:00:00,DC Comics
20,Joker: Last Laugh,2001,4,Issue,2001-12-01,Comicvine,19991,119506,Joker: Last Laugh,2001,4, ,https://comicvine.gamespot.com/joker-last-laugh-4-everyone-knows-this-is-nowhere/4000-119506/,0 days 00:00:00,DC Comics
21,The Flash,1987,179,Issue,2001-12-01,Comicvine,3790,84892,The Flash,1987,179, ,https://comicvine.gamespot.com/issue/4000-84892/,30 days 00:00:00,DC Comics
22,Superman: Man of Steel,1991,119,Issue,2001-12-31,Comicvine,4571,114973,Superman: The Man of Steel,1991,119, ,https://comicvine.gamespot.com/issue/4000-114973/,0 days 00:00:00,DC Comics
23,Supergirl,1996,63,Issue,2001-12-31,Comicvine,5766,80613,Supergirl,1996,63, ,https://comicvine.gamespot.com/supergirl-63-the-best-medicine/4000-80613/,30 days 00:00:00,DC Comics
24,Green Lantern,1990,143,Issue,2001-12-01,Comicvine,4363,134846,Green Lantern,1990,143, ,https://comicvine.gamespot.com/issue/4000-134846/,0 days 00:00:00,DC Comics
25,Wonder Woman,1987,175,Issue,2001-12-01,Comicvine,3824,53566,Wonder Woman,1987,175, ,https://comicvine.gamespot.com/wonder-woman-175-the-witch-the-warrior-part-2-girl/4000-53566/,0 days 00:00:00,DC Comics
26,Joker: Last Laugh,2001,5,Issue,2001-12-01,Comicvine,19991,119507,Joker: Last Laugh,2001,5, ,https://comicvine.gamespot.com/joker-last-laugh-5-mad-mad-world/4000-119507/,0 days 00:00:00,DC Comics
27,Robin,1993,95,Issue,2001-12-01,Comicvine,4975,51055,Robin,1993,95, ,https://comicvine.gamespot.com/issue/4000-51055/,0 days 00:00:00,DC Comics
28,JLA,1997,59,Issue,2001-12-01,Comicvine,5957,110975,JLA,1997,59, ,https://comicvine.gamespot.com/jla-59-bipolar-disorder/4000-110975/,0 days 00:00:00,DC Comics
29,Batman,1940,596,Issue,2001-12-01,Comicvine,796,83264,Batman,1940,596, ,https://comicvine.gamespot.com/batman-596-city-on-fire/4000-83264/,22 days 00:00:00,DC Comics
30,Action Comics,1938,784,Issue,2001-12-23,Comicvine,18005,114143,Action Comics,1938,784, ,https://comicvine.gamespot.com/action-comics-784-whose-mind-is-it-anyway/4000-114143/,8 days 00:00:00,DC Comics
31,Titans,1999,34,Issue,2001-12-31,Comicvine,9145,69315,The Titans,1999,34, ,https://comicvine.gamespot.com/issue/4000-69315/,1 days 00:00:00,DC Comics
32,Joker: Last Laugh,2001,6,Issue,2002-01-01,Comicvine,19991,119523,Joker: Last Laugh,2001,6, ,https://comicvine.gamespot.com/joker-last-laugh-6-you-only-laugh-twice/4000-119523/,0 days 00:00:00,DC Comics
