,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Issue Number,CV Cover Image,CV Issue URL,Days Between Issues,CV Series Publisher
1,Suicide Squad,2016,8,Issue,2017-02-28,Comicvine,93205,566692,Suicide Squad,2016,8, ,https://comicvine.gamespot.com/suicide-squad-8-going-sane-part-four-i-believe-in-/4000-566692/,31 days 00:00:00,DC Comics
2,Justice League,2016,12,Issue,2017-03-31,Comicvine,92373,574847,Justice League,2016,12, ,https://comicvine.gamespot.com/justice-league-12-max-lord-rebirth/4000-574847/,31 days 00:00:00,DC Comics
3,Justice League vs. Suicide Squad,2016,1,Issue,2017-02-28,Comicvine,97053,569308,Justice League vs. Suicide Squad,2016,1, ,https://comicvine.gamespot.com/justice-league-vs-suicide-squad-1/4000-569308/,0 days 00:00:00,DC Comics
4,Justice League vs. Suicide Squad,2016,2,Issue,2017-02-28,Comicvine,97053,571641,Justice League vs. Suicide Squad,2016,2, ,https://comicvine.gamespot.com/justice-league-vs-suicide-squad-2/4000-571641/,31 days 00:00:00,DC Comics
5,Justice League vs. Suicide Squad,2016,3,Issue,2017-03-31,Comicvine,97053,574849,Justice League vs. Suicide Squad,2016,3, ,https://comicvine.gamespot.com/justice-league-vs-suicide-squad-3-chapter-three/4000-574849/,0 days 00:00:00,DC Comics
6,Justice League vs. Suicide Squad,2016,4,Issue,2017-03-31,Comicvine,97053,575842,Justice League vs. Suicide Squad,2016,4, ,https://comicvine.gamespot.com/justice-league-vs-suicide-squad-4-chapter-four/4000-575842/,0 days 00:00:00,DC Comics
7,Suicide Squad,2016,9,Issue,2017-03-31,Comicvine,93205,575847,Suicide Squad,2016,9, ,https://comicvine.gamespot.com/suicide-squad-9-the-first-and-last-mission-of-suic/4000-575847/,0 days 00:00:00,DC Comics
8,Justice League vs. Suicide Squad,2016,5,Issue,2017-03-31,Comicvine,97053,576598,Justice League vs. Suicide Squad,2016,5, ,https://comicvine.gamespot.com/justice-league-vs-suicide-squad-5-chapter-five/4000-576598/,0 days 00:00:00,DC Comics
9,Justice League,2016,13,Issue,2017-03-31,Comicvine,92373,576595,Justice League,2016,13, ,https://comicvine.gamespot.com/justice-league-13-welcome-to-eclipso/4000-576595/,0 days 00:00:00,DC Comics
10,Justice League vs. Suicide Squad,2016,6,Issue,2017-03-31,Comicvine,97053,578434,Justice League vs. Suicide Squad,2016,6, ,https://comicvine.gamespot.com/justice-league-vs-suicide-squad-6-conclusion/4000-578434/,0 days 00:00:00,DC Comics
11,Suicide Squad,2016,10,Issue,2017-03-31,Comicvine,93205,578442,Suicide Squad,2016,10, ,https://comicvine.gamespot.com/suicide-squad-10-justice-league-vs-suicide-squad-e/4000-578442/,0 days 00:00:00,DC Comics
