,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Issue Number,CV Cover Image,CV Issue URL,Days Between Issues,CV Series Publisher
1,Justice League America,1989,53,Issue,1991-08-31,Comicvine,4198,34495,Justice League America,1989,53, ,https://comicvine.gamespot.com/justice-league-america-53-breakdowns-part-1-blown-/4000-34495/,0 days 00:00:00,DC Comics
2,Justice League Europe,1989,29,Issue,1991-08-31,Comicvine,4199,34496,Justice League Europe,1989,29, ,https://comicvine.gamespot.com/justice-league-europe-29-breakdowns-part-2-turning/4000-34496/,30 days 00:00:00,DC Comics
3,Justice League America,1989,54,Issue,1991-09-30,Comicvine,4198,34608,Justice League America,1989,54, ,https://comicvine.gamespot.com/justice-league-america-54-the-boot/4000-34608/,0 days 00:00:00,DC Comics
4,Justice League Europe,1989,30,Issue,1991-09-30,Comicvine,4199,34609,Justice League Europe,1989,30, ,https://comicvine.gamespot.com/justice-league-europe-30-the-widening-gyre/4000-34609/,31 days 00:00:00,DC Comics
5,Justice League America,1989,55,Issue,1991-10-31,Comicvine,4198,34729,Justice League America,1989,55, ,https://comicvine.gamespot.com/justice-league-america-55-bialya-blues/4000-34729/,0 days 00:00:00,DC Comics
6,Justice League Europe,1989,31,Issue,1991-10-31,Comicvine,4199,34730,Justice League Europe,1989,31, ,https://comicvine.gamespot.com/justice-league-europe-31-breakdowns-part-6-things-/4000-34730/,30 days 00:00:00,DC Comics
7,Justice League America,1989,56,Issue,1991-11-30,Comicvine,4198,34845,Justice League America,1989,56, ,https://comicvine.gamespot.com/justice-league-america-56-breakdowns-part-7-look-h/4000-34845/,29 days 00:00:00,DC Comics
8,Green Lantern,1990,18,Issue,1991-11-01,Comicvine,4363,34841,Green Lantern,1990,18, ,https://comicvine.gamespot.com/green-lantern-18-one-angry-guy/4000-34841/,29 days 00:00:00,DC Comics
9,Justice League Europe,1989,32,Issue,1991-11-30,Comicvine,4199,34846,Justice League Europe,1989,32, ,https://comicvine.gamespot.com/justice-league-europe-32-breakdowns-part-8-the-cen/4000-34846/,31 days 00:00:00,DC Comics
10,Justice League America,1989,57,Issue,1991-12-31,Comicvine,4198,34966,Justice League America,1989,57, ,https://comicvine.gamespot.com/justice-league-america-57-the-descent-of-despero/4000-34966/,0 days 00:00:00,DC Comics
11,Justice League Europe,1989,33,Issue,1991-12-31,Comicvine,4199,34967,Justice League Europe,1989,33, ,https://comicvine.gamespot.com/justice-league-europe-33-breakdowns-part-10-mere-a/4000-34967/,31 days 00:00:00,DC Comics
12,Justice League America,1989,58,Issue,1992-01-31,Comicvine,4198,35229,Justice League America,1989,58, ,https://comicvine.gamespot.com/justice-league-america-58-mayhem/4000-35229/,0 days 00:00:00,DC Comics
13,Justice League Europe,1989,34,Issue,1992-01-31,Comicvine,4199,35230,Justice League Europe,1989,34, ,https://comicvine.gamespot.com/justice-league-europe-34-breakdowns-part-12-blood-/4000-35230/,29 days 00:00:00,DC Comics
14,Justice League America,1989,59,Issue,1992-02-29,Comicvine,4198,35335,Justice League America,1989,59, ,https://comicvine.gamespot.com/justice-league-america-59-breakdowns-part-13-ex-fa/4000-35335/,0 days 00:00:00,DC Comics
15,Justice League Europe,1989,35,Issue,1992-02-29,Comicvine,4199,35336,Justice League Europe,1989,35, ,https://comicvine.gamespot.com/justice-league-europe-35-breakdowns-part-14-the-ce/4000-35336/,31 days 00:00:00,DC Comics
16,Justice League America,1989,60,Issue,1992-03-31,Comicvine,4198,35446,Justice League America,1989,60, ,https://comicvine.gamespot.com/justice-league-america-60-breakdowns-part-15-swans/4000-35446/,0 days 00:00:00,DC Comics
17,Justice League Europe,1989,36,Issue,1992-03-31,Comicvine,4199,35447,Justice League Europe,1989,36, ,https://comicvine.gamespot.com/justice-league-europe-36-breakdowns-postscript/4000-35447/,0 days 00:00:00,DC Comics
