,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Issue Number,CV Cover Image,CV Issue URL,Days Between Issues,CV Series Publisher
1,Batman,1940,484,Issue,1992-09-01,Comicvine,796,36110,Batman,1940,484, ,https://comicvine.gamespot.com/issue/4000-36110/,30 days 00:00:00,DC Comics
2,Batman,1940,485,Issue,1992-10-01,Comicvine,796,36228,Batman,1940,485, ,https://comicvine.gamespot.com/issue/4000-36228/,31 days 00:00:00,DC Comics
3,Batman,1940,486,Issue,1992-11-01,Comicvine,796,36353,Batman,1940,486, ,https://comicvine.gamespot.com/issue/4000-36353/,30 days 00:00:00,DC Comics
4,Batman,1940,487,Issue,1992-12-01,Comicvine,796,36470,Batman,1940,487, ,https://comicvine.gamespot.com/issue/4000-36470/,31 days 00:00:00,DC Comics
5,Batman,1940,488,Issue,1993-01-01,Comicvine,796,36710,Batman,1940,488, ,https://comicvine.gamespot.com/issue/4000-36710/,31 days 00:00:00,DC Comics
6,Batman,1940,489,Issue,1993-02-01,Comicvine,796,36816,Batman,1940,489, ,https://comicvine.gamespot.com/issue/4000-36816/,28 days 00:00:00,DC Comics
7,Batman,1940,490,Issue,1993-03-01,Comicvine,796,36921,Batman,1940,490, ,https://comicvine.gamespot.com/issue/4000-36921/,90 days 00:00:00,DC Comics
8,Detective Comics,1937,654,Issue,1992-12-01,Comicvine,18058,113125,Detective Comics,1937,654, ,https://comicvine.gamespot.com/issue/4000-113125/,31 days 00:00:00,DC Comics
9,Detective Comics,1937,655,Issue,1993-01-01,Comicvine,18058,113127,Detective Comics,1937,655, ,https://comicvine.gamespot.com/issue/4000-113127/,31 days 00:00:00,DC Comics
10,Detective Comics,1937,656,Issue,1993-02-01,Comicvine,18058,113128,Detective Comics,1937,656, ,https://comicvine.gamespot.com/issue/4000-113128/,28 days 00:00:00,DC Comics
11,Detective Comics,1937,657,Issue,1993-03-01,Comicvine,18058,113129,Detective Comics,1937,657, ,https://comicvine.gamespot.com/issue/4000-113129/,60 days 00:00:00,DC Comics
12,Batman,1940,491,Issue,1993-04-30,Comicvine,796,37038,Batman,1940,491, ,https://comicvine.gamespot.com/issue/4000-37038/,31 days 00:00:00,DC Comics
13,Batman,1940,492,Issue,1993-05-31,Comicvine,796,37172,Batman,1940,492, ,https://comicvine.gamespot.com/issue/4000-37172/,0 days 00:00:00,DC Comics
14,Detective Comics,1937,659,Issue,1993-05-31,Comicvine,18058,105926,Detective Comics,1937,659, ,https://comicvine.gamespot.com/issue/4000-105926/,0 days 00:00:00,DC Comics
15,Batman,1940,493,Issue,1993-05-31,Comicvine,796,37273,Batman,1940,493, ,https://comicvine.gamespot.com/issue/4000-37273/,0 days 00:00:00,DC Comics
16,Detective Comics,1937,660,Issue,1993-05-31,Comicvine,18058,108471,Detective Comics,1937,660, ,https://comicvine.gamespot.com/issue/4000-108471/,30 days 00:00:00,DC Comics
17,Batman,1940,494,Issue,1993-06-30,Comicvine,796,37305,Batman,1940,494, ,https://comicvine.gamespot.com/issue/4000-37305/,0 days 00:00:00,DC Comics
18,Detective Comics,1937,661,Issue,1993-06-30,Comicvine,18058,108494,Detective Comics,1937,661, ,https://comicvine.gamespot.com/issue/4000-108494/,0 days 00:00:00,DC Comics
19,Batman,1940,495,Issue,1993-06-30,Comicvine,796,37419,Batman,1940,495, ,https://comicvine.gamespot.com/issue/4000-37419/,0 days 00:00:00,DC Comics
20,Detective Comics,1937,662,Issue,1993-06-30,Comicvine,18058,108495,Detective Comics,1937,662, ,https://comicvine.gamespot.com/issue/4000-108495/,31 days 00:00:00,DC Comics
21,Batman,1940,496,Issue,1993-07-31,Comicvine,796,37457,Batman,1940,496, ,https://comicvine.gamespot.com/issue/4000-37457/,0 days 00:00:00,DC Comics
22,Detective Comics,1937,663,Issue,1993-07-31,Comicvine,18058,108496,Detective Comics,1937,663, ,https://comicvine.gamespot.com/issue/4000-108496/,0 days 00:00:00,DC Comics
23,Batman,1940,497,Issue,1993-07-31,Comicvine,796,37566,Batman,1940,497, ,https://comicvine.gamespot.com/issue/4000-37566/,0 days 00:00:00,DC Comics
24,Detective Comics,1937,664,Issue,1993-07-31,Comicvine,18058,108497,Detective Comics,1937,664, ,https://comicvine.gamespot.com/issue/4000-108497/,0 days 00:00:00,DC Comics
25,Showcase ‘93,1993,7,Issue,1993-07-31,Comicvine,18340,107456,Showcase '93,1993,7, ,https://comicvine.gamespot.com/issue/4000-107456/,31 days 00:00:00,DC Comics
26,Showcase ‘93,1993,8,Issue,1993-08-31,Comicvine,18340,107494,Showcase '93,1993,8, ,https://comicvine.gamespot.com/issue/4000-107494/,0 days 00:00:00,DC Comics
27,Batman,1940,498,Issue,1993-08-31,Comicvine,796,37599,Batman,1940,498, ,https://comicvine.gamespot.com/issue/4000-37599/,30 days 00:00:00,DC Comics
28,Shadow of the Bat,1992,16,Issue,1993-09-30,Comicvine,4724,37711,Batman: Shadow of the Bat,1992,16, ,https://comicvine.gamespot.com/issue/4000-37711/,0 days 00:00:00,DC Comics
29,Shadow of the Bat,1992,17,Issue,1993-09-30,Comicvine,4724,37850,Batman: Shadow of the Bat,1992,17, ,https://comicvine.gamespot.com/issue/4000-37850/,31 days 00:00:00,DC Comics
30,Shadow of the Bat,1992,18,Issue,1993-10-31,Comicvine,4724,37854,Batman: Shadow of the Bat,1992,18, ,https://comicvine.gamespot.com/issue/4000-37854/,61 days 00:00:00,DC Comics
31,Detective Comics,1937,665,Issue,1993-08-31,Comicvine,18058,108498,Detective Comics,1937,665, ,https://comicvine.gamespot.com/issue/4000-108498/,30 days 00:00:00,DC Comics
32,Batman,1940,499,Issue,1993-09-30,Comicvine,796,37735,Batman,1940,499, ,https://comicvine.gamespot.com/issue/4000-37735/,0 days 00:00:00,DC Comics
33,Detective Comics,1937,666,Issue,1993-09-30,Comicvine,18058,108499,Detective Comics,1937,666, ,https://comicvine.gamespot.com/issue/4000-108499/,31 days 00:00:00,DC Comics
34,Batman,1940,500,Issue,1993-10-31,Comicvine,796,37881,Batman,1940,500, ,https://comicvine.gamespot.com/issue/4000-37881/,0 days 00:00:00,DC Comics
35,Detective Comics,1937,667,Issue,1993-10-31,Comicvine,18058,108519,Detective Comics,1937,667, ,https://comicvine.gamespot.com/issue/4000-108519/,30 days 00:00:00,DC Comics
36,Detective Comics,1937,668,Issue,1993-11-30,Comicvine,18058,108520,Detective Comics,1937,668, ,https://comicvine.gamespot.com/issue/4000-108520/,0 days 00:00:00,DC Comics
37,Robin,1993,1,Issue,1993-11-30,Comicvine,4975,38052,Robin,1993,1, ,https://comicvine.gamespot.com/robin-1-outcast/4000-38052/,1 days 00:00:00,DC Comics
38,Robin,1993,2,Issue,1993-12-01,Comicvine,4975,38208,Robin,1993,2, ,https://comicvine.gamespot.com/robin-2-busted/4000-38208/,121 days 00:00:00,DC Comics
39,Robin,1993,5,Issue,1994-04-01,Comicvine,4975,38899,Robin,1993,5, ,https://comicvine.gamespot.com/robin-5-last-gasps/4000-38899/,152 days 00:00:00,DC Comics
40,Shadow of the Bat,1992,19,Issue,1993-10-31,Comicvine,4724,37997,Batman: Shadow of the Bat,1992,19, ,https://comicvine.gamespot.com/issue/4000-37997/,1 days 00:00:00,DC Comics
41,Shadow of the Bat,1992,20,Issue,1993-11-01,Comicvine,4724,38006,Batman: Shadow of the Bat,1992,20, ,https://comicvine.gamespot.com/issue/4000-38006/,29 days 00:00:00,DC Comics
42,Batman,1940,501,Issue,1993-11-30,Comicvine,796,38033,Batman,1940,501, ,https://comicvine.gamespot.com/issue/4000-38033/,31 days 00:00:00,DC Comics
43,Batman,1940,502,Issue,1993-12-31,Comicvine,796,38191,Batman,1940,502, ,https://comicvine.gamespot.com/issue/4000-38191/,0 days 00:00:00,DC Comics
44,Detective Comics,1937,669,Issue,1993-12-31,Comicvine,18058,106823,Detective Comics,1937,669, ,https://comicvine.gamespot.com/issue/4000-106823/,31 days 00:00:00,DC Comics
45,Detective Comics,1937,670,Issue,1994-01-31,Comicvine,18058,106839,Detective Comics,1937,670, ,https://comicvine.gamespot.com/issue/4000-106839/,30 days 00:00:00,DC Comics
