,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Issue Number,CV Cover Image,CV Issue URL,Days Between Issues,CV Series Publisher
1,Batman,1940,401,Issue,1986-11-30,Comicvine,796,27328,Batman,1940,401, ,https://comicvine.gamespot.com/batman-401-a-bird-in-the-hand/4000-27328/,0 days 00:00:00,DC Comics
2,Detective Comics,1937,568,Issue,1986-11-30,Comicvine,18058,113026,Detective Comics,1937,568, ,https://comicvine.gamespot.com/detective-comics-568-eyrie/4000-113026/,0 days 00:00:00,DC Comics
3,Legends,1986,1,Issue,1986-11-30,Comicvine,3607,27340,Legends,1986,1, ,https://comicvine.gamespot.com/legends-1-once-upon-a-time-secret-of-the-temple/4000-27340/,31 days 00:00:00,DC Comics
4,Green Lantern Corps,1986,207,Issue,1986-12-31,Comicvine,3600,27440,The Green Lantern Corps,1986,207, ,https://comicvine.gamespot.com/the-green-lantern-corps-207-simple-minds/4000-27440/,0 days 00:00:00,DC Comics
5,Legends,1986,2,Issue,1986-12-31,Comicvine,3607,27445,Legends,1986,2, ,https://comicvine.gamespot.com/legends-2-breach-of-faith/4000-27445/,0 days 00:00:00,DC Comics
6,Cosmic Boy,1986,1,Issue,1986-12-31,Comicvine,3597,27437,Cosmic Boy,1986,1, ,https://comicvine.gamespot.com/cosmic-boy-1-those-who-will-not-learn-the-lessons-/4000-27437/,31 days 00:00:00,DC Comics
7,Justice League of America,1960,258,Issue,1987-01-31,Comicvine,2014,27638,Justice League of America,1960,258, ,https://comicvine.gamespot.com/justice-league-of-america-258-saving-face/4000-27638/,30 days 00:00:00,DC Comics
8,Secret Origins,1986,10,Issue,1987-01-01,Comicvine,3616,27643,Secret Origins,1986,10, ,https://comicvine.gamespot.com/secret-origins-10-tarry-till-i-come-again-and-men-/4000-27643/,0 days 00:00:00,DC Comics
9,Firestorm,1987,55,Issue,1987-01-01,Comicvine,3115,27632,The Fury of Firestorm,1982,55, ,https://comicvine.gamespot.com/the-fury-of-firestorm-55-the-stench-of-brimstone/4000-27632/,30 days 00:00:00,DC Comics
10,Legends,1986,3,Issue,1987-01-31,Comicvine,3607,27639,Legends,1986,3, ,https://comicvine.gamespot.com/legends-3-send-for-the-suicide-squad/4000-27639/,0 days 00:00:00,DC Comics
11,Cosmic Boy,1986,2,Issue,1987-01-31,Comicvine,3597,27629,Cosmic Boy,1986,2, ,https://comicvine.gamespot.com/cosmic-boy-2-is-history-destiny/4000-27629/,28 days 00:00:00,DC Comics
12,Justice League of America,1960,259,Issue,1987-02-28,Comicvine,2014,114379,Justice League of America,1960,259, ,https://comicvine.gamespot.com/justice-league-of-america-259-homecoming/4000-114379/,27 days 00:00:00,DC Comics
13,Firestorm,1987,56,Issue,1987-02-01,Comicvine,3115,27739,The Fury of Firestorm,1982,56, ,https://comicvine.gamespot.com/the-fury-of-firestorm-56-firestorm-no-more/4000-27739/,0 days 00:00:00,DC Comics
14,Blue Beetle,1986,9,Issue,1987-02-01,Comicvine,3595,27734,Blue Beetle,1986,9, ,https://comicvine.gamespot.com/blue-beetle-9-timepiece/4000-27734/,27 days 00:00:00,DC Comics
15,Legends,1986,4,Issue,1987-02-28,Comicvine,3607,27744,Legends,1986,4, ,https://comicvine.gamespot.com/legends-4-cry-havok/4000-27744/,27 days 00:00:00,DC Comics
16,Warlord,1976,114,Issue,1987-02-01,Comicvine,2850,27757,Warlord,1976,114, ,https://comicvine.gamespot.com/warlord-114-when-a-legend-dies/4000-27757/,27 days 00:00:00,DC Comics
17,Cosmic Boy,1986,3,Issue,1987-02-28,Comicvine,3597,27736,Cosmic Boy,1986,3, ,https://comicvine.gamespot.com/cosmic-boy-3-past-present-and-future/4000-27736/,31 days 00:00:00,DC Comics
18,Justice League of America,1960,260,Issue,1987-03-31,Comicvine,2014,27855,Justice League of America,1960,260, ,https://comicvine.gamespot.com/justice-league-of-america-260-flesh/4000-27855/,30 days 00:00:00,DC Comics
19,Blue Beetle,1986,10,Issue,1987-03-01,Comicvine,3595,27843,Blue Beetle,1986,10, ,https://comicvine.gamespot.com/blue-beetle-10-time-on-his-hands/4000-27843/,0 days 00:00:00,DC Comics
20,Warlord,1976,115,Issue,1987-03-01,Comicvine,2850,27868,Warlord,1976,115, ,https://comicvine.gamespot.com/warlord-115-the-citadel-of-fear/4000-27868/,30 days 00:00:00,DC Comics
21,Superman,1987,3,Issue,1987-03-31,Comicvine,3816,27864,Superman,1987,3, ,https://comicvine.gamespot.com/superman-3-legends-from-the-darkside/4000-27864/,0 days 00:00:00,DC Comics
22,Adventures of Superman,1987,426,Issue,1987-03-31,Comicvine,3778,27838,Adventures of Superman,1987,426, ,https://comicvine.gamespot.com/adventures-of-superman-426-from-the-dregs/4000-27838/,0 days 00:00:00,DC Comics
23,Action Comics,1938,586,Issue,1987-03-31,Comicvine,18005,119391,Action Comics,1938,586, ,https://comicvine.gamespot.com/action-comics-586-the-champion/4000-119391/,0 days 00:00:00,DC Comics
24,Legends,1986,5,Issue,1987-03-31,Comicvine,3607,27856,Legends,1986,5, ,https://comicvine.gamespot.com/legends-5-let-slip-the-dogs-of-war/4000-27856/,0 days 00:00:00,DC Comics
25,Cosmic Boy,1986,4,Issue,1987-03-31,Comicvine,3597,27846,Cosmic Boy,1986,4, ,https://comicvine.gamespot.com/cosmic-boy-4-time-without-end/4000-27846/,30 days 00:00:00,DC Comics
26,Justice League of America,1960,261,Issue,1987-04-30,Comicvine,2014,27961,Justice League of America,1960,261, ,https://comicvine.gamespot.com/justice-league-of-america-261-last-stand/4000-27961/,0 days 00:00:00,DC Comics
27,Legends,1986,6,Issue,1987-04-30,Comicvine,3607,27962,Legends,1986,6, ,https://comicvine.gamespot.com/legends-6-finale/4000-27962/,31 days 00:00:00,DC Comics
28,Secret Origins,1986,14,Issue,1987-05-31,Comicvine,3616,28080,Secret Origins,1986,14, ,https://comicvine.gamespot.com/secret-origins-14-the-secret-origin-of-the-suicide/4000-28080/,0 days 00:00:00,DC Comics
