,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Issue Number,CV Cover Image,CV Issue URL,Days Between Issues,CV Series Publisher
1,Millennium,1988,1,Issue,1988-01-01,Comicvine,4011,29074,Millennium,1988,1, ,https://comicvine.gamespot.com/issue/4000-29074/,0 days 00:00:00,DC Comics
2,Firestorm,1987,67,Issue,1988-01-01,Comicvine,3789,29086,"Firestorm, the Nuclear Man",1987,67, ,https://comicvine.gamespot.com/issue/4000-29086/,30 days 00:00:00,DC Comics
3,The Flash,1987,8,Issue,1988-01-31,Comicvine,3790,29087,The Flash,1987,8, ,https://comicvine.gamespot.com/the-flash-8-purple-haze/4000-29087/,0 days 00:00:00,DC Comics
4,Justice League International,1987,9,Issue,1988-01-31,Comicvine,3798,29168,Justice League International,1987,9, ,https://comicvine.gamespot.com/issue/4000-29168/,6453 days 00:00:00,DC Comics
5,Outsiders,2003,27,Issue,2005-10-01,Comicvine,10415,113885,Outsiders,2003,27, ,https://comicvine.gamespot.com/issue/4000-113885/,6453 days 00:00:00,DC Comics
6,Wonder Woman,1987,12,Issue,1988-01-31,Comicvine,3824,29112,Wonder Woman,1987,12, ,https://comicvine.gamespot.com/issue/4000-29112/,30 days 00:00:00,DC Comics
7,Millennium,1988,2,Issue,1988-01-01,Comicvine,4011,29183,Millennium,1988,2, ,https://comicvine.gamespot.com/millennium-2-under/4000-29183/,30 days 00:00:00,DC Comics
8,Batman,1940,415,Issue,1988-01-31,Comicvine,796,29080,Batman,1940,415, ,https://comicvine.gamespot.com/batman-415-millennium/4000-29080/,0 days 00:00:00,DC Comics
9,Blue Beetle,1986,20,Issue,1988-01-31,Comicvine,3595,29081,Blue Beetle,1986,20, ,https://comicvine.gamespot.com/blue-beetle-20-iran-scam/4000-29081/,0 days 00:00:00,DC Comics
10,Legion of Super-Heroes,1984,42,Issue,1988-01-31,Comicvine,3310,29091,Legion of Super-Heroes,1984,42, ,https://comicvine.gamespot.com/legion-of-super-heroes-42-to-sleep-a-thousand-year/4000-29091/,0 days 00:00:00,DC Comics
11,Secret Origins,1986,22,Issue,1988-01-31,Comicvine,3616,29098,Secret Origins,1986,22, ,https://comicvine.gamespot.com/issue/4000-29098/,0 days 00:00:00,DC Comics
12,Superman,1987,13,Issue,1988-01-31,Comicvine,3816,29106,Superman,1987,13, ,https://comicvine.gamespot.com/superman-13-toys-in-the-attic/4000-29106/,0 days 00:00:00,DC Comics
13,Young All-Stars,1987,8,Issue,1988-01-31,Comicvine,3826,29114,Young All-Stars,1987,8, ,https://comicvine.gamespot.com/issue/4000-29114/,30 days 00:00:00,DC Comics
14,Millennium,1988,3,Issue,1988-01-01,Comicvine,4011,29184,Millennium,1988,3, ,https://comicvine.gamespot.com/millennium-3-back/4000-29184/,30 days 00:00:00,DC Comics
15,Adventures of Superman,1987,436,Issue,1988-01-31,Comicvine,3778,29078,Adventures of Superman,1987,436, ,https://comicvine.gamespot.com/adventures-of-superman-436-junk/4000-29078/,0 days 00:00:00,DC Comics
