,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Issue Number,CV Cover Image,CV Issue URL,Days Between Issues,CV Series Publisher
1,New 52: Futures End,2014,0,Issue,2014-07-31,Comicvine,73528,452026,The New 52: Futures End,2014,0, ,https://comicvine.gamespot.com/the-new-52-futures-end-0/4000-452026/,0 days 00:00:00,DC Comics
2,New 52: Futures End,2014,1,Issue,2014-07-31,Comicvine,73528,452261,The New 52: Futures End,2014,1, ,https://comicvine.gamespot.com/the-new-52-futures-end-1/4000-452261/,0 days 00:00:00,DC Comics
3,New 52: Futures End,2014,2,Issue,2014-07-31,Comicvine,73528,452806,The New 52: Futures End,2014,2, ,https://comicvine.gamespot.com/the-new-52-futures-end-2/4000-452806/,0 days 00:00:00,DC Comics
4,New 52: Futures End,2014,3,Issue,2014-07-31,Comicvine,73528,453360,The New 52: Futures End,2014,3, ,https://comicvine.gamespot.com/the-new-52-futures-end-3/4000-453360/,0 days 00:00:00,DC Comics
5,New 52: Futures End,2014,4,Issue,2014-07-31,Comicvine,73528,454045,The New 52: Futures End,2014,4, ,https://comicvine.gamespot.com/the-new-52-futures-end-4/4000-454045/,31 days 00:00:00,DC Comics
6,New 52: Futures End,2014,5,Issue,2014-08-31,Comicvine,73528,455434,The New 52: Futures End,2014,5, ,https://comicvine.gamespot.com/the-new-52-futures-end-5/4000-455434/,0 days 00:00:00,DC Comics
7,New 52: Futures End,2014,6,Issue,2014-08-31,Comicvine,73528,455975,The New 52: Futures End,2014,6, ,https://comicvine.gamespot.com/the-new-52-futures-end-6/4000-455975/,0 days 00:00:00,DC Comics
8,New 52: Futures End,2014,7,Issue,2014-08-31,Comicvine,73528,456499,The New 52: Futures End,2014,7, ,https://comicvine.gamespot.com/the-new-52-futures-end-7/4000-456499/,0 days 00:00:00,DC Comics
9,New 52: Futures End,2014,8,Issue,2014-08-31,Comicvine,73528,457579,The New 52: Futures End,2014,8, ,https://comicvine.gamespot.com/the-new-52-futures-end-8/4000-457579/,30 days 00:00:00,DC Comics
10,New 52: Futures End,2014,9,Issue,2014-09-30,Comicvine,73528,458564,The New 52: Futures End,2014,9, ,https://comicvine.gamespot.com/the-new-52-futures-end-9/4000-458564/,0 days 00:00:00,DC Comics
