,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Issue Number,CV Cover Image,CV Issue URL,Days Between Issues,CV Series Publisher
1,Batman,2011,7,Issue,2012-05-01,Comicvine,42721,322739,Batman,2011,7, ,https://comicvine.gamespot.com/batman-7-the-talons-strike/4000-322739/,60 days 00:00:00,DC Comics
2,Batman,2011,8,Issue,2012-06-30,Comicvine,42721,331842,Batman,2011,8, ,https://comicvine.gamespot.com/batman-8-attack-on-wayne-manor-the-call/4000-331842/,3 days 00:00:00,DC Comics
3,Red Hood and the Outlaws,2011,8,Issue,2012-06-27,Comicvine,42919,331845,Red Hood and the Outlaws,2011,8, ,https://comicvine.gamespot.com/red-hood-and-the-outlaws-8-last-regrets-ive-had-a-/4000-331845/,27 days 00:00:00,DC Comics
4,Batwing,2011,9,Issue,2012-07-24,Comicvine,42602,334193,Batwing,2011,9, ,https://comicvine.gamespot.com/batwing-9-you-have-been-judged-unworthy/4000-334193/,23 days 00:00:00,DC Comics
5,Batman and Robin,2011,9,Issue,2012-07-01,Comicvine,42692,335018,Batman and Robin,2011,9, ,https://comicvine.gamespot.com/batman-and-robin-9-robin-hears-a-hoo/4000-335018/,23 days 00:00:00,DC Comics
6,Batgirl,2011,9,Issue,2012-07-24,Comicvine,42604,335019,Batgirl,2011,9, ,https://comicvine.gamespot.com/batgirl-9-in-the-line-of-fire/4000-335019/,23 days 00:00:00,DC Comics
7,Batman,2011,9,Issue,2012-07-01,Comicvine,42721,335017,Batman,2011,9, ,https://comicvine.gamespot.com/batman-9-the-night-of-the-owls-the-fall-of-the-hou/4000-335017/,26 days 00:00:00,DC Comics
8,Red Hood and the Outlaws,2011,9,Issue,2012-07-27,Comicvine,42919,335897,Red Hood and the Outlaws,2011,9, ,https://comicvine.gamespot.com/red-hood-and-the-outlaws-9-who-are-you-hoo-hoo/4000-335897/,31 days 00:00:00,DC Comics
9,Nightwing,2011,8,Issue,2012-06-26,Comicvine,42720,331843,Nightwing,2011,8, ,https://comicvine.gamespot.com/nightwing-8-bloodlines/4000-331843/,35 days 00:00:00,DC Comics
10,Nightwing,2011,9,Issue,2012-07-31,Comicvine,42720,335895,Nightwing,2011,9, ,https://comicvine.gamespot.com/nightwing-9-the-gray-son/4000-335895/,0 days 00:00:00,DC Comics
11,Detective Comics,2011,9,Issue,2012-07-31,Comicvine,42594,334192,Detective Comics,2011,9, ,https://comicvine.gamespot.com/detective-comics-9-the-owls-take-arkham-5050/4000-334192/,7 days 00:00:00,DC Comics
12,Batman: The Dark Knight,2011,9,Issue,2012-07-24,Comicvine,42719,336573,Batman: The Dark Knight,2011,9, ,https://comicvine.gamespot.com/issue/4000-336573/,0 days 00:00:00,DC Comics
13,Birds of Prey,2011,9,Issue,2012-07-24,Comicvine,42806,335896,Birds of Prey,2011,9, ,https://comicvine.gamespot.com/birds-of-prey-9-gangland-style/4000-335896/,7 days 00:00:00,DC Comics
14,Batman Vol. 2 Annual,2012,1,Issue,2012-07-31,Comicvine,49197,337480,Batman Annual,2012,1, ,https://comicvine.gamespot.com/batman-annual-1-first-snow/4000-337480/,5 days 00:00:00,DC Comics
15,Catwoman,2011,9,Issue,2012-07-26,Comicvine,42722,335898,Catwoman,2011,9, ,https://comicvine.gamespot.com/catwoman-9-mirrors-come-in-all-sizes/4000-335898/,0 days 00:00:00,DC Comics
