,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Issue Number,CV Cover Image,CV Issue URL,Days Between Issues,CV Series Publisher
1,Supergirl,2011,29,Issue,2014-05-31,Comicvine,42949,447955,Supergirl,2011,29, ,https://comicvine.gamespot.com/supergirl-29-red-daughter-of-krypton-part-1-inner-/4000-447955/,60 days 00:00:00,DC Comics
2,Green Lantern,2011,28,Issue,2014-04-01,Comicvine,42808,444476,Green Lantern,2011,28, ,https://comicvine.gamespot.com/green-lantern-28-red-alert-part-1-of-2/4000-444476/,30 days 00:00:00,DC Comics
3,Red Lanterns,2011,29,Issue,2014-05-01,Comicvine,42804,448916,Red Lanterns,2011,29, ,https://comicvine.gamespot.com/red-lanterns-29-forever/4000-448916/,60 days 00:00:00,DC Comics
4,Supergirl,2011,30,Issue,2014-06-30,Comicvine,42949,450517,Supergirl,2011,30, ,https://comicvine.gamespot.com/supergirl-30-red-daughter-of-krypton-part-2-red-re/4000-450517/,0 days 00:00:00,DC Comics
5,Red Lanterns,2011,30,Issue,2014-06-30,Comicvine,42804,451046,Red Lanterns,2011,30, ,https://comicvine.gamespot.com/red-lanterns-30-judgement-day-part-1-of-3/4000-451046/,31 days 00:00:00,DC Comics
6,Supergirl,2011,31,Issue,2014-07-31,Comicvine,42949,453368,Supergirl,2011,31, ,https://comicvine.gamespot.com/supergirl-31-red-daughter-of-krypton-part-3-judgem/4000-453368/,31 days 00:00:00,DC Comics
7,Red Lanterns,2011,32,Issue,2014-08-31,Comicvine,42804,457583,Red Lanterns,2011,32, ,https://comicvine.gamespot.com/red-lanterns-32-atrocities-part-1-of-4-cry-havoc/4000-457583/,30 days 00:00:00,DC Comics
8,Supergirl,2011,33,Issue,2014-09-30,Comicvine,42949,459633,Supergirl,2011,33, ,https://comicvine.gamespot.com/supergirl-33-red-daughter-of-krypton-conclusion/4000-459633/,0 days 00:00:00,DC Comics
9,Red Lanterns,2011,33,Issue,2014-09-30,Comicvine,42804,460268,Red Lanterns,2011,33, ,https://comicvine.gamespot.com/red-lanterns-33-atrocities-part-2-of-4-old-battles/4000-460268/,0 days 00:00:00,DC Comics
10,Red Lanterns Annual,2014,1,Issue,2014-09-30,Comicvine,76115,461067,Red Lanterns Annual,2014,1, ,https://comicvine.gamespot.com/red-lanterns-annual-1-atrocities-part-3-of-4/4000-461067/,31 days 00:00:00,DC Comics
11,Red Lanterns,2011,34,Issue,2014-10-31,Comicvine,42804,463432,Red Lanterns,2011,34, ,https://comicvine.gamespot.com/red-lanterns-34-atrocities-part-4-of-4-redsend/4000-463432/,0 days 00:00:00,DC Comics
