,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Issue Number,CV Cover Image,CV Issue URL,Days Between Issues,CV Series Publisher
1,Steel,2011,1,Issue,2011-03-01,Comicvine,38090,254581,Steel,2011,1, ,https://comicvine.gamespot.com/steel-1-the-reign-of-doomsday-part-1-full-circle/4000-254581/,31 days 00:00:00,DC Comics
2,Outsiders,2009,37,Issue,2011-04-01,Comicvine,25804,265488,The Outsiders,2009,37, ,https://comicvine.gamespot.com/issue/4000-265488/,30 days 00:00:00,DC Comics
3,Justice League of America,2006,55,Issue,2011-05-01,Comicvine,18127,266494,Justice League of America,2006,55, ,https://comicvine.gamespot.com/justice-league-of-america-55-eclipso-rising-part-t/4000-266494/,31 days 00:00:00,DC Comics
4,Superman/Batman Annual,2006,5,Issue,2011-06-01,Comicvine,19020,267552,Superman/Batman Annual,2006,5, ,https://comicvine.gamespot.com/issue/4000-267552/,331 days 00:00:00,DC Comics
5,Superboy,2011,6,Issue,2012-04-27,Comicvine,42685,314976,Superboy,2011,6, ,https://comicvine.gamespot.com/superboy-6-not-so-super/4000-314976/,302 days 00:00:00,DC Comics
6,Action Comics,1938,900,Issue,2011-06-30,Comicvine,18005,268931,Action Comics,1938,900, ,https://comicvine.gamespot.com/issue/4000-268931/,23 days 00:00:00,DC Comics
7,Action Comics,1938,901,Issue,2011-07-23,Comicvine,18005,271424,Action Comics,1938,901, ,https://comicvine.gamespot.com/issue/4000-271424/,31 days 00:00:00,DC Comics
8,Action Comics,1938,902,Issue,2011-08-23,Comicvine,18005,275581,Action Comics,1938,902, ,https://comicvine.gamespot.com/issue/4000-275581/,31 days 00:00:00,DC Comics
9,Action Comics,1938,903,Issue,2011-09-23,Comicvine,18005,281655,Action Comics,1938,903, ,https://comicvine.gamespot.com/issue/4000-281655/,30 days 00:00:00,DC Comics
10,Action Comics,1938,904,Issue,2011-10-23,Comicvine,18005,288760,Action Comics,1938,904, ,https://comicvine.gamespot.com/issue/4000-288760/,0 days 00:00:00,DC Comics
