,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Issue Number,CV Cover Image,CV Issue URL,Days Between Issues,CV Series Publisher
1,Adventures of Superman,1987,500,Issue,1993-06-30,Comicvine,3778,37303,Adventures of Superman,1987,500, ,https://comicvine.gamespot.com/issue/4000-37303/,0 days 00:00:00,DC Comics
2,Action Comics,1938,687,Issue,1993-06-30,Comicvine,18005,108544,Action Comics,1938,687, ,https://comicvine.gamespot.com/issue/4000-108544/,0 days 00:00:00,DC Comics
3,Superman: Man of Steel,1991,22,Issue,1993-06-30,Comicvine,4571,37405,Superman: The Man of Steel,1991,22, ,https://comicvine.gamespot.com/issue/4000-37405/,0 days 00:00:00,DC Comics
4,Superman,1987,78,Issue,1993-06-30,Comicvine,3816,68548,Superman,1987,78, ,https://comicvine.gamespot.com/issue/4000-68548/,0 days 00:00:00,DC Comics
5,Adventures of Superman,1987,501,Issue,1993-06-30,Comicvine,3778,37425,Adventures of Superman,1987,501, ,https://comicvine.gamespot.com/issue/4000-37425/,31 days 00:00:00,DC Comics
6,Action Comics,1938,688,Issue,1993-07-31,Comicvine,18005,108545,Action Comics,1938,688, ,https://comicvine.gamespot.com/issue/4000-108545/,0 days 00:00:00,DC Comics
7,Superman: Man of Steel,1991,23,Issue,1993-07-31,Comicvine,4571,37555,Superman: The Man of Steel,1991,23, ,https://comicvine.gamespot.com/issue/4000-37555/,0 days 00:00:00,DC Comics
8,Superman,1987,79,Issue,1993-07-31,Comicvine,3816,68549,Superman,1987,79, ,https://comicvine.gamespot.com/issue/4000-68549/,0 days 00:00:00,DC Comics
9,Adventures of Superman,1987,502,Issue,1993-07-31,Comicvine,3778,37455,Adventures of Superman,1987,502, ,https://comicvine.gamespot.com/issue/4000-37455/,0 days 00:00:00,DC Comics
10,Action Comics,1938,689,Issue,1993-07-31,Comicvine,18005,108546,Action Comics,1938,689, ,https://comicvine.gamespot.com/issue/4000-108546/,31 days 00:00:00,DC Comics
11,Superman: Man of Steel,1991,24,Issue,1993-08-31,Comicvine,4571,37692,Superman: The Man of Steel,1991,24, ,https://comicvine.gamespot.com/issue/4000-37692/,0 days 00:00:00,DC Comics
12,Superman,1987,80,Issue,1993-08-31,Comicvine,3816,68550,Superman,1987,80, ,https://comicvine.gamespot.com/issue/4000-68550/,0 days 00:00:00,DC Comics
13,Adventures of Superman,1987,503,Issue,1993-08-31,Comicvine,3778,37597,Adventures of Superman,1987,503, ,https://comicvine.gamespot.com/issue/4000-37597/,0 days 00:00:00,DC Comics
14,Action Comics,1938,690,Issue,1993-08-31,Comicvine,18005,108547,Action Comics,1938,690, ,https://comicvine.gamespot.com/issue/4000-108547/,30 days 00:00:00,DC Comics
15,Superman: Man of Steel,1991,25,Issue,1993-09-30,Comicvine,4571,37833,Superman: The Man of Steel,1991,25, ,https://comicvine.gamespot.com/issue/4000-37833/,0 days 00:00:00,DC Comics
16,Superman,1987,81,Issue,1993-09-30,Comicvine,3816,68551,Superman,1987,81, ,https://comicvine.gamespot.com/issue/4000-68551/,0 days 00:00:00,DC Comics
17,Adventures of Superman,1987,504,Issue,1993-09-30,Comicvine,3778,37733,Adventures of Superman,1987,504, ,https://comicvine.gamespot.com/issue/4000-37733/,0 days 00:00:00,DC Comics
18,Action Comics,1938,691,Issue,1993-09-30,Comicvine,18005,116349,Action Comics,1938,691, ,https://comicvine.gamespot.com/issue/4000-116349/,31 days 00:00:00,DC Comics
19,Superman: Man of Steel,1991,26,Issue,1993-10-31,Comicvine,4571,37983,Superman: The Man of Steel,1991,26, ,https://comicvine.gamespot.com/issue/4000-37983/,0 days 00:00:00,DC Comics
20,Superman,1987,82,Issue,1993-10-31,Comicvine,3816,68552,Superman,1987,82, ,https://comicvine.gamespot.com/issue/4000-68552/,0 days 00:00:00,DC Comics
21,Green Lantern,1990,46,Issue,1993-10-31,Comicvine,4363,37886,Green Lantern,1990,46, ,https://comicvine.gamespot.com/issue/4000-37886/,0 days 00:00:00,DC Comics
22,Adventures of Superman,1987,505,Issue,1993-10-31,Comicvine,3778,37879,Adventures of Superman,1987,505, ,https://comicvine.gamespot.com/issue/4000-37879/,0 days 00:00:00,DC Comics
23,Action Comics,1938,692,Issue,1993-10-31,Comicvine,18005,116268,Action Comics,1938,692, ,https://comicvine.gamespot.com/issue/4000-116268/,0 days 00:00:00,DC Comics
