,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Issue Number,CV Cover Image,CV Issue URL,Days Between Issues,CV Series Publisher
1,Green Lantern Vol. 5 Annual,2012,1,Issue,2012-10-31,Comicvine,51615,354036,Green Lantern Annual,2012,1, ,https://comicvine.gamespot.com/green-lantern-annual-1-rise-of-the-third-army-prol/4000-354036/,30 days 00:00:00,DC Comics
2,Green Lantern Corps,2011,0,Issue,2012-11-30,Comicvine,42916,356726,Green Lantern Corps,2011,0, ,https://comicvine.gamespot.com/issue/4000-356726/,0 days 00:00:00,DC Comics
3,Red Lanterns,2011,0,Issue,2012-11-30,Comicvine,42804,358826,Red Lanterns,2011,0, ,https://comicvine.gamespot.com/issue/4000-358826/,0 days 00:00:00,DC Comics
4,Green Lantern: New Guardians,2011,0,Issue,2012-11-30,Comicvine,43007,357632,Green Lantern: New Guardians,2011,0, ,https://comicvine.gamespot.com/green-lantern-new-guardians-0-love-death/4000-357632/,0 days 00:00:00,DC Comics
5,Green Lantern,2011,0,Issue,2012-11-30,Comicvine,42808,355789,Green Lantern,2011,0, ,https://comicvine.gamespot.com/issue/4000-355789/,31 days 00:00:00,DC Comics
6,Green Lantern,2011,13,Issue,2012-12-31,Comicvine,42808,359934,Green Lantern,2011,13, ,https://comicvine.gamespot.com/green-lantern-13-actions-and-reactions/4000-359934/,5 days 00:00:00,DC Comics
7,Green Lantern Corps,2011,13,Issue,2012-12-26,Comicvine,42916,360799,Green Lantern Corps,2011,13, ,https://comicvine.gamespot.com/green-lantern-corps-13-rise-of-the-third-army-torn/4000-360799/,0 days 00:00:00,DC Comics
8,Green Lantern: New Guardians,2011,13,Issue,2012-12-26,Comicvine,43007,362166,Green Lantern: New Guardians,2011,13, ,https://comicvine.gamespot.com/green-lantern-new-guardians-13-all-the-rage/4000-362166/,1 days 00:00:00,DC Comics
9,Red Lanterns,2011,13,Issue,2012-12-27,Comicvine,42804,363063,Red Lanterns,2011,13, ,https://comicvine.gamespot.com/red-lanterns-13-eyes-without-a-face/4000-363063/,5 days 00:00:00,DC Comics
10,Green Lantern,2011,14,Issue,2013-01-01,Comicvine,42808,365734,Green Lantern,2011,14, ,https://comicvine.gamespot.com/green-lantern-14-courage/4000-365734/,26 days 00:00:00,DC Comics
11,Red Lanterns,2011,14,Issue,2013-01-27,Comicvine,42804,370279,Red Lanterns,2011,14, ,https://comicvine.gamespot.com/red-lanterns-14-home-is-where-the-heart-is/4000-370279/,1 days 00:00:00,DC Comics
12,Green Lantern Corps,2011,14,Issue,2013-01-26,Comicvine,42916,367677,Green Lantern Corps,2011,14, ,https://comicvine.gamespot.com/green-lantern-corps-14-rise-of-the-third-army-noth/4000-367677/,0 days 00:00:00,DC Comics
13,Green Lantern: New Guardians,2011,14,Issue,2013-01-26,Comicvine,43007,369038,Green Lantern: New Guardians,2011,14, ,https://comicvine.gamespot.com/green-lantern-new-guardians-14-fear-factor/4000-369038/,31 days 00:00:00,DC Comics
14,Green Lantern,2011,15,Issue,2013-02-26,Comicvine,42808,373262,Green Lantern,2011,15, ,https://comicvine.gamespot.com/green-lantern-15-innocent-lives/4000-373262/,0 days 00:00:00,DC Comics
15,Green Lantern Corps,2011,15,Issue,2013-02-26,Comicvine,42916,372346,Green Lantern Corps,2011,15, ,https://comicvine.gamespot.com/green-lantern-corps-15-rise-of-the-third-army-fall/4000-372346/,1 days 00:00:00,DC Comics
16,Red Lanterns,2011,15,Issue,2013-02-27,Comicvine,42804,376613,Red Lanterns,2011,15, ,https://comicvine.gamespot.com/red-lanterns-15-waking-the-past/4000-376613/,1 days 00:00:00,DC Comics
17,Green Lantern: New Guardians,2011,15,Issue,2013-02-28,Comicvine,43007,373587,Green Lantern: New Guardians,2011,15, ,https://comicvine.gamespot.com/green-lantern-new-guardians-15-the-need-for-greed/4000-373587/,31 days 00:00:00,DC Comics
18,Green Lantern: New Guardians Annual,2013,1,Issue,2013-03-31,Comicvine,55551,378861,Green Lantern: New Guardians Annual,2013,1, ,https://comicvine.gamespot.com/green-lantern-new-guardians-annual-1-the-show-must/4000-378861/,0 days 00:00:00,DC Comics
19,Green Lantern,2011,16,Issue,2013-03-31,Comicvine,42808,381382,Green Lantern,2011,16, ,https://comicvine.gamespot.com/green-lantern-16-trial-by-fire/4000-381382/,26 days 00:00:00,DC Comics
20,Green Lantern Corps,2011,16,Issue,2013-03-05,Comicvine,42916,381391,Green Lantern Corps,2011,16, ,https://comicvine.gamespot.com/green-lantern-corps-16-rise-of-the-third-army-bad-/4000-381391/,21 days 00:00:00,DC Comics
21,Green Lantern: New Guardians,2011,16,Issue,2013-03-26,Comicvine,43007,381538,Green Lantern: New Guardians,2011,16, ,https://comicvine.gamespot.com/green-lantern-new-guardians-16-let-love-rule/4000-381538/,25 days 00:00:00,DC Comics
22,Red Lanterns,2011,16,Issue,2013-03-01,Comicvine,42804,382774,Red Lanterns,2011,16, ,https://comicvine.gamespot.com/red-lanterns-16-once-were-enemies/4000-382774/,30 days 00:00:00,DC Comics
23,Green Lantern Corps Vol. 3 Annual,2013,1,Issue,2013-03-31,Comicvine,56372,382773,Green Lantern Corps Annual,2013,1, ,https://comicvine.gamespot.com/green-lantern-corps-annual-1-rise-of-the-first-lan/4000-382773/,0 days 00:00:00,DC Comics
