,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Issue Number,CV Cover Image,CV Issue URL,Days Between Issues,CV Series Publisher
1,Batman and Robin,2011,29,Issue,2014-05-31,Comicvine,42692,447948,Batman and Robin,2011,29, ,https://comicvine.gamespot.com/issue/4000-447948/,30 days 00:00:00,DC Comics
2,Batman and Robin,2011,30,Issue,2014-06-30,Comicvine,42692,450511,Batman and Robin,2011,30, ,https://comicvine.gamespot.com/issue/4000-450511/,31 days 00:00:00,DC Comics
3,Batman and Robin,2011,31,Issue,2014-07-31,Comicvine,42692,453354,Batman and Robin,2011,31, ,https://comicvine.gamespot.com/issue/4000-453354/,31 days 00:00:00,DC Comics
4,Batman and Robin,2011,32,Issue,2014-08-31,Comicvine,42692,456496,Batman and Robin,2011,32, ,https://comicvine.gamespot.com/issue/4000-456496/,30 days 00:00:00,DC Comics
5,Robin Rises: Omega,2014,1,Issue,2014-09-30,Comicvine,75696,459632,Robin Rises: Omega,2014,1, ,https://comicvine.gamespot.com/robin-rises-1-red-dawn-omega/4000-459632/,0 days 00:00:00,DC Comics
6,Batman and Robin,2011,33,Issue,2014-09-30,Comicvine,42692,460260,Batman and Robin,2011,33, ,https://comicvine.gamespot.com/issue/4000-460260/,31 days 00:00:00,DC Comics
7,Batman and Robin,2011,34,Issue,2014-10-31,Comicvine,42692,462846,Batman and Robin,2011,34, ,https://comicvine.gamespot.com/issue/4000-462846/,61 days 00:00:00,DC Comics
8,Batman and Robin,2011,35,Issue,2014-12-31,Comicvine,42692,468016,Batman and Robin,2011,35, ,https://comicvine.gamespot.com/issue/4000-468016/,31 days 00:00:00,DC Comics
9,Batman and Robin,2011,36,Issue,2015-01-31,Comicvine,42692,470365,Batman and Robin,2011,36, ,https://comicvine.gamespot.com/issue/4000-470365/,1 days 00:00:00,DC Comics
10,Batman and Robin,2011,37,Issue,2015-02-01,Comicvine,42692,473583,Batman and Robin,2011,37, ,https://comicvine.gamespot.com/issue/4000-473583/,27 days 00:00:00,DC Comics
11,Robin Rises: Alpha,2015,1,Issue,2015-02-28,Comicvine,78998,474570,Robin Rises: Alpha,2014,1, ,https://comicvine.gamespot.com/issue/4000-474570/,0 days 00:00:00,DC Comics
