,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Issue Number,CV Cover Image,CV Issue URL,Days Between Issues,CV Series Publisher
1,Animal Man,2011,12,Issue,2012-10-01,Comicvine,42600,348036,Animal Man,2011,12, ,https://comicvine.gamespot.com/animal-man-12-rotworld-prologue-part-one/4000-348036/,0 days 00:00:00,DC Comics
2,Swamp Thing,2011,12,Issue,2012-10-01,Comicvine,42599,348038,Swamp Thing,2011,12, ,https://comicvine.gamespot.com/swamp-thing-12-rotworld-prologue-part-two/4000-348038/,84 days 00:00:00,DC Comics
3,Animal Man,2011,13,Issue,2012-12-24,Comicvine,42600,359832,Animal Man,2011,13, ,https://comicvine.gamespot.com/animal-man-13-rotworld-the-red-kingdom-part-one/4000-359832/,8 days 00:00:00,DC Comics
4,Animal Man,2011,14,Issue,2013-01-01,Comicvine,42600,365736,Animal Man,2011,14, ,https://comicvine.gamespot.com/animal-man-14-rotworld-the-red-kingdom-part-two/4000-365736/,54 days 00:00:00,DC Comics
5,Animal Man,2011,15,Issue,2013-02-24,Comicvine,42600,371152,Animal Man,2011,15, ,https://comicvine.gamespot.com/animal-man-15-rotworld-the-red-kingdom-part-three/4000-371152/,28 days 00:00:00,DC Comics
6,Animal Man,2011,16,Issue,2013-03-24,Comicvine,42600,378855,Animal Man,2011,16, ,https://comicvine.gamespot.com/animal-man-16-rotworld-the-red-kingdom-part-four/4000-378855/,87 days 00:00:00,DC Comics
7,Swamp Thing,2011,13,Issue,2012-12-27,Comicvine,42599,359831,Swamp Thing,2011,13, ,https://comicvine.gamespot.com/swamp-thing-13-rotworld-the-green-kingdom-part-one/4000-359831/,4 days 00:00:00,DC Comics
8,Swamp Thing Vol. 5 Annual,2012,1,Issue,2012-12-31,Comicvine,53507,364091,Swamp Thing Annual,2012,1, ,https://comicvine.gamespot.com/swamp-thing-annual-1-the-hidden/4000-364091/,27 days 00:00:00,DC Comics
9,Swamp Thing,2011,14,Issue,2013-01-27,Comicvine,42599,365735,Swamp Thing,2011,14, ,https://comicvine.gamespot.com/swamp-thing-14-rotworld-the-green-kingdom-part-two/4000-365735/,31 days 00:00:00,DC Comics
10,Swamp Thing,2011,15,Issue,2013-02-27,Comicvine,42599,371150,Swamp Thing,2011,15, ,https://comicvine.gamespot.com/swamp-thing-15-rotworld-the-green-kingdom-part-thr/4000-371150/,28 days 00:00:00,DC Comics
11,Swamp Thing,2011,16,Issue,2013-03-27,Comicvine,42599,379184,Swamp Thing,2011,16, ,https://comicvine.gamespot.com/swamp-thing-16-rotworld-the-green-kingdom-part-fou/4000-379184/,91 days 00:00:00,DC Comics
12,"Frankenstein, Agent of S.H.A.D.E.",2011,13,Issue,2012-12-26,Comicvine,42793,360798,"Frankenstein, Agent of S.H.A.D.E.",2011,13, ,https://comicvine.gamespot.com/frankenstein-agent-of-shade-13-rotworld-secrets-of/4000-360798/,31 days 00:00:00,DC Comics
13,"Frankenstein, Agent of S.H.A.D.E.",2011,14,Issue,2013-01-26,Comicvine,42793,367679,"Frankenstein, Agent of S.H.A.D.E.",2011,14, ,https://comicvine.gamespot.com/frankenstein-agent-of-shade-14-rotworld-secrets-of/4000-367679/,31 days 00:00:00,DC Comics
14,"Frankenstein, Agent of S.H.A.D.E.",2011,15,Issue,2013-02-26,Comicvine,42793,372343,"Frankenstein, Agent of S.H.A.D.E.",2011,15, ,https://comicvine.gamespot.com/frankenstein-agent-of-shade-15-king-frankenstein/4000-372343/,57 days 00:00:00,DC Comics
15,Animal Man,2011,17,Issue,2013-04-24,Comicvine,42600,384917,Animal Man,2011,17, ,https://comicvine.gamespot.com/animal-man-17-rotworld-war-of-the-rot-part-one/4000-384917/,3 days 00:00:00,DC Comics
16,Swamp Thing,2011,17,Issue,2013-04-27,Comicvine,42599,384919,Swamp Thing,2011,17, ,https://comicvine.gamespot.com/swamp-thing-17-rotworld-war-of-the-rot-part-two/4000-384919/,34 days 00:00:00,DC Comics
17,Animal Man,2011,18,Issue,2013-05-31,Comicvine,42600,390711,Animal Man,2011,18, ,https://comicvine.gamespot.com/animal-man-18-rotworld-the-red-kingdom-epilogue/4000-390711/,0 days 00:00:00,DC Comics
18,Swamp Thing,2011,18,Issue,2013-05-31,Comicvine,42599,390402,Swamp Thing,2011,18, ,https://comicvine.gamespot.com/swamp-thing-18-lay-down-them-bones/4000-390402/,0 days 00:00:00,DC Comics
