,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Issue Number,CV Cover Image,CV Issue URL,Days Between Issues,CV Series Publisher
1,Green Lantern: Sinestro Corps Special,2007,1,Issue,2007-08-01,Comicvine,18797,111101,Sinestro Corps Special,2007,1, ,https://comicvine.gamespot.com/sinestro-corps-special-1-prologue-the-second-rebir/4000-111101/,31 days 00:00:00,DC Comics
2,Green Lantern,2005,21,Issue,2007-09-01,Comicvine,18216,111580,Green Lantern,2005,21, ,https://comicvine.gamespot.com/green-lantern-21-sinestro-corps-war-part-2-fear-an/4000-111580/,4 days 00:00:00,DC Comics
3,Green Lantern Corps,2006,14,Issue,2007-09-05,Comicvine,18248,112179,Green Lantern Corps,2006,14, ,https://comicvine.gamespot.com/green-lantern-corps-14-sinestro-corps-war-part-3-t/4000-112179/,26 days 00:00:00,DC Comics
4,Green Lantern,2005,22,Issue,2007-10-01,Comicvine,18216,113100,Green Lantern,2005,22, ,https://comicvine.gamespot.com/green-lantern-22-sinestro-corps-war-part-4-running/4000-113100/,31 days 00:00:00,DC Comics
5,Tales of the Sinestro War: Parallax,2007,1,Issue,2007-11-01,Comicvine,19171,114722,Tales of the Sinestro Corps: Parallax,2007,1, ,https://comicvine.gamespot.com/tales-of-the-sinestro-corps-parallax-1-fearful-sym/4000-114722/,27 days 00:00:00,DC Comics
6,Green Lantern Corps,2006,15,Issue,2007-10-05,Comicvine,18248,114375,Green Lantern Corps,2006,15, ,https://comicvine.gamespot.com/green-lantern-corps-15-sinestro-corps-war-part-5-t/4000-114375/,56 days 00:00:00,DC Comics
7,Green Lantern,2005,23,Issue,2007-11-30,Comicvine,18216,114443,Green Lantern,2005,23, ,https://comicvine.gamespot.com/green-lantern-23-sinestro-corps-war-part-6-broken-/4000-114443/,24 days 00:00:00,DC Comics
8,Green Lantern Corps,2006,16,Issue,2007-11-06,Comicvine,18248,115566,Green Lantern Corps,2006,16, ,https://comicvine.gamespot.com/green-lantern-corps-16-sinestro-corps-war-part-7-t/4000-115566/,25 days 00:00:00,DC Comics
9,Tales of the Sinestro War: Cyborg Superman,2007,1,Issue,2007-12-01,Comicvine,19220,115168,Tales of the Sinestro Corps: Cyborg-Superman,2007,1, ,https://comicvine.gamespot.com/tales-of-the-sinestro-corps-cyborg-superman-1-deat/4000-115168/,0 days 00:00:00,DC Comics
10,Green Lantern,2005,24,Issue,2007-12-01,Comicvine,18216,115911,Green Lantern,2005,24, ,https://comicvine.gamespot.com/green-lantern-24-sinestro-corps-war-part-8-home-in/4000-115911/,0 days 00:00:00,DC Comics
11,Blue Beetle,2006,20,Issue,2007-12-01,Comicvine,18443,120427,Blue Beetle,2006,20, ,https://comicvine.gamespot.com/blue-beetle-20-fear-to-live/4000-120427/,4 days 00:00:00,DC Comics
12,Green Lantern Corps,2006,17,Issue,2007-12-05,Comicvine,18248,116803,Green Lantern Corps,2006,17, ,https://comicvine.gamespot.com/green-lantern-corps-17-sinestro-corps-war-part-9-e/4000-116803/,4 days 00:00:00,DC Comics
13,Tales of the Sinestro War: Superman-Prime,2007,1,Issue,2007-12-01,Comicvine,19311,115864,Tales of the Sinestro Corps: Superman-Prime,2007,1, ,https://comicvine.gamespot.com/tales-of-the-sinestro-corps-superman-prime-1-into-/4000-115864/,31 days 00:00:00,DC Comics
14,Green Lantern Corps,2006,18,Issue,2008-01-01,Comicvine,18248,120346,Green Lantern Corps,2006,18, ,https://comicvine.gamespot.com/green-lantern-corps-18-sinestro-corps-war-part-10-/4000-120346/,0 days 00:00:00,DC Comics
15,Green Lantern,2005,25,Issue,2008-01-01,Comicvine,18216,119950,Green Lantern,2005,25, ,https://comicvine.gamespot.com/green-lantern-25-sinestro-corps-war-part-11-birth-/4000-119950/,0 days 00:00:00,DC Comics
16,Tales of the Sinestro War: Ion,2008,1,Issue,2008-01-01,Comicvine,20095,119967,Tales of the Sinestro Corps: Ion,2008,1, ,https://comicvine.gamespot.com/issue/4000-119967/,31 days 00:00:00,DC Comics
17,Green Lantern Corps,2006,19,Issue,2008-02-01,Comicvine,18248,120942,Green Lantern Corps,2006,19, ,https://comicvine.gamespot.com/green-lantern-corps-19-sinestro-corps-war-part-12-/4000-120942/,0 days 00:00:00,DC Comics
18,Green Lantern/Sinestro Corps Secret Files & Origins,2008,1,Issue,2008-02-01,Comicvine,20231,120590,Green Lantern/Sinestro Corps: Secret Files,2008,1, ,https://comicvine.gamespot.com/green-lanternsinestro-corps-secret-files-1/4000-120590/,0 days 00:00:00,DC Comics
