,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Issue Number,CV Cover Image,CV Issue URL,Days Between Issues,CV Series Publisher
1,Superman,2016,18,Issue,2017-05-31,Comicvine,91298,583707,Superman,2016,18, ,https://comicvine.gamespot.com/superman-18-superman-reborn-part-1/4000-583707/,0 days 00:00:00,DC Comics
2,Action Comics,1938,975,Issue,2017-05-31,Comicvine,91078,585052,Action Comics,2016,975, ,https://comicvine.gamespot.com/action-comics-975-superman-reborn-part-2-the-man-i/4000-585052/,0 days 00:00:00,DC Comics
3,Superwoman,2016,8,Issue,2017-05-31,Comicvine,92976,585071,Superwoman,2016,8, ,https://comicvine.gamespot.com/superwoman-8-by-a-thread-superwoman-reborn/4000-585071/,0 days 00:00:00,DC Comics
4,Superman,2016,19,Issue,2017-05-31,Comicvine,91298,587394,Superman,2016,19, ,https://comicvine.gamespot.com/superman-19-superman-reborn-part-3-dont-pass-go/4000-587394/,0 days 00:00:00,DC Comics
5,Action Comics,1938,976,Issue,2017-05-31,Comicvine,91078,588526,Action Comics,2016,976, ,https://comicvine.gamespot.com/action-comics-976-superman-reborn-part-4/4000-588526/,30 days 00:00:00,DC Comics
6,Supergirl,2016,8,Issue,2017-06-30,Comicvine,93948,591738,Supergirl,2016,8, ,https://comicvine.gamespot.com/supergirl-8-family-of-tomorrow/4000-591738/,0 days 00:00:00,DC Comics
7,Superwoman,2016,9,Issue,2017-06-30,Comicvine,92976,592583,Superwoman,2016,9, ,https://comicvine.gamespot.com/superwoman-9-superman-reborn-aftermath-steel-resol/4000-592583/,0 days 00:00:00,DC Comics
8,Trinity,2016,8,Issue,2017-06-30,Comicvine,94296,592584,Trinity,2016,8, ,https://comicvine.gamespot.com/trinity-8-superman-reborn-aftermath-the-truth-abou/4000-592584/,0 days 00:00:00,DC Comics
9,Action Comics,1938,977,Issue,2017-06-30,Comicvine,91078,591716,Action Comics,2016,977, ,https://comicvine.gamespot.com/action-comics-977-the-new-world-part-1/4000-591716/,0 days 00:00:00,DC Comics
10,Action Comics,1938,978,Issue,2017-06-30,Comicvine,91078,593218,Action Comics,2016,978, ,https://comicvine.gamespot.com/action-comics-978-the-new-world-part-2/4000-593218/,0 days 00:00:00,DC Comics
