,SeriesName,SeriesStartYear,IssueNum,IssueType,CoverDate,Name,SeriesID,IssueID,CV Series Name,CV Series Year,CV Issue Number,CV Cover Image,CV Issue URL,Days Between Issues,CV Series Publisher
1,Action Comics,2011,30,Issue,2014-06-01,Comicvine,42563,449537,Action Comics,2011,30, ,https://comicvine.gamespot.com/action-comics-30-unbound/4000-449537/,0 days 00:00:00,DC Comics
2,Superman/Wonder Woman,2013,7,Issue,2014-06-01,Comicvine,68150,450042,Superman/Wonder Woman,2013,7, ,https://comicvine.gamespot.com/superman-wonder-woman-7-rise/4000-450042/,29 days 00:00:00,DC Comics
3,Superman,2011,30,Issue,2014-06-30,Comicvine,42986,451048,Superman,2011,30, ,https://comicvine.gamespot.com/superman-30-all-good-things-must-end/4000-451048/,31 days 00:00:00,DC Comics
4,Superman: Doomed,2014,1,Issue,2014-07-31,Comicvine,73882,452810,Superman: Doomed,2014,1, ,https://comicvine.gamespot.com/superman-doomed-1/4000-452810/,0 days 00:00:00,DC Comics
5,Action Comics,2011,31,Issue,2014-07-31,Comicvine,42563,452802,Action Comics,2011,31, ,https://comicvine.gamespot.com/action-comics-31-infected-chapter-1-true-believers/4000-452802/,0 days 00:00:00,DC Comics
6,Superman/Wonder Woman,2013,8,Issue,2014-07-31,Comicvine,68150,452811,Superman/Wonder Woman,2013,8, ,https://comicvine.gamespot.com/superman-wonder-woman-8-infected-chapter-2-evoluti/4000-452811/,0 days 00:00:00,DC Comics
7,Batman/Superman,2013,11,Issue,2014-07-31,Comicvine,64203,453356,Batman/Superman,2013,11, ,https://comicvine.gamespot.com/batman-superman-11-infected-chapter-3-danger-zone/4000-453356/,0 days 00:00:00,DC Comics
8,Superman,2011,31,Issue,2014-07-31,Comicvine,42986,454052,Superman,2011,31, ,https://comicvine.gamespot.com/superman-31-infected-chapter-4-lockdown/4000-454052/,31 days 00:00:00,DC Comics
9,Action Comics,2011,32,Issue,2014-08-31,Comicvine,42563,455429,Action Comics,2011,32, ,https://comicvine.gamespot.com/action-comics-32-enemy-of-the-state-chapter-1-nigh/4000-455429/,0 days 00:00:00,DC Comics
10,Superman/Wonder Woman,2013,9,Issue,2014-08-31,Comicvine,68150,455980,Superman/Wonder Woman,2013,9, ,https://comicvine.gamespot.com/superman-wonder-woman-9-enemy-of-the-state-chapter/4000-455980/,30 days 00:00:00,DC Comics
11,Action Comics,2011,33,Issue,2014-09-30,Comicvine,42563,458558,Action Comics,2011,33, ,https://comicvine.gamespot.com/action-comics-33-superdoom-chapter-1-unbound/4000-458558/,0 days 00:00:00,DC Comics
12,Superman/Wonder Woman,2013,10,Issue,2014-09-30,Comicvine,68150,459127,Superman/Wonder Woman,2013,10, ,https://comicvine.gamespot.com/superman-wonder-woman-10-superdoom-chapter-2-dista/4000-459127/,0 days 00:00:00,DC Comics
13,Superman/Wonder Woman Annual,2014,1,Issue,2014-09-30,Comicvine,76240,461693,Superman/Wonder Woman Annual,2014,1, ,https://comicvine.gamespot.com/superman-wonder-woman-annual-1-superdoom-chapter-3/4000-461693/,0 days 00:00:00,DC Comics
14,Action Comics Vol. 2 Annual,2012,3,Issue,2014-09-30,Comicvine,53508,461680,Action Comics Annual,2012,3, ,https://comicvine.gamespot.com/action-comics-annual-3-superdoom-chapter-4-my-body/4000-461680/,31 days 00:00:00,DC Comics
15,Action Comics,2011,34,Issue,2014-10-31,Comicvine,42563,461681,Action Comics,2011,34, ,https://comicvine.gamespot.com/action-comics-34-last-sun-chapter-1-assimilation/4000-461681/,0 days 00:00:00,DC Comics
16,Superman/Wonder Woman,2013,11,Issue,2014-10-31,Comicvine,68150,462211,Superman/Wonder Woman,2013,11, ,https://comicvine.gamespot.com/superman-wonder-woman-11-last-sun-chapter-2-assimi/4000-462211/,0 days 00:00:00,DC Comics
17,Supergirl,2011,34,Issue,2014-10-31,Comicvine,42949,462855,Supergirl,2011,34, ,https://comicvine.gamespot.com/supergirl-34-last-sun-chapter-3-the-girl-who-fell-/4000-462855/,30 days 00:00:00,DC Comics
18,Superman: Doomed,2014,2,Issue,2014-11-30,Comicvine,73882,466281,Superman: Doomed,2014,2, ,https://comicvine.gamespot.com/superman-doomed-2-last-sun-chapter-4-evolutions/4000-466281/,31 days 00:00:00,DC Comics
19,Action Comics,2011,35,Issue,2014-12-31,Comicvine,42563,466976,Action Comics,2011,35, ,https://comicvine.gamespot.com/action-comics-35-after-doomed/4000-466976/,0 days 00:00:00,DC Comics
20,Superman/Wonder Woman,2013,12,Issue,2014-12-31,Comicvine,68150,467605,Superman/Wonder Woman,2013,12, ,https://comicvine.gamespot.com/superman-wonder-woman-12-metaphormorphosis/4000-467605/,0 days 00:00:00,DC Comics
21,Supergirl,2011,35,Issue,2014-12-31,Comicvine,42949,468025,Supergirl,2011,35, ,https://comicvine.gamespot.com/supergirl-35-normal/4000-468025/,0 days 00:00:00,DC Comics
